wavelength,n
2.638e-16,1.825
2.652e-16,1.854
2.666e-16,1.899
2.681e-16,1.954
2.695e-16,2.014
2.71e-16,2.099
2.725e-16,2.188
2.74e-16,2.293
2.755e-16,2.426
2.771e-16,2.574
2.786e-16,2.723
2.802e-16,2.877
2.818e-16,3.037
2.834e-16,3.232
2.85e-16,3.406
2.867e-16,3.668
2.883e-16,3.926
2.9e-16,4.205
2.917e-16,4.454
2.935e-16,4.659
2.952e-16,4.791
2.97e-16,4.885
2.988e-16,4.928
3.006e-16,4.985
3.024e-16,4.986
3.043e-16,5.009
3.061e-16,5.025
3.08e-16,5.024
3.1e-16,5.029
3.119e-16,5.034
3.139e-16,5.039
3.159e-16,5.035
3.179e-16,5.032
3.2e-16,5.051
3.22e-16,5.068
3.241e-16,5.066
3.263e-16,5.091
3.284e-16,5.12
3.306e-16,5.135
3.328e-16,5.159
3.351e-16,5.177
3.374e-16,5.218
3.397e-16,5.247
3.42e-16,5.277
3.444e-16,5.31
3.468e-16,5.363
3.493e-16,5.429
3.517e-16,5.487
3.542e-16,5.601
3.568e-16,5.752
3.594e-16,5.967
3.62e-16,6.251
3.647e-16,6.563
3.674e-16,6.821
3.701e-16,6.989
3.729e-16,7.004
3.757e-16,6.899
3.786e-16,6.735
3.815e-16,6.548
3.844e-16,6.369
3.875e-16,6.191
3.905e-16,6.041
3.936e-16,5.897
3.967e-16,5.764
3.999e-16,5.649
4.032e-16,5.543
4.065e-16,5.45
4.099e-16,5.356
4.133e-16,5.279
4.168e-16,5.197
4.203e-16,5.126
4.239e-16,5.056
4.275e-16,4.994
4.312e-16,4.933
4.35e-16,4.872
4.389e-16,4.825
4.428e-16,4.77
4.468e-16,4.722
4.509e-16,4.677
4.55e-16,4.631
4.592e-16,4.591
4.635e-16,4.549
4.679e-16,4.51
4.723e-16,4.471
4.769e-16,4.435
4.815e-16,4.402
4.862e-16,4.368
4.91e-16,4.337
4.959e-16,4.309
5.009e-16,4.281
5.061e-16,4.252
5.113e-16,4.224
5.166e-16,4.2
5.22e-16,4.177
5.276e-16,4.153
5.333e-16,4.131
5.391e-16,4.109
5.45e-16,4.089
5.51e-16,4.068
5.572e-16,4.049
5.636e-16,4.029
5.7e-16,4.012
5.767e-16,3.995
5.835e-16,3.977
5.904e-16,3.96
5.975e-16,3.9441
6.048e-16,3.9291
6.123e-16,3.9144
6.199e-16,3.9
6.278e-16,3.886
6.358e-16,3.8723
6.441e-16,3.8589
6.525e-16,3.845
6.612e-16,3.833
6.702e-16,3.8205
6.794e-16,3.8084
6.888e-16,3.796
6.985e-16,3.7851
7.085e-16,3.7739
7.187e-16,3.7631
7.293e-16,3.753
7.402e-16,3.7423
7.514e-16,3.7324
7.63e-16,3.7228
7.749e-16,3.716
7.872e-16,3.7046
7.999e-16,3.696
8.13e-16,3.6877
8.266e-16,3.678
