wavelength,k
2.066e-16,2.2878524992
2.1089508319e-16,2.34380200581
2.15279458439e-16,2.40069491191
2.19754982075e-16,2.45856466247
2.24323549012e-16,2.51744498718
2.28987093564e-16,2.57736980208
2.33747590255e-16,2.63837311416
2.38607054657e-16,2.70048892948
2.43567544248e-16,2.76375116492
2.48631159276e-16,2.82819356301
2.53800043655e-16,2.8938496086
2.59076385867e-16,2.96075244558
2.64462419893e-16,3.0289347913
2.69960426156e-16,3.09842884581
2.75572732488e-16,3.16926619271
2.81301715116e-16,3.2414776876
2.87149799665e-16,3.31509333009
2.93119462189e-16,3.3901421147
2.99213230217e-16,3.46665185552
3.05433683824e-16,3.54464897941
3.11783456723e-16,3.62415828216
3.18265237381e-16,3.70520264187
3.24881770154e-16,3.78780268424
3.31635856454e-16,3.87197639482
3.38530355932e-16,3.9577386747
3.45568187689e-16,4.04510083794
3.52752331512e-16,4.13407005265
3.60085829136e-16,4.2246487324
3.67571785533e-16,4.31683389164
3.75213370223e-16,4.41061648852
3.83013818621e-16,4.50598079085
3.90976433402e-16,4.60290381618
3.99104585903e-16,4.70135491513
4.07401717548e-16,4.80129558656
4.15871341306e-16,4.90267963255
4.2451704318e-16,5.00545377803
4.33342483722e-16,5.10955889075
4.42351399584e-16,5.21493193877
4.51547605104e-16,5.32150881124
4.60934993913e-16,5.4292281021
4.70517540592e-16,5.53803591403
4.80299302349e-16,5.64789168451
4.9028442074e-16,5.75877496865
5.0047712342e-16,5.87069304304
5.10881725935e-16,5.98368912413
5.21502633549e-16,6.09785093007
5.32344343107e-16,6.21331925589
5.43411444943e-16,6.33029617015
5.54708624818e-16,6.4490523562
5.6624066591e-16,6.56993296731
5.78012450835e-16,6.69336105689
5.90028963715e-16,6.81983702415
6.02295292289e-16,6.94993128614
6.14816630068e-16,7.08426499818
6.27598278532e-16,7.22346907649
6.40645649374e-16,7.36810319041
6.53964266795e-16,7.51850073134
6.67559769839e-16,7.67447901036
6.81437914784e-16,7.83481498635
