wavelength,n
4.5e-16,1.44
4.6e-16,1.54
4.7e-16,1.58
4.8e-16,1.62
4.9e-16,1.68
5e-16,1.7
5.1e-16,1.74
5.2e-16,1.75
5.3e-16,1.78
5.4e-16,1.81
5.5e-16,1.83
5.6e-16,1.87
5.7e-16,1.87
5.8e-16,1.9
5.9e-16,1.91
6e-16,1.91
6.1e-16,1.94
6.2e-16,1.94
6.3e-16,1.95
6.4e-16,1.94
6.5e-16,1.91
6.6e-16,1.89
6.8e-16,1.85
7e-16,1.78
7.2e-16,1.71
7.4e-16,1.83
7.5e-16,1.6
7.6e-16,1.57
7.8e-16,1.52
8e-16,1.5
8.2e-16,1.47
8.5e-16,1.44
8.8e-16,1.41
9e-16,1.4
9.2e-16,1.38
9.5e-16,1.38
9.8e-16,1.38
1e-15,1.38
1.05e-15,1.38
1.1e-15,1.4
1.15e-15,1.41
1.2e-15,1.44
1.25e-15,1.48
1.3e-15,1.5
1.35e-15,1.52
1.4e-15,1.58
1.45e-15,1.6
1.5e-15,1.64
1.55e-15,1.69
1.6e-15,1.77
1.7e-15,1.89
1.8e-15,2.05
1.9e-15,2.18
2e-15,2.32
2.1e-15,2.47
2.2e-15,2.63
2.3e-15,2.84
2.4e-15,3.03
2.5e-15,3.22
2.55e-15,3.34
2.6e-15,3.45
3e-15,4.27
3.5e-15,5.39
4e-15,6.58
5e-15,9.04
6e-15,11.7
7e-15,14.1
8e-15,16.4
9e-15,18.7
1e-14,21.0
1.1e-14,23.2
1.2e-14,24.6
