wavelength,k
2.066e-16,0.870386410508
2.1089508319e-16,0.965578874806
2.15279458439e-16,1.0402424751
2.19754982075e-16,1.0963412968
2.24323549012e-16,1.13584089596
2.28987093564e-16,1.16100205284
2.33747590255e-16,1.17463650616
2.38607054657e-16,1.18045934249
2.43567544248e-16,1.18390627144
2.48631159276e-16,1.19421880639
2.53800043655e-16,1.22785626058
2.59076385867e-16,1.30611642846
2.64462419893e-16,1.43145169912
2.69960426156e-16,1.5608011454
2.75572732488e-16,1.62600604918
2.81301715116e-16,1.57931089731
2.87149799665e-16,1.41816898493
2.93119462189e-16,1.1823642914
2.99213230217e-16,0.932180210113
3.05433683824e-16,0.722775908062
3.11783456723e-16,0.589889800453
3.18265237381e-16,0.554446352656
3.24881770154e-16,0.636611154842
3.31635856454e-16,0.809939685003
3.38530355932e-16,0.988366492091
3.45568187689e-16,1.14299721546
3.52752331512e-16,1.27754650773
3.60085829136e-16,1.39792320109
3.67571785533e-16,1.50821539365
3.75213370223e-16,1.61110819046
3.83013818621e-16,1.70843529341
3.90976433402e-16,1.80151065194
3.99104585903e-16,1.89131464039
4.07401717548e-16,1.97860222952
4.15871341306e-16,2.06396934884
4.2451704318e-16,2.14789577028
4.33342483722e-16,2.23077408808
4.42351399584e-16,2.31293005359
4.51547605104e-16,2.39463729712
4.60934993913e-16,2.47612826339
4.70517540592e-16,2.55760250569
4.80299302349e-16,2.63923308359
4.9028442074e-16,2.72117156499
5.0047712342e-16,2.80355198049
5.10881725935e-16,2.88649397799
5.21502633549e-16,2.97010535882
5.32344343107e-16,3.05448413034
5.43411444943e-16,3.13972017749
5.54708624818e-16,3.22589663155
5.6624066591e-16,3.31309099735
5.78012450835e-16,3.40137608619
5.90028963715e-16,3.49082079237
6.02295292289e-16,3.58149074276
6.14816630068e-16,3.67344884315
6.27598278532e-16,3.7667557403
6.40645649374e-16,3.86147021478
6.53964266795e-16,3.95764951683
6.67559769839e-16,4.05534965506
6.81437914784e-16,4.15462564603
6.95604577575e-16,4.25553173119
7.10065756315e-16,4.35812156644
7.24827573806e-16,4.46244838878
7.39896280135e-16,4.5685651635
7.55278255329e-16,4.67652471505
7.70980012047e-16,4.7863798438
