wavelength,n
1.88e-16,1.1
1.92e-16,1.16
1.95e-16,1.22
1.99e-16,1.25
2.03e-16,1.27
2.07e-16,1.31
2.12e-16,1.31
2.16e-16,1.32
2.21e-16,1.32
2.26e-16,1.32
2.31e-16,1.31
2.37e-16,1.3
2.43e-16,1.28
2.49e-16,1.27
2.55e-16,1.26
2.62e-16,1.27
2.69e-16,1.27
2.76e-16,1.3
2.84e-16,1.35
2.92e-16,1.4
3.01e-16,1.45
3.11e-16,1.5
3.2e-16,1.55
3.32e-16,1.61
3.42e-16,1.72
3.54e-16,1.82
3.68e-16,1.9
3.81e-16,1.99
3.97e-16,2.08
4.13e-16,2.14
4.31e-16,2.21
4.51e-16,2.27
4.71e-16,2.32
4.96e-16,2.36
5.21e-16,2.44
5.49e-16,2.54
5.82e-16,2.6
6.17e-16,2.67
6.59e-16,2.76
7.04e-16,2.86
7.56e-16,3.0
8.21e-16,3.21
8.92e-16,3.29
9.84e-16,3.35
1.088e-15,3.5
1.216e-15,3.62
1.393e-15,3.67
1.61e-15,3.69
1.937e-15,3.51
