wavelength,n
5e-15,1.397
6e-15,1.323
7e-15,1.152
8e-15,0.939
8.2e-15,0.822
8.4e-15,0.624
8.5e-15,0.613
8.7e-15,0.684
9e-15,0.736
9.2e-15,0.812
9.4e-15,0.971
9.5e-15,1.085
9.6e-15,1.209
9.8e-15,1.479
1e-14,1.707
1.05e-14,1.956
1.1e-14,1.994
1.15e-14,1.864
1.2e-14,1.733
1.25e-14,1.612
1.3e-14,1.606
1.35e-14,1.615
1.4e-14,1.615
1.45e-14,1.558
1.5e-14,1.554
1.55e-14,1.546
1.6e-14,1.511
1.65e-14,1.468
1.7e-14,1.433
1.75e-14,1.401
1.8e-14,1.328
1.85e-14,1.216
1.9e-14,1.108
1.95e-14,1.069
2e-14,1.177
2.1e-14,1.519
2.2e-14,1.931
2.3e-14,2.196
2.4e-14,2.263
2.5e-14,2.223
2.7e-14,2.139
3e-14,2.035
3.5e-14,1.96
4e-14,1.969
4.5e-14,2.033
5e-14,2.099
6e-14,2.199
7e-14,2.274
8e-14,2.333
9e-14,2.384
1e-13,2.426
1.5e-13,2.547
2e-13,2.592
3e-13,2.608
