wavelength,k
2.066e-16,1.247
2.101e-16,1.258
2.138e-16,1.267
2.175e-16,1.272
2.214e-16,1.28
2.254e-16,1.283
2.296e-16,1.287
2.339e-16,1.294
2.384e-16,1.306
2.431e-16,1.317
2.48e-16,1.326
2.53e-16,1.328
2.583e-16,1.327
2.638e-16,1.329
2.695e-16,1.31
2.755e-16,1.291
2.818e-16,1.247
2.883e-16,1.181
2.952e-16,1.079
3.024e-16,0.894
3.1e-16,0.656
3.179e-16,0.466
3.263e-16,0.651
3.351e-16,1.042
3.444e-16,1.269
3.542e-16,1.467
3.647e-16,1.645
3.757e-16,1.815
3.875e-16,1.981
3.999e-16,2.138
4.133e-16,2.292
4.275e-16,2.448
4.428e-16,2.604
4.592e-16,2.765
4.769e-16,2.93
4.959e-16,3.105
5.166e-16,3.288
5.391e-16,3.483
5.636e-16,3.694
5.904e-16,3.918
6.199e-16,4.164
6.525e-16,4.432
6.888e-16,4.725
7.293e-16,5.048
7.749e-16,5.409
8.266e-16,5.814
8.856e-16,6.276
9.537e-16,6.802
1.033e-15,7.412
1.127e-15,8.128
1.24e-15,8.981
1.305e-15,9.472
1.378e-15,10.018
1.459e-15,10.63
1.55e-15,11.31
1.653e-15,12.08
1.771e-15,12.97
1.907e-15,13.98
2.066e-15,15.16
2.254e-15,16.56
2.48e-15,18.23
2.755e-15,20.26
3.1e-15,22.8
3.542e-15,26.05
4.133e-15,30.37
4.959e-15,36.37
6.199e-15,45.26
8.266e-15,59.73
1.24e-14,86.53
