wavelength,n
2.066e-07,1.079
2.101e-07,1.101
2.138e-07,1.121
2.175e-07,1.14
2.214e-07,1.157
2.254e-07,1.169
2.296e-07,1.181
2.339e-07,1.19
2.384e-07,1.198
2.431e-07,1.215
2.48e-07,1.233
2.53e-07,1.254
2.583e-07,1.27
2.638e-07,1.294
2.695e-07,1.321
2.755e-07,1.348
2.818e-07,1.38
2.883e-07,1.402
2.952e-07,1.427
3.024e-07,1.41
3.1e-07,1.265
3.179e-07,0.859
3.263e-07,0.307
3.351e-07,0.187
3.444e-07,0.142
3.542e-07,0.106
3.647e-07,0.076
3.757e-07,0.061
3.875e-07,0.05
3.999e-07,0.054
4.133e-07,0.05
4.275e-07,0.051
4.428e-07,0.052
4.592e-07,0.052
4.769e-07,0.053
4.959e-07,0.052
5.166e-07,0.052
5.391e-07,0.05168
5.636e-07,0.05009
5.904e-07,0.04977
6.199e-07,0.04803
6.525e-07,0.04964
6.888e-07,0.0508
7.293e-07,0.05151
7.749e-07,0.05269
8.266e-07,0.05504
8.856e-07,0.05896
9.537e-07,0.06542
1.033e-06,0.07286
1.127e-06,0.08427
1.24e-06,0.09799
1.305e-06,0.1056
1.378e-06,0.1143
1.459e-06,0.1256
1.55e-06,0.1388
1.653e-06,0.1543
1.771e-06,0.1735
1.907e-06,0.1988
2.066e-06,0.2315
2.254e-06,0.2724
2.48e-06,0.3256
2.755e-06,0.397
3.1e-06,0.496
3.542e-06,0.6387
4.133e-06,0.8566
4.959e-06,1.228
6.199e-06,1.851
8.266e-06,3.227
1.24e-05,5.079
