wavelength,k
2.48e-21,3.98e-12
6.199e-21,1.15e-10
1.24e-20,1.49e-09
1.653e-20,4.33e-09
2.48e-20,1.92e-08
3.1e-20,4.64e-08
4.133e-20,1.32e-07
4.769e-20,2.11e-07
4.959e-20,3.63e-08
6.199e-20,9.57e-08
1.24e-19,1.29e-06
1.55e-19,2.92e-06
2.066e-19,8.36e-06
2.48e-19,1.52e-05
2.755e-19,2.21e-05
3.1e-19,3.57e-05
3.444e-19,3.24e-05
3.542e-19,1.72e-05
4.133e-19,1.43e-05
4.959e-19,2.4e-05
6.199e-19,4.72e-05
8.266e-19,0.000121
1.24e-18,0.000523
1.55e-18,0.00108
1.675e-18,0.00142
2.066e-18,0.00269
2.48e-18,0.00457
3.1e-18,0.00882
3.351e-18,0.00823
3.542e-18,0.00168
4.133e-18,0.00232
4.428e-18,0.0027
4.769e-18,0.00311
5.166e-18,0.0035
5.636e-18,0.00345
6.199e-18,0.00377
6.888e-18,0.00431
7.293e-18,0.00442
7.749e-18,0.00438
8.266e-18,0.00407
8.856e-18,0.00354
9.537e-18,0.00366
1.033e-17,0.00622
1.127e-17,0.0172
1.181e-17,0.0261
1.24e-17,0.0382
1.305e-17,0.0565
1.378e-17,0.0842
1.459e-17,0.111
1.55e-17,0.139
1.59e-17,0.149
1.631e-17,0.158
1.675e-17,0.166
1.722e-17,0.181
1.771e-17,0.197
1.823e-17,0.208
1.879e-17,0.211
1.937e-17,0.21
2e-17,0.211
2.066e-17,0.221
2.138e-17,0.237
2.214e-17,0.259
2.296e-17,0.274
2.339e-17,0.275
2.384e-17,0.276
2.431e-17,0.281
2.48e-17,0.29
2.53e-17,0.3
2.583e-17,0.309
2.638e-17,0.317
2.695e-17,0.323
2.818e-17,0.334
2.952e-17,0.349
3.1e-17,0.368
3.179e-17,0.378
3.263e-17,0.388
3.351e-17,0.4
3.444e-17,0.418
3.542e-17,0.454
3.647e-17,0.489
3.757e-17,0.514
3.875e-17,0.528
3.999e-17,0.534
4.133e-17,0.541
4.275e-17,0.557
4.35e-17,0.572
4.428e-17,0.59
4.509e-17,0.616
4.592e-17,0.65
4.679e-17,0.691
4.769e-17,0.734
4.862e-17,0.778
4.959e-17,0.828
5.061e-17,0.868
5.166e-17,0.904
5.276e-17,0.93
5.391e-17,0.943
5.51e-17,0.935
5.636e-17,0.874
5.767e-17,0.801
5.904e-17,0.745
6.199e-17,0.714
6.525e-17,0.752
6.888e-17,0.805
7.293e-17,0.964
7.749e-17,0.91
8.266e-17,0.918
8.551e-17,0.875
8.856e-17,0.783
9.537e-17,0.64
1.033e-16,0.587
1.127e-16,0.553
1.24e-16,0.557
1.378e-16,0.562
1.55e-16,0.753
1.653e-16,0.911
1.771e-16,1.06
1.907e-16,1.18
2.066e-16,1.28
2.254e-16,1.34
2.48e-16,1.35
2.61e-16,1.34
2.755e-16,1.28
2.883e-16,1.13
2.952e-16,1.06
3.024e-16,0.845
3.1e-16,0.599
3.179e-16,0.36
3.263e-16,0.304
3.289e-16,0.399
3.351e-16,0.765
3.444e-16,1.13
3.542e-16,1.42
3.815e-16,1.86
4.133e-16,2.28
4.959e-16,3.09
6.199e-16,4.18
8.266e-16,5.8
1.24e-15,9.02
2.48e-15,18.8
3.1e-15,22.9
4.133e-15,30.5
6.199e-15,45.7
1.24e-14,90.2
2.48e-14,173.0
4.959e-14,306.0
1.24e-13,506.0
2.48e-13,689.0
