wavelength,n
2.48e-21,1.003
6.199e-21,0.998
1.24e-20,0.999
1.653e-20,1.0
2.48e-20,1.003
3.1e-20,1.003
4.133e-20,1.0
4.769e-20,1.001
4.959e-20,1.001
6.199e-20,0.999
1.24e-19,0.999
1.55e-19,1.0
2.066e-19,1.002
2.48e-19,1.001
2.755e-19,1.001
3.1e-19,1.003
3.444e-19,1.003
3.542e-19,1.003
4.133e-19,1.001
4.959e-19,1.001
6.199e-19,1.001
8.266e-19,0.999
1.24e-18,0.998
1.55e-18,0.997
1.675e-18,0.998
2.066e-18,0.997
2.48e-18,0.997
3.1e-18,0.998
3.351e-18,1.007
3.542e-18,1.001
4.133e-18,0.996
4.428e-18,0.994
4.769e-18,0.992
5.166e-18,0.989
5.636e-18,0.987
6.199e-18,0.982
6.888e-18,0.978
7.293e-18,0.973
7.749e-18,0.968
8.266e-18,0.963
8.856e-18,0.955
9.537e-18,0.943
1.033e-17,0.926
1.127e-17,0.902
1.181e-17,0.89
1.24e-17,0.876
1.305e-17,0.861
1.378e-17,0.849
1.459e-17,0.846
1.55e-17,0.848
1.59e-17,0.851
1.631e-17,0.853
1.675e-17,0.853
1.722e-17,0.851
1.771e-17,0.859
1.823e-17,0.871
1.879e-17,0.883
1.937e-17,0.885
2e-17,0.881
2.066e-17,0.873
2.138e-17,0.868
2.214e-17,0.871
2.296e-17,0.885
2.339e-17,0.89
2.384e-17,0.889
2.431e-17,0.886
2.48e-17,0.884
2.53e-17,0.885
2.583e-17,0.888
2.638e-17,0.893
2.695e-17,0.896
2.818e-17,0.899
2.952e-17,0.897
3.1e-17,0.896
3.179e-17,0.895
3.263e-17,0.892
3.351e-17,0.885
3.444e-17,0.876
3.542e-17,0.865
3.647e-17,0.879
3.757e-17,0.899
3.875e-17,0.921
3.999e-17,0.932
4.133e-17,0.93
4.275e-17,0.919
4.35e-17,0.911
4.428e-17,0.902
4.509e-17,0.891
4.592e-17,0.886
4.679e-17,0.889
4.769e-17,0.897
4.862e-17,0.913
4.959e-17,0.947
5.061e-17,0.989
5.166e-17,1.039
5.276e-17,1.104
5.391e-17,1.175
5.51e-17,1.262
5.636e-17,1.338
5.767e-17,1.368
5.904e-17,1.346
6.199e-17,1.29
6.525e-17,1.266
6.888e-17,1.281
7.293e-17,1.33
7.749e-17,1.421
8.266e-17,1.66
8.551e-17,1.644
8.856e-17,1.72
9.537e-17,1.655
1.033e-16,1.608
1.127e-16,1.545
1.24e-16,1.462
1.378e-16,1.326
1.55e-16,1.16
1.653e-16,1.142
1.771e-16,1.178
1.907e-16,1.254
2.066e-16,1.339
2.254e-16,1.446
2.48e-16,1.549
2.61e-16,1.612
2.755e-16,1.694
2.883e-16,1.729
2.952e-16,1.752
3.024e-16,1.729
3.1e-16,1.615
3.179e-16,1.295
3.263e-16,0.727
3.289e-16,0.527
3.351e-16,0.3
3.444e-16,0.23
3.542e-16,0.211
3.815e-16,0.229
4.133e-16,0.226
4.959e-16,0.237
6.199e-16,0.269
8.266e-16,0.271
1.24e-15,0.278
2.48e-15,0.669
3.1e-15,0.909
4.133e-15,1.411
6.199e-15,2.842
1.24e-14,9.936
2.48e-14,36.7
4.959e-14,118.0
1.24e-13,309.0
2.48e-13,531.0
