wavelength,k
1.879e-16,1.212
1.916e-16,1.232
1.953e-16,1.255
1.993e-16,1.277
2.033e-16,1.296
2.073e-16,1.312
2.119e-16,1.325
2.164e-16,1.336
2.214e-16,1.342
2.262e-16,1.344
2.313e-16,1.357
2.371e-16,1.367
2.426e-16,1.378
2.49e-16,1.389
2.551e-16,1.393
2.616e-16,1.387
2.689e-16,1.372
2.761e-16,1.331
2.844e-16,1.264
2.924e-16,1.161
3.009e-16,0.964
3.107e-16,0.616
3.204e-16,0.392
3.315e-16,0.829
3.425e-16,1.142
3.542e-16,1.419
3.679e-16,1.657
3.815e-16,1.864
3.974e-16,2.07
4.133e-16,2.275
4.305e-16,2.462
4.509e-16,2.657
4.714e-16,2.869
4.959e-16,3.093
5.209e-16,3.324
5.486e-16,3.586
5.821e-16,3.858
6.168e-16,4.152
6.595e-16,4.483
7.045e-16,4.838
7.56e-16,5.242
8.211e-16,5.727
8.92e-16,6.312
9.84e-16,6.992
1.088e-15,7.795
1.216e-15,8.828
1.393e-15,10.1
1.61e-15,11.85
1.937e-15,14.08
