wavelength,n
2.36e-09,0.99667
3.16e-09,0.9977
4.47e-09,0.99198
6.76e-09,0.9813
1.14e-08,0.9172
1.355e-08,0.86
1.714e-08,0.863
2.43e-08,0.928
2.563e-08,0.927
3.038e-08,0.895
3.27e-08,0.894
3.568e-08,0.872
3.793e-08,0.896
4.059e-08,0.953
4.478e-08,0.889
4.607e-08,0.848
4.895e-08,0.833
5.391e-08,1.04
5.843e-08,1.09
6.163e-08,1.06
6.714e-08,1.03
7.185e-08,0.982
7.359e-08,1.13
7.437e-08,1.17
8.345e-08,1.28
8.78e-08,1.37
9.198e-08,1.32
9.321e-08,1.27
9.888e-08,1.32
1.0258e-07,1.23
1.0482e-07,1.27
1.0667e-07,1.3
1.0857e-07,1.3
1.135e-07,1.33
1.2007e-07,1.27
1.2157e-07,1.21
