wavelength,k
1.033e-11,8.24e-12
1.24e-11,9.88e-12
1.55e-11,2.47e-11
2.066e-11,8.09e-11
2.48e-11,1.5e-10
3.1e-11,3.77e-10
4.133e-11,1.06e-09
6.199e-11,4.68e-09
8.266e-11,1.46e-08
1.127e-10,5.14e-08
1.378e-10,1.12e-07
1.771e-10,2.97e-07
2.48e-10,1.05e-06
4.133e-10,7.51e-06
6.199e-10,3.24e-05
7.293e-10,6.13e-05
7.514e-10,4.62e-05
7.749e-10,2.32e-05
7.999e-10,6.43e-06
8.266e-10,7.14e-06
1.24e-09,3.1e-05
1.55e-09,7.52e-05
2.066e-09,0.000227
2.48e-09,0.000466
3.1e-09,0.00101
3.542e-09,0.00154
4.133e-09,0.00257
4.428e-09,0.00331
4.769e-09,0.00426
5.166e-09,0.00546
5.636e-09,0.00696
6.199e-09,0.00876
6.525e-09,0.00987
6.888e-09,0.0111
7.293e-09,0.0137
7.749e-09,0.016
8.266e-09,0.0173
8.551e-09,0.0181
8.856e-09,0.0191
8.984e-09,0.0197
9.116e-09,0.0204
9.253e-09,0.0213
9.393e-09,0.0226
9.537e-09,0.0244
9.686e-09,0.0261
9.84e-09,0.0277
9.999e-09,0.0288
1.016e-08,0.0292
1.033e-08,0.0294
1.042e-08,0.0297
1.051e-08,0.03
1.06e-08,0.0303
1.069e-08,0.0301
1.078e-08,0.0304
1.088e-08,0.0306
1.097e-08,0.0307
1.107e-08,0.0309
1.117e-08,0.0309
1.127e-08,0.0307
1.137e-08,0.0305
1.148e-08,0.0299
1.159e-08,0.0293
1.17e-08,0.0286
1.181e-08,0.0281
1.192e-08,0.0281
1.204e-08,0.0286
1.216e-08,0.0299
1.228e-08,0.0324
1.24e-08,0.0363
1.252e-08,0.0396
1.265e-08,0.0427
1.278e-08,0.0442
1.292e-08,0.0442
1.305e-08,0.0439
1.319e-08,0.0426
1.333e-08,0.0411
1.348e-08,0.0398
1.362e-08,0.0386
1.378e-08,0.0366
1.393e-08,0.0351
1.409e-08,0.0335
1.425e-08,0.0321
1.442e-08,0.0315
1.459e-08,0.0312
1.476e-08,0.0306
1.494e-08,0.0289
1.512e-08,0.0269
1.531e-08,0.025
1.55e-08,0.0243
1.569e-08,0.0238
1.59e-08,0.0238
1.61e-08,0.0245
1.631e-08,0.024
1.653e-08,0.024
1.675e-08,0.0236
1.687e-08,0.024
1.691e-08,0.0238
1.696e-08,0.0196
1.701e-08,0.0174
1.705e-08,0.00606
1.71e-08,0.00479
1.722e-08,0.00461
1.746e-08,0.0045
1.771e-08,0.00445
1.797e-08,0.0044
1.851e-08,0.00433
1.907e-08,0.00427
2.066e-08,0.00451
2.48e-08,0.00584
3.1e-08,0.00864
4.133e-08,0.0125
6.199e-08,0.0267
6.888e-08,0.0355
7.749e-08,0.0648
7.999e-08,0.0997
8.266e-08,0.187
8.551e-08,0.301
8.856e-08,0.404
9.537e-08,0.593
1.033e-07,0.767
1.127e-07,0.946
1.378e-07,1.35
1.771e-07,1.93
2.48e-07,2.88
3.1e-07,3.7
4.133e-07,5.0
4.959e-07,5.91
6.199e-07,7.28
6.888e-07,7.96
7.293e-07,8.34
7.749e-07,8.55
8.266e-07,7.75
8.856e-07,7.75
9.537e-07,8.68
1.033e-06,9.73
1.127e-06,10.9
1.24e-06,12.2
1.378e-06,13.7
1.771e-06,17.8
2.48e-06,25.1
3.1e-06,31.3
4.133e-06,41.8
6.199e-06,62.0
1.24e-05,119.0
2.48e-05,185.0
0.000124,383.0
0.000248,528.0
0.00124,1160.0
