wavelength,n
1.033e-20,0.999
1.24e-20,1.001
1.55e-20,1.0
2.066e-20,1.001
2.48e-20,1.001
3.1e-20,1.002
4.133e-20,1.002
6.199e-20,1.001
8.266e-20,1.0
1.127e-19,1.002
1.378e-19,1.0
1.771e-19,1.003
2.48e-19,1.002
4.133e-19,1.001
6.199e-19,1.0
7.293e-19,1.0
7.514e-19,1.0
7.749e-19,1.0
7.999e-19,1.0
8.266e-19,1.0
1.24e-18,1.0
1.55e-18,1.0
2.066e-18,0.999
2.48e-18,0.999
3.1e-18,0.998
3.542e-18,0.996
4.133e-18,0.996
4.428e-18,0.996
4.769e-18,0.992
5.166e-18,0.993
5.636e-18,0.993
6.199e-18,0.991
6.525e-18,0.989
6.888e-18,0.989
7.293e-18,0.988
7.749e-18,0.988
8.266e-18,0.989
8.551e-18,0.988
8.856e-18,0.988
8.984e-18,0.988
9.116e-18,0.987
9.253e-18,0.987
9.393e-18,0.986
9.537e-18,0.986
9.686e-18,0.987
9.84e-18,0.988
9.999e-18,0.989
1.016e-17,0.991
1.033e-17,0.992
1.042e-17,0.992
1.051e-17,0.992
1.06e-17,0.993
1.069e-17,0.993
1.078e-17,0.994
1.088e-17,0.994
1.097e-17,0.995
1.107e-17,0.995
1.117e-17,0.995
1.127e-17,0.996
1.137e-17,0.997
1.148e-17,0.997
1.159e-17,0.997
1.17e-17,0.996
1.181e-17,0.996
1.192e-17,0.994
1.204e-17,0.992
1.216e-17,0.992
1.228e-17,0.989
1.24e-17,0.989
1.252e-17,0.991
1.265e-17,0.994
1.278e-17,0.998
1.292e-17,1.001
1.305e-17,1.005
1.319e-17,1.007
1.333e-17,1.009
1.348e-17,1.011
1.362e-17,1.012
1.378e-17,1.013
1.393e-17,1.014
1.409e-17,1.014
1.425e-17,1.014
1.442e-17,1.014
1.459e-17,1.014
1.476e-17,1.016
1.494e-17,1.017
1.512e-17,1.017
1.531e-17,1.016
1.55e-17,1.016
1.569e-17,1.015
1.59e-17,1.014
1.61e-17,1.015
1.631e-17,1.016
1.653e-17,1.018
1.675e-17,1.021
1.687e-17,1.025
1.691e-17,1.028
1.696e-17,1.03
1.701e-17,1.036
1.705e-17,1.031
1.71e-17,1.026
1.722e-17,1.021
1.746e-17,1.015
1.771e-17,1.012
1.797e-17,1.009
1.851e-17,1.005
1.907e-17,1.001
2.066e-17,0.992
2.48e-17,0.974
3.1e-17,0.944
4.133e-17,0.882
6.199e-17,0.673
6.888e-17,0.564
7.749e-17,0.346
7.999e-17,0.252
8.266e-17,0.152
8.551e-17,0.107
8.856e-17,0.084
9.537e-17,0.065
1.033e-16,0.061
1.127e-16,0.061
1.378e-16,0.073
1.771e-16,0.098
2.48e-16,0.183
3.1e-16,0.298
4.133e-16,0.548
4.959e-16,0.771
6.199e-16,1.292
6.888e-16,1.731
7.293e-16,2.082
7.749e-16,2.588
8.266e-16,2.829
8.856e-16,1.916
9.537e-16,1.25
1.033e-15,0.994
1.127e-15,0.926
1.24e-15,0.949
1.378e-15,1.015
1.771e-15,1.274
2.48e-15,1.946
3.1e-15,2.684
4.133e-15,4.311
6.199e-15,8.732
1.24e-14,32.4
2.48e-14,95.7
1.24e-13,323.0
2.48e-13,484.0
1.24e-12,1120.0
