wavelength,k
6.67e-07,8.0797904
7.14e-07,8.5523233
7.69e-07,8.7156916
8.33e-07,8.3634734
9.09e-07,8.4485537
1e-06,9.6826848
1.05e-06,10.361271
1.11e-06,11.108164
1.18e-06,11.880035
1.25e-06,12.721123
1.33e-06,13.676589
1.43e-06,14.766043
1.54e-06,16.005291
1.67e-06,17.430945
1.82e-06,19.041604
2e-06,20.969371
2.11e-06,22.062867
2.22e-06,23.2578
2.35e-06,24.591905
2.5e-06,26.07382
2.67e-06,27.735962
2.86e-06,29.575977
3.08e-06,31.653186
3.33e-06,34.058286
3.64e-06,36.878956
4e-06,40.184716
4.44e-06,44.21065
5e-06,49.131664
5.71e-06,55.544522
6.67e-06,63.967532
8e-06,75.320562
1e-05,90.72043
1.11e-05,98.172167
1.25e-05,107.26425
1.43e-05,117.86671
1.67e-05,131.07397
2e-05,148.17314
2.22e-05,159.23227
2.5e-05,174.09538
2.86e-05,192.23917
3.33e-05,213.3717
4e-05,235.70537
4.44e-05,248.55977
5e-05,263.04366
5.71e-05,279.77106
6.67e-05,299.72607
8e-05,324.59867
0.0001,357.47647
0.000125,393.7747
0.000154,431.44791
0.0002,485.19932
