wavelength,k
1.2399e-19,8.241e-08
1.3051e-19,1.272e-07
1.3776e-19,1.2488e-07
1.5498e-19,1.9173e-07
1.7712e-19,3.1463e-07
2.0664e-19,5.5102e-07
2.4797e-19,1.0726e-06
3.0996e-19,2.4843e-06
3.5424e-19,4.0484e-06
4.1328e-19,7.1408e-06
4.9594e-19,1.3642e-05
6.1993e-19,3.2079e-05
6.5255e-19,3.8497e-05
6.8881e-19,4.7138e-05
7.2932e-19,5.7974e-05
7.4021e-19,6.1633e-05
7.7734e-19,7.4862e-05
7.8472e-19,7.848e-05
7.9274e-19,8.5418e-05
7.9376e-19,7.1847e-05
7.9478e-19,4.9998e-05
7.9529e-19,4.1131e-05
7.958e-19,3.2911e-05
7.9785e-19,2.3687e-05
7.9887e-19,1.1026e-05
7.999e-19,6.0484e-06
8.051e-19,6.1901e-06
8.1569e-19,6.4818e-06
8.2657e-19,6.8049e-06
8.5507e-19,7.8422e-06
8.8561e-19,8.94e-06
9.5373e-19,1.1636e-05
1.0332e-18,1.5628e-05
1.1271e-18,2.1586e-05
1.2399e-18,3.1115e-05
1.3776e-18,4.6771e-05
1.5498e-18,7.2992e-05
1.7712e-18,0.00011811
2.0664e-18,0.00022001
2.4797e-18,0.00043503
3.0996e-18,0.00096887
4.1328e-18,0.0023492
4.9594e-18,0.0041863
6.1993e-18,0.0075099
6.5255e-18,0.0084716
6.8881e-18,0.0096517
7.2932e-18,0.010987
7.7491e-18,0.013728
8.2657e-18,0.014773
8.5507e-18,0.015437
8.8561e-18,0.016304
9.1841e-18,0.017765
9.5373e-18,0.020606
9.9188e-18,0.023421
1.0332e-17,0.024063
1.0781e-17,0.024928
1.1271e-17,0.025452
1.1808e-17,0.024415
1.2399e-17,0.02992
1.2652e-17,0.033061
1.2915e-17,0.035883
1.319e-17,0.035311
1.3477e-17,0.033392
1.3776e-17,0.030918
1.4089e-17,0.028956
1.4417e-17,0.028232
1.476e-17,0.026826
1.512e-17,0.02546
1.5498e-17,0.024476
1.5694e-17,0.024501
1.5896e-17,0.024757
1.6102e-17,0.02518
1.6314e-17,0.023853
1.6422e-17,0.023955
1.6531e-17,0.02402
1.6642e-17,0.024343
1.6755e-17,0.024184
1.6777e-17,0.024228
1.68e-17,0.024282
1.6823e-17,0.024375
1.6846e-17,0.024499
1.6869e-17,0.024831
1.6892e-17,0.025432
1.6915e-17,0.026018
1.6938e-17,0.024227
1.6961e-17,0.019564
1.6984e-17,0.019145
1.7008e-17,0.020012
1.7031e-17,0.020072
1.7054e-17,0.012476
1.7078e-17,0.0041164
1.7101e-17,0.0036218
1.7125e-17,0.0034141
1.7149e-17,0.00344
1.7172e-17,0.0034767
1.7196e-17,0.0034877
1.7208e-17,0.0035108
1.722e-17,0.0035249
1.7463e-17,0.0034957
1.7712e-17,0.0035425
1.8233e-17,0.003673
1.8786e-17,0.0038926
1.9373e-17,0.0041092
1.9998e-17,0.0042397
2.0664e-17,0.0043696
2.2543e-17,0.0050004
2.4797e-17,0.0057469
2.7552e-17,0.0066191
3.0996e-17,0.0078466
3.5424e-17,0.0093121
4.1328e-17,0.011651
4.9594e-17,0.015894
6.1993e-17,0.02234
6.5255e-17,0.02477
6.8881e-17,0.027681
7.2932e-17,0.032409
7.7491e-17,0.044202
7.8472e-17,0.04832
7.9478e-17,0.053349
7.999e-17,0.056697
8.051e-17,0.061407
8.1036e-17,0.068348
8.1569e-17,0.079959
8.2109e-17,0.094223
8.2657e-17,0.11041
8.3774e-17,0.16589
8.4921e-17,0.2342
8.6101e-17,0.29293
8.8561e-17,0.39115
9.5373e-17,0.59086
1.0332e-16,0.77163
1.1271e-16,0.95677
1.2399e-16,1.1555
1.3776e-16,1.3775
1.5498e-16,1.6366
1.7712e-16,1.9519
2.0664e-16,2.3563
2.4797e-16,2.9029
3.0996e-16,3.7081
3.2628e-16,3.9165
3.6466e-16,4.3957
4.1328e-16,5.0008
4.428e-16,5.3676
4.7687e-16,5.7781
5.166e-16,6.2418
5.6357e-16,6.7839
6.1993e-16,7.4052
6.5225e-16,7.7354
6.8881e-16,8.0601
7.2932e-16,8.3565
7.7491e-16,8.4914
7.9478e-16,8.3866
8.1569e-16,8.2573
8.3774e-16,8.1878
8.8561e-16,8.1134
9.1166e-16,8.3058
9.3928e-16,8.597
9.6863e-16,9.0655
9.9988e-16,9.4939
1.0332e-15,9.8914
1.1271e-15,10.969
1.2399e-15,12.245
1.3776e-15,13.784
1.5498e-15,15.656
1.7712e-15,17.991
2.0664e-15,20.982
2.4797e-15,25.004
2.7552e-15,27.58
3.0996e-15,30.737
3.2628e-15,32.183
3.444e-15,33.814
3.6466e-15,35.608
3.8745e-15,37.595
4.1328e-15,39.826
4.428e-15,42.367
4.7687e-15,45.257
5.166e-15,48.593
5.6357e-15,52.518
6.1993e-15,57.156
6.8881e-15,62.841
7.7491e-15,69.857
8.8561e-15,78.274
1.0332e-14,88.197
1.2399e-14,101.28
1.3776e-14,108.96
1.5498e-14,118.39
1.7712e-14,129.49
1.9075e-14,136.09
2.0664e-14,144.23
2.2543e-14,153.45
2.4797e-14,164.81
2.7552e-14,181.78
3.0996e-14,199.99
3.3333e-14,208.1
4e-14,230.19
4.4444e-14,243.43
5e-14,258.26
5.7144e-14,275.34
6.6666e-14,295.42
8.0001e-14,321.08
9.9996e-14,354.35
1.25e-13,391.71
1.3776e-13,408.92
1.5385e-13,429.62
1.7712e-13,458.5
2e-13,483.7
