wavelength,n
1.2399e-19,0.9999946
1.3051e-19,0.999994
1.3776e-19,0.999993
1.5498e-19,0.999991
1.7712e-19,0.999989
2.0664e-19,0.999984
2.4797e-19,0.99998
3.0996e-19,0.99997
3.5424e-19,0.99995
4.1328e-19,0.99994
4.9594e-19,0.99991
6.1993e-19,0.99987
6.5255e-19,0.99986
6.8881e-19,0.99985
7.2932e-19,0.99984
7.4021e-19,0.99984
7.7734e-19,0.99986
7.8472e-19,0.99987
7.9274e-19,0.9999
7.9376e-19,0.99992
7.9478e-19,0.99993
7.9529e-19,0.99992
7.958e-19,0.99992
7.9785e-19,0.99991
7.9887e-19,0.99991
7.999e-19,0.99989
8.051e-19,0.99987
8.1569e-19,0.99985
8.2657e-19,0.99983
8.5507e-19,0.99981
8.8561e-19,0.99979
9.5373e-19,0.99974
1.0332e-18,0.99968
1.1271e-18,0.99961
1.2399e-18,0.99953
1.3776e-18,0.9994
1.5498e-18,0.99924
1.7712e-18,0.99898
2.0664e-18,0.9986
2.4797e-18,0.99797
3.0996e-18,0.99694
4.1328e-18,0.9948
4.9594e-18,0.99313
6.1993e-18,0.99111
6.5255e-18,0.99054
6.8881e-18,0.99007
7.2932e-18,0.98909
7.7491e-18,0.98912
8.2657e-18,0.98966
8.5507e-18,0.98934
8.8561e-18,0.98883
9.1841e-18,0.98793
9.5373e-18,0.98761
9.9188e-18,0.98941
1.0332e-17,0.99139
1.0781e-17,0.99233
1.1271e-17,0.99415
1.1808e-17,0.99285
1.2399e-17,0.99123
1.2652e-17,0.99265
1.2915e-17,0.99652
1.319e-17,1.0012
1.3477e-17,1.0041
1.3776e-17,1.0058
1.4089e-17,1.006
1.4417e-17,1.0065
1.476e-17,1.0074
1.512e-17,1.0077
1.5498e-17,1.0075
1.5694e-17,1.0075
1.5896e-17,1.0078
1.6102e-17,1.0095
1.6314e-17,1.0106
1.6422e-17,1.011
1.6531e-17,1.0118
1.6642e-17,1.0132
1.6755e-17,1.0151
1.6777e-17,1.0156
1.68e-17,1.0161
1.6823e-17,1.0167
1.6846e-17,1.0173
1.6869e-17,1.0181
1.6892e-17,1.0194
1.6915e-17,1.0219
1.6938e-17,1.0259
1.6961e-17,1.0262
1.6984e-17,1.0246
1.7008e-17,1.0255
1.7031e-17,1.0305
1.7054e-17,1.0349
1.7078e-17,1.0305
1.7101e-17,1.0249
1.7125e-17,1.0226
1.7149e-17,1.0206
1.7172e-17,1.0192
1.7196e-17,1.0179
1.7208e-17,1.0174
1.722e-17,1.0169
1.7463e-17,1.0108
1.7712e-17,1.007
1.8233e-17,1.0019
1.8786e-17,0.99791
1.9373e-17,0.99457
1.9998e-17,0.99143
2.0664e-17,0.98827
2.2543e-17,0.97998
2.4797e-17,0.97048
2.7552e-17,0.95834
3.0996e-17,0.94189
3.5424e-17,0.91802
4.1328e-17,0.88013
4.9594e-17,0.81512
6.1993e-17,0.67912
6.5255e-17,0.63242
6.8881e-17,0.57251
7.2932e-17,0.49131
7.7491e-17,0.37197
7.8472e-17,0.34031
7.9478e-17,0.30373
7.999e-17,0.28271
8.051e-17,0.25936
8.1036e-17,0.23344
8.1569e-17,0.20569
8.2109e-17,0.17943
8.2657e-17,0.15065
8.3774e-17,0.094517
8.4921e-17,0.067041
8.6101e-17,0.054863
8.8561e-17,0.044168
9.5373e-17,0.036437
1.0332e-16,0.035753
1.1271e-16,0.038468
1.2399e-16,0.046304
1.3776e-16,0.057167
1.5498e-16,0.072505
1.7712e-16,0.094236
2.0664e-16,0.12677
2.4797e-16,0.18137
3.0996e-16,0.28003
3.2628e-16,0.31474
3.6466e-16,0.39877
4.1328e-16,0.52135
4.428e-16,0.6079
4.7687e-16,0.7278
5.166e-16,0.8734
5.6357e-16,1.0728
6.1993e-16,1.366
6.5225e-16,1.5724
6.8881e-16,1.8301
7.2932e-16,2.1606
7.7491e-16,2.6154
7.9478e-16,2.7675
8.1569e-16,2.7668
8.3774e-16,2.6945
8.8561e-16,2.2802
9.1166e-16,1.9739
9.3928e-16,1.6784
9.6863e-16,1.4867
9.9988e-16,1.4359
1.0332e-15,1.3998
1.1271e-15,1.3281
1.2399e-15,1.3157
1.3776e-15,1.3899
1.5498e-15,1.5782
1.7712e-15,1.9205
2.0664e-15,2.4738
2.4797e-15,3.3372
2.7552e-15,3.938
3.0996e-15,4.7097
3.2628e-15,5.0735
3.444e-15,5.4903
3.6466e-15,5.9564
3.8745e-15,6.4808
4.1328e-15,7.0796
4.428e-15,7.7757
4.7687e-15,8.5881
5.166e-15,9.558
5.6357e-15,10.742
6.1993e-15,12.195
6.8881e-15,14.088
7.7491e-15,16.755
8.8561e-15,20.837
1.0332e-14,26.216
1.2399e-14,33.519
1.3776e-14,38.461
1.5498e-14,43.775
1.7712e-14,50.951
1.9075e-14,54.413
2.0664e-14,58.58
2.2543e-14,63.554
2.4797e-14,68.535
2.7552e-14,75.748
3.0996e-14,91.955
3.3333e-14,102.1
4e-14,125.14
4.4444e-14,140.05
5e-14,157.3
5.7144e-14,177.93
6.6666e-14,202.63
8.0001e-14,233.56
9.9996e-14,274.38
1.25e-13,318.81
1.3776e-13,339.62
1.5385e-13,364.04
1.7712e-13,397.93
2e-13,423.96
