wavelength,k
7.749e-10,9.14e-05
7.999e-10,2.97e-05
8.266e-10,3.4e-05
8.856e-10,4.5e-05
1.033e-09,8.1e-05
1.24e-09,0.000161
1.55e-09,0.000349
2.066e-09,0.000977
2.254e-09,0.000809
2.48e-09,0.000402
3.1e-09,0.000729
3.542e-09,0.00124
4.133e-09,0.00181
4.959e-09,0.00326
6.199e-09,0.00533
6.888e-09,0.00709
7.749e-09,0.00977
8.266e-09,0.0113
8.856e-09,0.0133
8.984e-09,0.0135
9.116e-09,0.0139
9.253e-09,0.0143
9.537e-09,0.0156
9.84e-09,0.0171
9.999e-09,0.0181
1.016e-08,0.0183
1.033e-08,0.0185
1.078e-08,0.0204
1.127e-08,0.0233
1.181e-08,0.0275
1.24e-08,0.0332
1.265e-08,0.0346
1.292e-08,0.0341
1.319e-08,0.0314
1.348e-08,0.0291
1.362e-08,0.0284
1.378e-08,0.0286
1.393e-08,0.0295
1.409e-08,0.0307
1.425e-08,0.032
1.442e-08,0.033
1.459e-08,0.0337
1.476e-08,0.0343
1.494e-08,0.035
1.512e-08,0.0365
1.531e-08,0.0404
1.54e-08,0.0431
1.55e-08,0.0445
1.56e-08,0.043
1.569e-08,0.0398
1.579e-08,0.0372
1.59e-08,0.0363
1.6e-08,0.0392
1.61e-08,0.0372
1.621e-08,0.0305
1.631e-08,0.0298
1.642e-08,0.0302
1.653e-08,0.0306
1.664e-08,0.0311
1.675e-08,0.0317
1.698e-08,0.0329
1.722e-08,0.0341
1.771e-08,0.0365
1.907e-08,0.0438
2.066e-08,0.0541
2.254e-08,0.0686
2.48e-08,0.0864
2.755e-08,0.111
3.1e-08,0.148
3.542e-08,0.203
4.133e-08,0.282
4.428e-08,0.327
4.769e-08,0.393
5.166e-08,0.502
5.636e-08,0.651
5.904e-08,0.723
6.048e-08,0.747
6.199e-08,0.769
6.358e-08,0.794
6.525e-08,0.825
6.888e-08,0.912
7.293e-08,0.997
7.749e-08,1.07
8.266e-08,1.14
8.551e-08,1.16
8.856e-08,1.16
9.184e-08,1.17
9.537e-08,1.17
9.919e-08,1.17
1.033e-07,1.17
1.078e-07,1.16
1.127e-07,1.11
1.181e-07,0.951
1.24e-07,0.597
1.305e-07,0.253
1.378e-07,0.0895
1.459e-07,0.0478
1.55e-07,0.028
1.771e-07,0.00824
2.066e-07,0.0022
