wavelength,n
7.749e-10,1.0
7.999e-10,1.0
8.266e-10,1.0
8.856e-10,1.0
1.033e-09,1.0
1.24e-09,0.999
1.55e-09,0.999
2.066e-09,0.999
2.254e-09,0.999
2.48e-09,0.998
3.1e-09,0.997
3.542e-09,0.995
4.133e-09,0.994
4.959e-09,0.991
6.199e-09,0.987
6.888e-09,0.985
7.749e-09,0.982
8.266e-09,0.98
8.856e-09,0.978
8.984e-09,0.978
9.116e-09,0.977
9.253e-09,0.976
9.537e-09,0.975
9.84e-09,0.974
9.999e-09,0.974
1.016e-08,0.973
1.033e-08,0.973
1.078e-08,0.97
1.127e-08,0.968
1.181e-08,0.966
1.24e-08,0.966
1.265e-08,0.969
1.292e-08,0.971
1.319e-08,0.972
1.348e-08,0.97
1.362e-08,0.968
1.378e-08,0.966
1.393e-08,0.964
1.409e-08,0.963
1.425e-08,0.962
1.442e-08,0.962
1.459e-08,0.961
1.476e-08,0.96
1.494e-08,0.959
1.512e-08,0.957
1.531e-08,0.956
1.54e-08,0.958
1.55e-08,0.961
1.56e-08,0.965
1.569e-08,0.966
1.579e-08,0.965
1.59e-08,0.963
1.6e-08,0.963
1.61e-08,0.967
1.621e-08,0.966
1.631e-08,0.961
1.642e-08,0.958
1.653e-08,0.957
1.664e-08,0.955
1.675e-08,0.953
1.698e-08,0.951
1.722e-08,0.948
1.771e-08,0.944
1.907e-08,0.933
2.066e-08,0.92
2.254e-08,0.907
2.48e-08,0.892
2.755e-08,0.872
3.1e-08,0.848
3.542e-08,0.823
4.133e-08,0.794
4.428e-08,0.774
4.769e-08,0.748
5.166e-08,0.722
5.636e-08,0.765
5.904e-08,0.812
6.048e-08,0.841
6.199e-08,0.862
6.358e-08,0.88
6.525e-08,0.896
6.888e-08,0.947
7.293e-08,1.035
7.749e-08,1.148
8.266e-08,1.293
8.551e-08,1.379
8.856e-08,1.471
9.184e-08,1.555
9.537e-08,1.649
9.919e-08,1.753
1.033e-07,1.868
1.078e-07,2.017
1.127e-07,2.218
1.181e-07,2.484
1.24e-07,2.582
1.305e-07,2.524
1.378e-07,2.297
1.459e-07,2.153
1.55e-07,2.058
1.771e-07,1.924
2.066e-07,1.774
