wavelength,n
1.53941e-06,1.62158
1.54036e-06,1.62157
1.54131e-06,1.62156
1.54226e-06,1.62155
1.54321e-06,1.62153
1.54416e-06,1.62152
1.54512e-06,1.62151
1.54607e-06,1.6215
1.54703e-06,1.62149
1.54799e-06,1.62148
1.54895e-06,1.62147
1.54991e-06,1.62145
1.55087e-06,1.62144
1.55183e-06,1.62143
1.5528e-06,1.62142
1.55376e-06,1.62141
1.55473e-06,1.6214
1.55569e-06,1.62138
1.55666e-06,1.62137
1.55763e-06,1.62136
1.5586e-06,1.62135
1.55958e-06,1.62134
1.56055e-06,1.62133
1.56152e-06,1.62131
1.5625e-06,1.6213
1.56348e-06,1.62129
1.56446e-06,1.62128
1.56544e-06,1.62127
1.56642e-06,1.62125
1.5674e-06,1.62124
1.56838e-06,1.62123
1.56937e-06,1.62122
1.57035e-06,1.62121
1.57134e-06,1.62119
1.57233e-06,1.62118
1.57332e-06,1.62117
1.57431e-06,1.62116
1.5753e-06,1.62115
1.57629e-06,1.62113
1.57729e-06,1.62112
1.57828e-06,1.62111
1.57928e-06,1.6211
1.58028e-06,1.62108
1.58128e-06,1.62107
1.58228e-06,1.62106
1.58328e-06,1.62105
1.58428e-06,1.62104
1.58529e-06,1.62102
1.58629e-06,1.62101
1.5873e-06,1.621
1.58831e-06,1.62099
1.58932e-06,1.62097
1.59033e-06,1.62096
1.59134e-06,1.62095
1.59236e-06,1.62094
1.59337e-06,1.62092
1.59439e-06,1.62091
1.59541e-06,1.6209
1.59642e-06,1.62088
1.59744e-06,1.62087
1.59847e-06,1.62086
1.59949e-06,1.62085
1.60051e-06,1.62083
1.60154e-06,1.62082
1.60256e-06,1.62081
1.60359e-06,1.6208
1.60462e-06,1.62078
1.60565e-06,1.62077
1.60668e-06,1.62076
1.60772e-06,1.62074
1.60875e-06,1.62073
1.60979e-06,1.62072
1.61082e-06,1.62071
1.61186e-06,1.62069
1.6129e-06,1.62068
1.61394e-06,1.62067
1.61499e-06,1.62065
1.61603e-06,1.62064
1.61708e-06,1.62063
1.61812e-06,1.62061
1.61917e-06,1.6206
1.62022e-06,1.62059
1.62127e-06,1.62057
1.62232e-06,1.62056
1.62338e-06,1.62055
1.62443e-06,1.62053
1.62549e-06,1.62052
1.62655e-06,1.62051
1.6276e-06,1.62049
1.62866e-06,1.62048
1.62973e-06,1.62047
1.63079e-06,1.62045
1.63185e-06,1.62044
1.63292e-06,1.62043
1.63399e-06,1.62041
1.63506e-06,1.6204
1.63613e-06,1.62039
1.6372e-06,1.62037
1.63827e-06,1.62036
1.63934e-06,1.62034
1.64042e-06,1.62033
1.6415e-06,1.62032
1.64258e-06,1.6203
1.64366e-06,1.62029
1.64474e-06,1.62028
1.64582e-06,1.62026
1.6469e-06,1.62025
1.64799e-06,1.62023
1.64908e-06,1.62022
1.65017e-06,1.62021
1.65125e-06,1.62019
1.65235e-06,1.62018
1.65344e-06,1.62016
1.65453e-06,1.62015
1.65563e-06,1.62014
1.65673e-06,1.62012
1.65782e-06,1.62011
1.65893e-06,1.62009
1.66003e-06,1.62008
1.66113e-06,1.62006
1.66223e-06,1.62005
1.66334e-06,1.62004
1.66445e-06,1.62002
1.66556e-06,1.62001
1.66667e-06,1.61999
1.66778e-06,1.61998
1.66889e-06,1.61996
1.67001e-06,1.61995
1.67112e-06,1.61993
1.67224e-06,1.61992
1.67336e-06,1.6199
1.67448e-06,1.61989
1.6756e-06,1.61988
1.67673e-06,1.61986
1.67785e-06,1.61985
