wavelength,n
1.53846e-15,2.02942
1.53941e-15,2.02941
1.54036e-15,2.0294
1.54131e-15,2.02939
1.54226e-15,2.02938
1.54321e-15,2.02937
1.54416e-15,2.02936
1.54512e-15,2.02935
1.54607e-15,2.02934
1.54703e-15,2.02933
1.54799e-15,2.02932
1.54895e-15,2.02931
1.54991e-15,2.0293
1.55087e-15,2.02929
1.55183e-15,2.02928
1.5528e-15,2.02927
1.55376e-15,2.02926
1.55473e-15,2.02925
1.55569e-15,2.02924
1.55666e-15,2.02923
1.55763e-15,2.02922
1.5586e-15,2.02921
1.55958e-15,2.0292
1.56055e-15,2.02919
1.56152e-15,2.02918
1.5625e-15,2.02917
1.56348e-15,2.02916
1.56446e-15,2.02915
1.56544e-15,2.02914
1.56642e-15,2.02913
1.5674e-15,2.02912
1.56838e-15,2.02911
1.56937e-15,2.0291
1.57035e-15,2.02909
1.57134e-15,2.02908
1.57233e-15,2.02907
1.57332e-15,2.02906
1.57431e-15,2.02905
1.5753e-15,2.02904
1.57629e-15,2.02903
1.57729e-15,2.02902
1.57828e-15,2.02901
1.57928e-15,2.029
1.58028e-15,2.02899
1.58128e-15,2.02898
1.58228e-15,2.02897
1.58328e-15,2.02896
1.58428e-15,2.02895
1.58529e-15,2.02894
1.58629e-15,2.02893
1.5873e-15,2.02892
1.58831e-15,2.0289
1.58932e-15,2.02889
1.59033e-15,2.02888
1.59134e-15,2.02887
1.59236e-15,2.02886
1.59337e-15,2.02885
1.59439e-15,2.02884
1.59541e-15,2.02883
1.59642e-15,2.02882
1.59744e-15,2.02881
1.59847e-15,2.0288
1.59949e-15,2.02879
1.60051e-15,2.02878
1.60154e-15,2.02876
1.60256e-15,2.02875
1.60359e-15,2.02874
1.60462e-15,2.02873
1.60565e-15,2.02872
1.60668e-15,2.02871
1.60772e-15,2.0287
1.60875e-15,2.02869
1.60979e-15,2.02868
1.61082e-15,2.02867
1.61186e-15,2.02865
1.6129e-15,2.02864
1.61394e-15,2.02863
1.61499e-15,2.02862
1.61603e-15,2.02861
1.61708e-15,2.0286
1.61812e-15,2.02859
1.61917e-15,2.02858
1.62022e-15,2.02857
1.62127e-15,2.02855
1.62232e-15,2.02854
1.62338e-15,2.02853
1.62443e-15,2.02852
1.62549e-15,2.02851
1.62655e-15,2.0285
1.6276e-15,2.02849
1.62866e-15,2.02847
1.62973e-15,2.02846
1.63079e-15,2.02845
1.63185e-15,2.02844
1.63292e-15,2.02843
1.63399e-15,2.02842
1.63506e-15,2.02841
1.63613e-15,2.02839
1.6372e-15,2.02838
1.63827e-15,2.02837
1.63934e-15,2.02836
1.64042e-15,2.02835
1.6415e-15,2.02833
1.64258e-15,2.02832
1.64366e-15,2.02831
1.64474e-15,2.0283
1.64582e-15,2.02829
1.6469e-15,2.02828
1.64799e-15,2.02826
1.64908e-15,2.02825
1.65017e-15,2.02824
1.65125e-15,2.02823
1.65235e-15,2.02822
1.65344e-15,2.0282
1.65453e-15,2.02819
1.65563e-15,2.02818
1.65673e-15,2.02817
1.65782e-15,2.02816
1.65893e-15,2.02814
1.66003e-15,2.02813
1.66113e-15,2.02812
1.66223e-15,2.02811
1.66334e-15,2.0281
1.66445e-15,2.02808
1.66556e-15,2.02807
1.66667e-15,2.02806
1.66778e-15,2.02805
1.66889e-15,2.02803
1.67001e-15,2.02802
1.67112e-15,2.02801
1.67224e-15,2.028
1.67336e-15,2.02798
1.67448e-15,2.02797
1.6756e-15,2.02796
1.67673e-15,2.02795
1.67785e-15,2.02793
1.67898e-15,2.02792
1.68011e-15,2.02791
1.68124e-15,2.0279
1.68237e-15,2.02788
1.6835e-15,2.02787
1.68464e-15,2.02786
1.68577e-15,2.02785
1.68691e-15,2.02783
1.68805e-15,2.02782
1.68919e-15,2.02781
1.69033e-15,2.02779
1.69147e-15,2.02778
1.69262e-15,2.02777
1.69377e-15,2.02776
1.69492e-15,2.02774
1.69607e-15,2.02773
1.69722e-15,2.02772
1.69837e-15,2.0277
1.69952e-15,2.02769
1.70068e-15,2.02768
1.70184e-15,2.02766
1.703e-15,2.02765
1.70416e-15,2.02764
1.70532e-15,2.02762
1.70648e-15,2.02761
1.70765e-15,2.0276
1.70882e-15,2.02759
1.70999e-15,2.02757
1.71116e-15,2.02756
1.71233e-15,2.02755
1.7135e-15,2.02753
1.71468e-15,2.02752
1.71585e-15,2.0275
1.71703e-15,2.02749
1.71821e-15,2.02748
1.71939e-15,2.02746
1.72058e-15,2.02745
1.72176e-15,2.02744
1.72295e-15,2.02742
1.72414e-15,2.02741
1.72533e-15,2.0274
1.72652e-15,2.02738
1.72771e-15,2.02737
1.72891e-15,2.02736
1.7301e-15,2.02734
1.7313e-15,2.02733
1.7325e-15,2.02731
1.7337e-15,2.0273
1.73491e-15,2.02729
1.73611e-15,2.02727
1.73732e-15,2.02726
1.73853e-15,2.02724
1.73974e-15,2.02723
1.74095e-15,2.02722
1.74216e-15,2.0272
1.74338e-15,2.02719
1.74459e-15,2.02717
1.74581e-15,2.02716
1.74703e-15,2.02715
1.74825e-15,2.02713
1.74948e-15,2.02712
1.7507e-15,2.0271
1.75193e-15,2.02709
1.75316e-15,2.02707
1.75439e-15,2.02706
1.75562e-15,2.02705
1.75685e-15,2.02703
1.75809e-15,2.02702
1.75932e-15,2.027
1.76056e-15,2.02699
1.7618e-15,2.02697
1.76305e-15,2.02696
1.76429e-15,2.02694
1.76554e-15,2.02693
1.76678e-15,2.02691
1.76803e-15,2.0269
1.76929e-15,2.02688
1.77054e-15,2.02687
1.77179e-15,2.02685
1.77305e-15,2.02684
1.77431e-15,2.02682
1.77557e-15,2.02681
1.77683e-15,2.0268
1.77809e-15,2.02678
1.77936e-15,2.02677
1.78063e-15,2.02675
1.7819e-15,2.02673
1.78317e-15,2.02672
1.78444e-15,2.0267
1.78571e-15,2.02669
1.78699e-15,2.02667
1.78827e-15,2.02666
1.78955e-15,2.02664
1.79083e-15,2.02663
1.79211e-15,2.02661
1.7934e-15,2.0266
1.79469e-15,2.02658
1.79598e-15,2.02657
1.79727e-15,2.02655
1.79856e-15,2.02654
1.79986e-15,2.02652
1.80115e-15,2.0265
1.80245e-15,2.02649
1.80375e-15,2.02647
1.80505e-15,2.02646
1.80636e-15,2.02644
1.80766e-15,2.02643
1.80897e-15,2.02641
1.81028e-15,2.02639
1.81159e-15,2.02638
1.81291e-15,2.02636
1.81422e-15,2.02635
1.81554e-15,2.02633
1.81686e-15,2.02631
1.81818e-15,2.0263
1.81951e-15,2.02628
1.82083e-15,2.02627
1.82216e-15,2.02625
1.82349e-15,2.02623
1.82482e-15,2.02622
1.82615e-15,2.0262
1.82749e-15,2.02619
1.82882e-15,2.02617
1.83016e-15,2.02615
1.8315e-15,2.02614
1.83284e-15,2.02612
1.83419e-15,2.0261
1.83554e-15,2.02609
1.83688e-15,2.02607
1.83824e-15,2.02605
1.83959e-15,2.02604
1.84094e-15,2.02602
1.8423e-15,2.026
1.84366e-15,2.02599
1.84502e-15,2.02597
1.84638e-15,2.02595
1.84775e-15,2.02594
1.84911e-15,2.02592
1.85048e-15,2.0259
1.85185e-15,2.02589
1.85322e-15,2.02587
1.8546e-15,2.02585
1.85598e-15,2.02583
1.85736e-15,2.02582
1.85874e-15,2.0258
1.86012e-15,2.02578
1.8615e-15,2.02577
1.86289e-15,2.02575
1.86428e-15,2.02573
1.86567e-15,2.02571
1.86706e-15,2.0257
1.86846e-15,2.02568
1.86986e-15,2.02566
1.87126e-15,2.02564
1.87266e-15,2.02563
1.87406e-15,2.02561
1.87547e-15,2.02559
1.87688e-15,2.02557
1.87829e-15,2.02556
1.8797e-15,2.02554
1.88111e-15,2.02552
1.88253e-15,2.0255
1.88395e-15,2.02548
1.88537e-15,2.02547
1.88679e-15,2.02545
1.88822e-15,2.02543
1.88964e-15,2.02541
1.89107e-15,2.02539
1.89251e-15,2.02538
1.89394e-15,2.02536
1.89538e-15,2.02534
1.89681e-15,2.02532
1.89825e-15,2.0253
1.8997e-15,2.02528
1.90114e-15,2.02527
1.90259e-15,2.02525
1.90404e-15,2.02523
1.90549e-15,2.02521
1.90694e-15,2.02519
1.9084e-15,2.02517
1.90985e-15,2.02515
1.91131e-15,2.02514
1.91278e-15,2.02512
1.91424e-15,2.0251
1.91571e-15,2.02508
1.91718e-15,2.02506
1.91865e-15,2.02504
1.92012e-15,2.02502
1.9216e-15,2.025
1.92308e-15,2.02498
1.92456e-15,2.02497
1.92604e-15,2.02495
1.92753e-15,2.02493
1.92901e-15,2.02491
1.9305e-15,2.02489
1.93199e-15,2.02487
1.93349e-15,2.02485
1.93498e-15,2.02483
1.93648e-15,2.02481
1.93798e-15,2.02479
1.93949e-15,2.02477
1.94099e-15,2.02475
1.9425e-15,2.02473
