wavelength,k
2.138e-16,2.4
2.175e-16,2.42
2.214e-16,2.46
2.254e-16,2.52
2.296e-16,2.58
2.339e-16,2.59
2.384e-16,2.58
2.431e-16,2.59
2.48e-16,2.64
2.53e-16,2.72
2.583e-16,2.84
2.638e-16,2.99
2.695e-16,3.16
2.755e-16,3.39
2.818e-16,3.7
2.883e-16,4.07
2.952e-16,4.22
3.024e-16,4.0
3.1e-16,3.71
3.179e-16,3.4
3.263e-16,3.16
3.351e-16,2.97
3.444e-16,2.81
3.542e-16,2.69
3.647e-16,2.64
3.757e-16,2.69
3.875e-16,2.47
3.999e-16,2.12
4.133e-16,1.97
4.275e-16,2.06
4.428e-16,1.58
4.592e-16,0.92
4.769e-16,0.63
4.959e-16,0.46
5.166e-16,0.33
5.391e-16,0.24
5.636e-16,0.01
5.904e-16,0.006
6.199e-16,0.004
6.525e-16,0.003
6.888e-16,0.002
7.293e-16,0.001
7.749e-16,0.0003
8.266e-16,0.0002
8.856e-16,0.0001
