wavelength,k
2.066e-07,1.151
2.101e-07,1.182
2.138e-07,1.21
2.175e-07,1.245
2.214e-07,1.279
2.254e-07,1.311
2.296e-07,1.346
2.339e-07,1.381
2.384e-07,1.415
2.431e-07,1.458
2.48e-07,1.502
2.53e-07,1.555
2.583e-07,1.607
2.638e-07,1.657
2.695e-07,1.71
2.755e-07,1.757
2.818e-07,1.78
2.883e-07,1.792
2.952e-07,1.798
3.024e-07,1.813
3.1e-07,1.83
3.179e-07,1.83
3.263e-07,1.816
3.351e-07,1.778
3.444e-07,1.751
3.542e-07,1.755
3.647e-07,1.78
3.757e-07,1.801
3.875e-07,1.824
3.999e-07,1.839
4.133e-07,1.825
4.275e-07,1.811
4.428e-07,1.797
4.592e-07,1.736
4.769e-07,1.56
4.959e-07,1.629
5.166e-07,1.853
5.391e-07,2.249
5.636e-07,2.569
5.904e-07,2.88
6.199e-07,3.204
6.525e-07,3.529
6.888e-07,3.871
7.293e-07,4.242
7.749e-07,4.63
8.266e-07,5.05
8.856e-07,5.517
9.537e-07,6.038
1.033e-06,6.633
1.127e-06,7.332
1.24e-06,8.142
1.305e-06,8.613
1.378e-06,9.141
1.459e-06,9.72
1.55e-06,10.35
1.653e-06,11.08
1.771e-06,11.93
1.907e-06,12.89
2.066e-06,14.0
2.254e-06,15.3
2.48e-06,16.86
2.755e-06,18.72
3.1e-06,21.09
3.542e-06,24.2
4.133e-06,28.27
4.959e-06,33.95
6.199e-06,42.43
8.266e-06,56.47
1.24e-05,84.09
