wavelength,k
3.542e-18,0.00167
4.133e-18,0.00324
4.428e-18,0.00401
4.769e-18,0.00553
5.166e-18,0.00528
5.636e-18,0.00581
6.199e-18,0.00572
6.525e-18,0.00548
6.888e-18,0.00481
7.293e-18,0.00365
7.749e-18,0.00314
8.266e-18,0.00306
8.856e-18,0.00271
9.184e-18,0.00309
9.537e-18,0.00379
9.919e-18,0.0046
1.033e-17,0.00608
1.078e-17,0.00908
1.127e-17,0.0133
1.181e-17,0.0181
1.24e-17,0.0256
1.305e-17,0.0342
1.333e-17,0.0394
1.362e-17,0.0455
1.393e-17,0.0526
1.409e-17,0.0554
1.417e-17,0.0558
1.425e-17,0.0576
1.442e-17,0.0613
1.459e-17,0.0648
1.467e-17,0.0634
1.476e-17,0.0633
1.485e-17,0.0637
1.494e-17,0.0653
1.512e-17,0.0682
1.55e-17,0.0752
1.59e-17,0.0813
1.631e-17,0.0871
1.675e-17,0.0927
1.722e-17,0.0997
1.771e-17,0.112
1.823e-17,0.124
1.879e-17,0.136
1.937e-17,0.147
2e-17,0.156
2.066e-17,0.162
2.138e-17,0.166
2.214e-17,0.171
2.296e-17,0.18
2.384e-17,0.19
2.48e-17,0.204
2.53e-17,0.213
2.583e-17,0.225
2.638e-17,0.238
2.695e-17,0.254
2.755e-17,0.27
2.818e-17,0.282
2.883e-17,0.298
2.952e-17,0.303
3.024e-17,0.317
3.1e-17,0.334
3.179e-17,0.353
3.263e-17,0.371
3.351e-17,0.391
3.444e-17,0.414
3.542e-17,0.439
3.647e-17,0.473
3.757e-17,0.515
3.875e-17,0.57
3.999e-17,0.596
4.065e-17,0.601
4.133e-17,0.603
4.203e-17,0.601
4.275e-17,0.599
4.428e-17,0.607
4.592e-17,0.635
4.769e-17,0.679
4.959e-17,0.736
5.166e-17,0.808
5.276e-17,0.844
5.391e-17,0.877
5.51e-17,0.901
5.636e-17,0.919
5.767e-17,0.906
5.904e-17,0.865
6.199e-17,0.763
6.525e-17,0.703
6.888e-17,0.682
7.293e-17,0.707
7.749e-17,0.739
8.266e-17,0.775
8.856e-17,0.802
9.537e-17,0.823
1.033e-16,0.859
1.078e-16,0.895
1.127e-16,0.982
1.181e-16,1.04
1.24e-16,1.09
1.305e-16,1.1
1.378e-16,1.17
1.459e-16,1.19
1.55e-16,1.24
1.653e-16,1.15
1.771e-16,1.13
1.907e-16,1.2
2.066e-16,1.33
2.254e-16,1.48
2.48e-16,1.65
2.61e-16,1.77
2.818e-16,1.88
2.952e-16,1.89
3.1e-16,1.88
3.263e-16,1.86
3.444e-16,1.82
3.594e-16,1.83
3.757e-16,1.88
3.936e-16,1.9
4.133e-16,1.89
4.428e-16,1.83
4.769e-16,1.72
5.166e-16,1.9
5.636e-16,2.63
6.199e-16,3.33
8.266e-16,5.28
