wavelength,n
3.542e-18,0.991
4.133e-18,0.99
4.428e-18,0.99
4.769e-18,0.989
5.166e-18,0.989
5.636e-18,0.987
6.199e-18,0.985
6.525e-18,0.984
6.888e-18,0.983
7.293e-18,0.979
7.749e-18,0.976
8.266e-18,0.971
8.856e-18,0.964
9.184e-18,0.96
9.537e-18,0.955
9.919e-18,0.95
1.033e-17,0.943
1.078e-17,0.936
1.127e-17,0.928
1.181e-17,0.918
1.24e-17,0.91
1.305e-17,0.9
1.333e-17,0.896
1.362e-17,0.891
1.393e-17,0.889
1.409e-17,0.889
1.417e-17,0.888
1.425e-17,0.887
1.442e-17,0.886
1.459e-17,0.887
1.467e-17,0.888
1.476e-17,0.888
1.485e-17,0.885
1.494e-17,0.884
1.512e-17,0.881
1.55e-17,0.878
1.59e-17,0.875
1.631e-17,0.873
1.675e-17,0.869
1.722e-17,0.862
1.771e-17,0.857
1.823e-17,0.855
1.879e-17,0.856
1.937e-17,0.857
2e-17,0.859
2.066e-17,0.863
2.138e-17,0.861
2.214e-17,0.856
2.296e-17,0.848
2.384e-17,0.839
2.48e-17,0.828
2.53e-17,0.821
2.583e-17,0.814
2.638e-17,0.809
2.695e-17,0.805
2.755e-17,0.805
2.818e-17,0.807
2.883e-17,0.807
2.952e-17,0.804
3.024e-17,0.799
3.1e-17,0.795
3.179e-17,0.793
3.263e-17,0.791
3.351e-17,0.788
3.444e-17,0.786
3.542e-17,0.783
3.647e-17,0.779
3.757e-17,0.781
3.875e-17,0.805
3.999e-17,0.851
4.065e-17,0.87
4.133e-17,0.887
4.203e-17,0.9
4.275e-17,0.905
4.428e-17,0.901
4.592e-17,0.895
4.769e-17,0.896
4.959e-17,0.91
5.166e-17,0.944
5.276e-17,0.978
5.391e-17,1.021
5.51e-17,1.073
5.636e-17,1.137
5.767e-17,1.214
5.904e-17,1.274
6.199e-17,1.31
6.525e-17,1.292
6.888e-17,1.257
7.293e-17,1.231
7.749e-17,1.229
8.266e-17,1.236
8.856e-17,1.254
9.537e-17,1.265
1.033e-16,1.245
1.078e-16,1.215
1.127e-16,1.225
1.181e-16,1.267
1.24e-16,1.319
1.305e-16,1.346
1.378e-16,1.392
1.459e-16,1.449
1.55e-16,1.522
1.653e-16,1.582
1.771e-16,1.516
1.907e-16,1.433
2.066e-16,1.412
2.254e-16,1.427
2.48e-16,1.452
2.61e-16,1.496
2.818e-16,1.66
2.952e-16,1.739
3.1e-16,1.798
3.263e-16,1.838
3.444e-16,1.832
3.594e-16,1.77
3.757e-16,1.753
3.936e-16,1.75
4.133e-16,1.729
4.428e-16,1.649
4.769e-16,1.378
5.166e-16,0.7
5.636e-16,0.361
6.199e-16,0.245
8.266e-16,0.212
