wavelength,k
8.266e-21,2.56e-09
1.494e-20,1.95e-08
1.55e-20,5.22e-09
2.48e-20,3.05e-08
4.133e-20,1.85e-07
6.199e-20,8.83e-07
8.266e-20,2.28e-06
8.856e-20,1.94e-06
9.537e-20,2.56e-06
1.24e-19,2.53e-06
2.48e-19,2.87e-05
4.275e-19,0.000164
4.35e-19,0.000145
4.959e-19,0.000211
6.199e-19,0.00012
1.24e-18,0.00096
1.55e-18,0.00163
2.066e-18,0.0034
2.48e-18,0.00471
3.542e-18,0.00731
4.133e-18,0.00895
4.428e-18,0.00976
4.769e-18,0.0106
5.166e-18,0.0113
5.636e-18,0.0118
6.199e-18,0.0115
6.525e-18,0.0111
6.888e-18,0.0107
7.293e-18,0.0103
7.749e-18,0.0101
8.266e-18,0.0101
8.856e-18,0.0109
9.184e-18,0.0118
9.537e-18,0.0133
9.919e-18,0.0152
1.033e-17,0.0178
1.078e-17,0.0224
1.127e-17,0.0283
1.181e-17,0.0353
1.24e-17,0.0454
1.305e-17,0.057
1.333e-17,0.0636
1.362e-17,0.0718
1.393e-17,0.0807
1.409e-17,0.0838
1.417e-17,0.0844
1.425e-17,0.087
1.442e-17,0.0918
1.459e-17,0.0956
1.467e-17,0.0962
1.476e-17,0.0938
1.485e-17,0.0943
1.494e-17,0.0963
1.512e-17,0.101
1.55e-17,0.109
1.59e-17,0.117
1.631e-17,0.124
1.675e-17,0.131
1.722e-17,0.14
1.771e-17,0.155
1.823e-17,0.171
1.879e-17,0.186
1.937e-17,0.199
2e-17,0.211
2.066e-17,0.219
2.138e-17,0.223
2.214e-17,0.23
2.296e-17,0.241
2.384e-17,0.255
2.48e-17,0.272
2.53e-17,0.284
2.583e-17,0.298
2.638e-17,0.315
2.695e-17,0.335
2.755e-17,0.355
2.818e-17,0.371
2.883e-17,0.384
2.952e-17,0.398
3.024e-17,0.415
3.1e-17,0.438
3.179e-17,0.461
3.263e-17,0.484
3.351e-17,0.511
3.444e-17,0.54
3.542e-17,0.573
3.647e-17,0.617
3.757e-17,0.672
3.875e-17,0.747
3.999e-17,0.788
4.065e-17,0.799
4.133e-17,0.804
4.203e-17,0.803
4.275e-17,0.802
4.428e-17,0.814
4.592e-17,0.855
4.769e-17,0.917
4.959e-17,1.0
5.166e-17,1.12
5.276e-17,1.18
5.391e-17,1.24
5.51e-17,1.28
5.636e-17,1.29
5.767e-17,1.27
5.904e-17,1.21
6.199e-17,1.07
6.525e-17,0.95
6.888e-17,0.865
7.293e-17,0.865
7.749e-17,0.898
8.266e-17,0.934
8.856e-17,0.922
9.537e-17,0.899
1.033e-16,0.908
1.078e-16,0.92
1.127e-16,0.945
1.181e-16,0.99
1.24e-16,1.05
1.305e-16,1.07
1.378e-16,1.14
1.459e-16,1.17
1.55e-16,1.22
1.653e-16,1.15
1.771e-16,1.13
1.907e-16,1.19
2.066e-16,1.3
2.254e-16,1.45
2.48e-16,1.65
2.61e-16,1.77
2.818e-16,1.87
2.952e-16,1.89
3.1e-16,1.88
3.263e-16,1.86
3.444e-16,1.81
3.594e-16,1.84
3.757e-16,1.88
3.936e-16,1.89
4.133e-16,1.86
4.428e-16,1.81
4.769e-16,1.71
5.166e-16,2.01
5.636e-16,2.64
6.199e-16,3.31
8.266e-16,5.13
1.24e-15,8.36
2.48e-15,18.1
1.24e-14,80.7
2.48e-14,124.0
1.24e-13,256.0
2.48e-13,379.0
