wavelength,n
8.266e-21,1.0
1.494e-20,1.002
1.55e-20,1.0
2.48e-20,1.0
4.133e-20,1.0
6.199e-20,1.0
8.266e-20,1.0
8.856e-20,1.001
9.537e-20,1.001
1.24e-19,1.0
2.48e-19,1.001
4.275e-19,0.999
4.35e-19,0.999
4.959e-19,1.0
6.199e-19,1.0
1.24e-18,0.998
1.55e-18,0.997
2.066e-18,0.996
2.48e-18,0.995
3.542e-18,0.992
4.133e-18,0.991
4.428e-18,0.989
4.769e-18,0.988
5.166e-18,0.987
5.636e-18,0.986
6.199e-18,0.983
6.525e-18,0.981
6.888e-18,0.979
7.293e-18,0.975
7.749e-18,0.97
8.266e-18,0.963
8.856e-18,0.955
9.184e-18,0.949
9.537e-18,0.944
9.919e-18,0.937
1.033e-17,0.929
1.078e-17,0.92
1.127e-17,0.911
1.181e-17,0.9
1.24e-17,0.889
1.305e-17,0.877
1.333e-17,0.872
1.362e-17,0.868
1.393e-17,0.865
1.409e-17,0.866
1.417e-17,0.865
1.425e-17,0.863
1.442e-17,0.862
1.459e-17,0.864
1.467e-17,0.865
1.476e-17,0.865
1.485e-17,0.861
1.494e-17,0.86
1.512e-17,0.857
1.55e-17,0.853
1.59e-17,0.85
1.631e-17,0.847
1.675e-17,0.842
1.722e-17,0.835
1.771e-17,0.828
1.823e-17,0.827
1.879e-17,0.828
1.937e-17,0.83
2e-17,0.833
2.066e-17,0.838
2.138e-17,0.836
2.214e-17,0.83
2.296e-17,0.82
2.384e-17,0.808
2.48e-17,0.795
2.53e-17,0.787
2.583e-17,0.778
2.638e-17,0.771
2.695e-17,0.767
2.755e-17,0.767
2.818e-17,0.77
2.883e-17,0.77
2.952e-17,0.766
3.024e-17,0.76
3.1e-17,0.754
3.179e-17,0.751
3.263e-17,0.749
3.351e-17,0.745
3.444e-17,0.741
3.542e-17,0.737
3.647e-17,0.73
3.757e-17,0.73
3.875e-17,0.757
3.999e-17,0.818
4.065e-17,0.844
4.133e-17,0.868
4.203e-17,0.887
4.275e-17,0.896
4.428e-17,0.892
4.592e-17,0.885
4.769e-17,0.886
4.959e-17,0.905
5.166e-17,0.953
5.276e-17,1.005
5.391e-17,1.08
5.51e-17,1.183
5.636e-17,1.292
5.767e-17,1.406
5.904e-17,1.499
6.199e-17,1.584
6.525e-17,1.612
6.888e-17,1.565
7.293e-17,1.513
7.749e-17,1.505
8.266e-17,1.54
8.856e-17,1.591
9.537e-17,1.592
1.033e-16,1.583
1.078e-16,1.569
1.127e-16,1.556
1.181e-16,1.548
1.24e-16,1.572
1.305e-16,1.585
1.378e-16,1.614
1.459e-16,1.666
1.55e-16,1.727
1.653e-16,1.786
1.771e-16,1.728
1.907e-16,1.665
2.066e-16,1.618
2.254e-16,1.603
2.48e-16,1.638
2.61e-16,1.702
2.818e-16,1.848
2.952e-16,1.927
3.1e-16,1.995
3.263e-16,2.039
3.444e-16,2.024
3.594e-16,1.967
3.757e-16,1.96
3.936e-16,1.96
4.133e-16,1.95
4.428e-16,1.862
4.769e-16,1.541
5.166e-16,0.878
5.636e-16,0.613
6.199e-16,0.487
8.266e-16,0.418
1.24e-15,0.375
2.48e-15,1.273
1.24e-14,26.9
2.48e-14,65.5
1.24e-13,222.0
2.48e-13,345.0
