wavelength,n
1.879e-07,1.28
1.916e-07,1.32
1.953e-07,1.34
1.993e-07,1.33
2.033e-07,1.33
2.073e-07,1.3
2.119e-07,1.3
2.164e-07,1.3
2.214e-07,1.3
2.262e-07,1.31
2.313e-07,1.3
2.371e-07,1.32
2.426e-07,1.32
2.49e-07,1.33
2.551e-07,1.33
2.616e-07,1.35
2.689e-07,1.38
2.761e-07,1.43
2.844e-07,1.47
2.924e-07,1.49
3.009e-07,1.53
3.107e-07,1.53
3.204e-07,1.54
3.315e-07,1.48
3.425e-07,1.48
3.542e-07,1.5
3.679e-07,1.48
3.815e-07,1.46
3.974e-07,1.47
4.133e-07,1.46
4.305e-07,1.45
4.509e-07,1.38
4.714e-07,1.31
4.959e-07,1.04
5.209e-07,0.62
5.486e-07,0.43
5.821e-07,0.29
6.168e-07,0.21
6.595e-07,0.14
7.045e-07,0.13
7.56e-07,0.14
8.211e-07,0.16
8.92e-07,0.17
9.84e-07,0.22
1.088e-06,0.27
1.216e-06,0.35
1.393e-06,0.43
1.61e-06,0.56
1.937e-06,0.92
