wavelength,n
3.5e-07,1.89894322
3.55e-07,1.87408874
3.6e-07,1.85058796
3.65e-07,1.82869707
3.7e-07,1.80864016
3.75e-07,1.79059499
3.8e-07,1.77467711
3.85e-07,1.76092302
3.9e-07,1.74927309
3.95e-07,1.73955559
4e-07,1.73147339
4.05e-07,1.72459545
4.1e-07,1.71835555
4.15e-07,1.71206075
4.2e-07,1.70491162
4.25e-07,1.6960351
4.3e-07,1.68452911
4.35e-07,1.66951584
4.4e-07,1.65019884
4.45e-07,1.62591783
4.5e-07,1.59619533
4.55e-07,1.56077076
4.6e-07,1.5196197
4.65e-07,1.47295854
4.7e-07,1.4212358
4.75e-07,1.36511216
4.8e-07,1.30543017
4.85e-07,1.24317362
4.9e-07,1.17941632
4.95e-07,1.11526124
5e-07,1.05177405
5.05e-07,0.98991867
5.1e-07,0.93050439
5.15e-07,0.87415257
5.2e-07,0.82128665
5.25e-07,0.7721435
5.3e-07,0.72680003
5.35e-07,0.68520729
5.4e-07,0.64722553
5.45e-07,0.61265558
5.5e-07,0.58126445
5.55e-07,0.55280465
5.6e-07,0.52702781
5.65e-07,0.50369372
5.7e-07,0.48257573
5.75e-07,0.46346371
5.8e-07,0.44616522
5.85e-07,0.43050552
5.9e-07,0.41632689
5.95e-07,0.4034876
6e-07,0.39186057
6.05e-07,0.38133211
6.1e-07,0.37180052
6.15e-07,0.3631749
6.2e-07,0.35537392
6.25e-07,0.34832483
6.3e-07,0.34196244
6.35e-07,0.33622829
6.4e-07,0.33106987
6.45e-07,0.32643998
6.5e-07,0.3222961
6.55e-07,0.31859985
6.6e-07,0.3153166
6.65e-07,0.31241497
6.7e-07,0.30986654
6.75e-07,0.3076455
6.8e-07,0.30572836
6.85e-07,0.30409376
6.9e-07,0.30272219
6.95e-07,0.30159583
7e-07,0.30069838
7.05e-07,0.30001489
7.1e-07,0.29953164
7.15e-07,0.29923605
7.2e-07,0.29911651
7.25e-07,0.29916233
7.3e-07,0.29936366
7.35e-07,0.29971138
7.4e-07,0.30019707
7.45e-07,0.30081292
7.5e-07,0.3015517
7.55e-07,0.30240669
7.6e-07,0.30337166
7.65e-07,0.30444079
7.7e-07,0.30560868
7.75e-07,0.3068703
7.8e-07,0.30822094
7.85e-07,0.30965621
7.9e-07,0.31117201
7.95e-07,0.3127645
8e-07,0.31443009
8.05e-07,0.31616541
8.1e-07,0.31796729
8.15e-07,0.31983278
8.2e-07,0.32175909
8.25e-07,0.3237436
8.3e-07,0.32578385
8.35e-07,0.32787752
8.4e-07,0.33002242
8.45e-07,0.33221651
8.5e-07,0.33445783
8.55e-07,0.33674456
8.6e-07,0.33907496
8.65e-07,0.34144741
8.7e-07,0.34386035
8.75e-07,0.34631233
8.8e-07,0.34880195
8.85e-07,0.35132792
8.9e-07,0.35388899
8.95e-07,0.35648397
9e-07,0.35911177
9.05e-07,0.36177131
9.1e-07,0.36446159
9.15e-07,0.36718167
9.2e-07,0.36993062
9.25e-07,0.37270759
9.3e-07,0.37551177
9.35e-07,0.37834236
9.4e-07,0.38119863
9.45e-07,0.38407988
9.5e-07,0.38698542
9.55e-07,0.38991462
9.6e-07,0.39286687
9.65e-07,0.39584158
9.7e-07,0.3988382
9.75e-07,0.4018562
9.8e-07,0.40489507
9.85e-07,0.40795433
9.9e-07,0.41103352
9.95e-07,0.4141322
1e-06,0.41724994
1.005e-06,0.42038634
1.01e-06,0.42354102
1.015e-06,0.42671362
1.02e-06,0.42990376
1.025e-06,0.43311113
1.03e-06,0.4363354
1.035e-06,0.43957625
1.04e-06,0.44283339
1.045e-06,0.44610654
1.05e-06,0.44939542
1.055e-06,0.45269978
1.06e-06,0.45601936
1.065e-06,0.45935392
1.07e-06,0.46270324
1.075e-06,0.46606709
1.08e-06,0.46944526
1.085e-06,0.47283754
1.09e-06,0.47624375
1.095e-06,0.47966368
1.1e-06,0.48309717
1.105e-06,0.48654404
1.11e-06,0.49000412
1.115e-06,0.49347725
1.12e-06,0.49696327
1.125e-06,0.50046205
1.13e-06,0.50397343
1.135e-06,0.50749727
1.14e-06,0.51103346
1.145e-06,0.51458185
1.15e-06,0.51814232
1.155e-06,0.52171476
1.16e-06,0.52529906
1.165e-06,0.52889509
1.17e-06,0.53250277
1.175e-06,0.53612198
1.18e-06,0.53975262
1.185e-06,0.5433946
1.19e-06,0.54704784
1.195e-06,0.55071223
1.2e-06,0.5543877
1.205e-06,0.55807417
1.21e-06,0.56177154
1.215e-06,0.56547975
1.22e-06,0.56919873
1.225e-06,0.57292839
1.23e-06,0.57666867
1.235e-06,0.58041951
1.24e-06,0.58418084
1.245e-06,0.58795258
1.25e-06,0.5917347
1.255e-06,0.59552712
1.26e-06,0.59932978
1.265e-06,0.60314264
1.27e-06,0.60696564
1.275e-06,0.61079873
1.28e-06,0.61464185
1.285e-06,0.61849496
1.29e-06,0.62235802
1.295e-06,0.62623096
1.3e-06,0.63011376
1.305e-06,0.63400637
1.31e-06,0.63790875
1.315e-06,0.64182085
1.32e-06,0.64574263
1.325e-06,0.64967406
1.33e-06,0.65361511
1.335e-06,0.65756573
1.34e-06,0.66152588
1.345e-06,0.66549555
1.35e-06,0.66947468
1.355e-06,0.67346325
1.36e-06,0.67746123
1.365e-06,0.68146859
1.37e-06,0.6854853
1.375e-06,0.68951132
1.38e-06,0.69354663
1.385e-06,0.69759121
1.39e-06,0.70164502
1.395e-06,0.70570804
