wavelength,n
6.67e-07,0.219
7.14e-07,0.177
7.69e-07,0.179
8.33e-07,0.188
9.09e-07,0.205
1e-06,0.229
1.05e-06,0.243
1.11e-06,0.258
1.18e-06,0.276
1.25e-06,0.296
1.33e-06,0.319
1.43e-06,0.348
1.54e-06,0.384
1.67e-06,0.43
1.82e-06,0.492
2e-06,0.581
2.11e-06,0.64
2.22e-06,0.71
2.35e-06,0.793
2.5e-06,0.89
2.67e-06,1.0
2.86e-06,1.14
3.08e-06,1.31
3.33e-06,1.52
3.64e-06,1.81
4e-06,2.2
4.44e-06,2.74
5e-06,3.5
5.71e-06,4.54
6.67e-06,6.03
8e-06,8.29
1e-05,12.1
1.11e-05,14.7
1.25e-05,18.2
1.43e-05,23.0
1.67e-05,29.8
2e-05,39.9
2.22e-05,46.8
2.5e-05,54.8
2.86e-05,64.3
3.33e-05,76.4
4e-05,93.5
4.44e-05,105.0
5e-05,119.0
5.71e-05,137.0
6.67e-05,160.0
8e-05,188.0
0.0001,225.0
0.000125,263.0
0.000154,302.0
0.0002,356.0
0.000286,447.0
