wavelength,k
2.066e-07,1.98591656445
2.1089508319e-07,1.97534779229
2.15279458439e-07,1.96597777856
2.19754982075e-07,1.95853718525
2.24323549012e-07,1.95347479861
2.28987093564e-07,1.95092054945
2.33747590255e-07,1.95067979422
2.38607054657e-07,1.9522622682
2.43567544248e-07,1.95494272809
2.48631159276e-07,1.95784420876
2.53800043655e-07,1.96003112281
2.59076385867e-07,1.96059922867
2.64462419893e-07,1.95875241037
2.69960426156e-07,1.95386083963
2.75572732488e-07,1.94549986044
2.81301715116e-07,1.93347278078
2.87149799665e-07,1.91782321271
2.93119462189e-07,1.89884348931
2.99213230217e-07,1.87708470227
3.05433683824e-07,1.8533704822
3.11783456723e-07,1.82881024922
3.18265237381e-07,1.80479849309
3.24881770154e-07,1.78297652266
3.31635856454e-07,1.76512629255
3.38530355932e-07,1.75296935729
3.45568187689e-07,1.74786631426
3.52752331512e-07,1.7504582283
3.60085829136e-07,1.76035121563
3.67571785533e-07,1.77598261657
3.75213370223e-07,1.79477454227
3.83013818621e-07,1.8135693006
3.90976433402e-07,1.82921617912
3.99104585903e-07,1.83912927233
4.07401717548e-07,1.84168456543
4.15871341306e-07,1.83641651484
4.2451704318e-07,1.82404632603
4.33342483722e-07,1.80640361052
4.42351399584e-07,1.78630032214
4.51547605104e-07,1.76739565371
4.60934993913e-07,1.75405729533
4.70517540592e-07,1.75117198333
4.80299302349e-07,1.76378471582
4.9028442074e-07,1.79639799686
5.0047712342e-07,1.85189192283
5.10881725935e-07,1.93046771509
5.21502633549e-07,2.02941584261
5.32344343107e-07,2.14408290908
5.43411444943e-07,2.26939106271
5.54708624818e-07,2.40097284195
5.6624066591e-07,2.53559991916
5.78012450835e-07,2.67112775467
5.90028963715e-07,2.80625688674
6.02295292289e-07,2.94028330861
6.14816630068e-07,3.07289808958
6.27598278532e-07,3.204042941
6.40645649374e-07,3.33381143007
6.53964266795e-07,3.46238342848
6.67559769839e-07,3.58998261813
6.81437914784e-07,3.71684963608
6.95604577575e-07,3.84322568932
7.10065756315e-07,3.96934309571
7.24827573806e-07,4.09542033789
7.39896280135e-07,4.22165999327
7.55278255329e-07,4.34824843716
7.70980012047e-07,4.47535658348
7.87008198346e-07,4.60314118084
8.03369600489e-07,4.73174635512
8.20071145824e-07,4.86130520764
8.37119905712e-07,4.99194135685
8.54523098523e-07,5.12377036316
8.72288092693e-07,5.25690100961
8.90422409845e-07,5.39143643137
9.08933727968e-07,5.52747509882
9.27829884674e-07,5.66511166545
9.47118880514e-07,5.80443769435
9.66808882365e-07,5.94554227814
9.86908226887e-07,6.08851256644
1.00742542406e-06,6.23343421379
1.02836916076e-06,6.38039175994
1.0497483045e-06,6.52946895243
1.07157190709e-06,6.68074902054
1.09384920857e-06,6.8343149079
1.11658964103e-06,6.99024947049
1.13980283269e-06,7.14863564526
1.16349861191e-06,7.30955659417
1.18768701137e-06,7.47309582753
1.21237827235e-06,7.63933730999
1.237582849e-06,7.80836555206
