wavelength,k
1.378047e-09,5.1e-05
1.380047e-09,5.1e-05
1.382047e-09,5.1e-05
1.384047e-09,5.2e-05
1.386047e-09,5.2e-05
1.388047e-09,5.2e-05
1.390047e-09,5.2e-05
1.392047e-09,5.3e-05
1.394047e-09,5.3e-05
1.396047e-09,5.3e-05
1.398047e-09,5.3e-05
1.400047e-09,5.4e-05
1.402047e-09,5.4e-05
1.404047e-09,5.4e-05
1.406047e-09,5.4e-05
1.408048e-09,5.5e-05
1.410048e-09,5.5e-05
1.412048e-09,5.5e-05
1.414048e-09,5.5e-05
1.416048e-09,5.6e-05
1.418048e-09,5.6e-05
1.420048e-09,5.6e-05
1.422048e-09,5.7e-05
1.424048e-09,5.7e-05
1.426048e-09,5.7e-05
1.428048e-09,5.7e-05
1.430048e-09,5.8e-05
1.432048e-09,5.8e-05
1.434048e-09,5.8e-05
1.436049e-09,5.9e-05
1.438049e-09,5.9e-05
1.440049e-09,5.9e-05
1.442049e-09,6e-05
1.444049e-09,6e-05
1.446049e-09,6e-05
1.448049e-09,6.1e-05
1.450049e-09,6.1e-05
1.452049e-09,6.1e-05
1.454049e-09,6.2e-05
1.456049e-09,6.2e-05
1.458049e-09,6.2e-05
1.460049e-09,6.3e-05
1.462049e-09,6.3e-05
1.464049e-09,6.3e-05
1.46605e-09,6.4e-05
1.46805e-09,6.4e-05
1.47005e-09,6.4e-05
1.47205e-09,6.5e-05
1.47405e-09,6.5e-05
1.47605e-09,6.6e-05
1.47805e-09,6.6e-05
1.48005e-09,6.6e-05
1.48205e-09,6.7e-05
1.48405e-09,6.7e-05
1.48605e-09,6.7e-05
1.48805e-09,6.8e-05
1.49005e-09,6.8e-05
1.49205e-09,6.9e-05
1.49405e-09,6.9e-05
1.496051e-09,6.9e-05
1.498051e-09,7e-05
1.500051e-09,7e-05
1.502051e-09,7.1e-05
1.504051e-09,7.1e-05
1.506051e-09,7.1e-05
1.508051e-09,7.2e-05
1.510051e-09,7.2e-05
1.512051e-09,7.3e-05
1.514051e-09,7.3e-05
1.516051e-09,7.3e-05
1.518051e-09,7.4e-05
1.520051e-09,7.4e-05
1.522051e-09,7.5e-05
1.524051e-09,7.5e-05
1.526052e-09,7.5e-05
1.528052e-09,7.6e-05
1.530052e-09,7.6e-05
1.532052e-09,7.7e-05
1.534052e-09,7.7e-05
1.536052e-09,7.8e-05
1.538052e-09,7.8e-05
1.540052e-09,7.8e-05
1.542052e-09,7.9e-05
1.544052e-09,7.9e-05
1.546052e-09,8e-05
1.548052e-09,8e-05
1.550052e-09,8e-05
1.552052e-09,8.1e-05
1.554052e-09,8.1e-05
1.556053e-09,8.2e-05
1.558053e-09,8.2e-05
1.560053e-09,8.3e-05
1.562053e-09,8.3e-05
1.564053e-09,8.3e-05
1.566053e-09,8.4e-05
1.568053e-09,8.4e-05
1.570053e-09,8.5e-05
1.572053e-09,8.5e-05
1.574053e-09,8.6e-05
1.576053e-09,8.6e-05
1.578053e-09,8.6e-05
1.580053e-09,8.7e-05
1.582053e-09,8.7e-05
1.584054e-09,8.8e-05
1.586054e-09,8.8e-05
1.588054e-09,8.8e-05
1.590054e-09,8.9e-05
1.592054e-09,8.9e-05
1.594054e-09,9e-05
1.596054e-09,9e-05
1.598054e-09,9.1e-05
1.600054e-09,9.1e-05
1.602236e-09,9.1e-05
1.604418e-09,9.2e-05
1.6066e-09,9.2e-05
1.608782e-09,9.3e-05
1.610963e-09,9.3e-05
1.613145e-09,9.4e-05
1.615327e-09,9.4e-05
1.617509e-09,9.5e-05
1.619691e-09,9.5e-05
1.621873e-09,9.6e-05
1.624055e-09,9.6e-05
1.626237e-09,9.6e-05
1.628419e-09,9.7e-05
1.630601e-09,9.7e-05
1.632782e-09,9.8e-05
1.634964e-09,9.8e-05
1.637146e-09,9.9e-05
1.639328e-09,9.9e-05
1.64151e-09,0.0001
1.643692e-09,0.0001
1.645874e-09,0.0001
1.648056e-09,0.000101
1.650238e-09,0.000101
1.652419e-09,0.000102
1.654601e-09,0.000102
1.656783e-09,0.000103
1.658965e-09,0.000103
1.661147e-09,0.000103
1.663329e-09,0.000104
1.665511e-09,0.000104
1.667693e-09,0.000105
1.669875e-09,0.000105
1.672056e-09,0.000106
1.674238e-09,0.000106
1.67642e-09,0.000106
1.678602e-09,0.000107
1.680784e-09,0.000107
1.682966e-09,0.000108
1.685148e-09,0.000108
1.68733e-09,0.000109
1.689512e-09,0.000109
1.691693e-09,0.000109
1.693875e-09,0.00011
1.696057e-09,0.00011
1.698239e-09,0.000111
1.700421e-09,0.000111
1.702603e-09,0.000112
1.704785e-09,0.000112
1.706967e-09,0.000112
1.709149e-09,0.000113
1.711331e-09,0.000113
1.713512e-09,0.000114
1.715694e-09,0.000114
1.717876e-09,0.000115
1.720058e-09,0.000115
1.72224e-09,0.000116
1.724422e-09,0.000116
1.726604e-09,0.000116
1.728786e-09,0.000117
1.730968e-09,0.000117
1.733149e-09,0.000118
1.735331e-09,0.000118
1.737513e-09,0.000119
1.739695e-09,0.000119
1.741877e-09,0.000119
1.744059e-09,0.00012
1.746241e-09,0.00012
1.748423e-09,0.000121
1.750605e-09,0.000121
1.752786e-09,0.000122
1.754968e-09,0.000122
1.75715e-09,0.000123
1.759332e-09,0.000123
1.761514e-09,0.000124
1.763696e-09,0.000124
1.765878e-09,0.000125
1.76806e-09,0.000125
1.770242e-09,0.000125
1.772423e-09,0.000126
1.774605e-09,0.000126
1.776787e-09,0.000127
1.778969e-09,0.000127
1.781151e-09,0.000128
1.783333e-09,0.000128
1.785515e-09,0.000129
1.787697e-09,0.000129
1.789879e-09,0.00013
1.792061e-09,0.00013
1.794242e-09,0.000131
1.796424e-09,0.000131
1.798606e-09,0.000132
1.800788e-09,0.000132
1.80297e-09,0.000133
1.805152e-09,0.000134
1.807334e-09,0.000134
1.809516e-09,0.000135
1.811698e-09,0.000135
1.813879e-09,0.000136
1.816061e-09,0.000136
1.818243e-09,0.000137
1.820425e-09,0.000137
1.822607e-09,0.000138
1.824789e-09,0.000138
1.826971e-09,0.000139
1.829153e-09,0.00014
1.831335e-09,0.00014
1.833516e-09,0.000141
1.835698e-09,0.000141
1.83788e-09,0.000142
1.840062e-09,0.000142
1.842244e-09,0.000143
1.844426e-09,0.000144
1.846608e-09,0.000144
1.84879e-09,0.000145
1.850972e-09,0.000145
1.853153e-09,0.000146
1.855335e-09,0.000147
1.857517e-09,0.000147
1.859699e-09,0.000148
1.861881e-09,0.000149
1.864063e-09,0.000149
1.866245e-09,0.00015
1.868427e-09,0.000151
1.870609e-09,0.000151
1.872791e-09,0.000152
1.874972e-09,0.000152
1.877154e-09,0.000153
1.879336e-09,0.000154
1.881518e-09,0.000154
1.8837e-09,0.000155
1.885882e-09,0.000156
1.888064e-09,0.000156
1.890246e-09,0.000157
1.892428e-09,0.000158
1.894609e-09,0.000159
1.896791e-09,0.000159
1.898973e-09,0.00016
1.901155e-09,0.000161
1.903337e-09,0.000161
1.905519e-09,0.000162
1.907701e-09,0.000163
1.909883e-09,0.000163
1.912065e-09,0.000164
1.914246e-09,0.000165
1.916428e-09,0.000166
1.91861e-09,0.000166
1.920792e-09,0.000167
1.922974e-09,0.000168
1.925156e-09,0.000168
1.927338e-09,0.000169
