wavelength,n
2.48e-12,1.0
4.133e-12,1.0
1.24e-11,1.0
1.378e-11,1.0
1.459e-11,1.0
2.48e-11,1.0
4.133e-11,1.0
6.199e-11,1.0
8.266e-11,1.0
8.856e-11,1.0
9.537e-11,1.0
1.033e-10,1.0
1.24e-10,1.0
1.55e-10,1.0
2.066e-10,1.0
3.1e-10,1.0
3.542e-10,1.0
3.757e-10,1.0
3.875e-10,1.0
3.999e-10,1.0
4.133e-10,1.0
4.428e-10,1.0
4.769e-10,1.0
4.959e-10,1.0
5.061e-10,1.0
5.166e-10,1.0
5.636e-10,1.0
6.199e-10,1.0
6.888e-10,1.0
7.749e-10,1.0
8.856e-10,0.999
9.537e-10,0.999
1.033e-09,0.999
1.127e-09,0.999
1.24e-09,0.999
1.305e-09,0.999
1.378e-09,0.999
1.459e-09,0.999
1.55e-09,0.999
1.653e-09,0.998
1.771e-09,0.998
1.907e-09,0.998
2.066e-09,0.998
2.254e-09,0.998
2.48e-09,0.998
2.583e-09,0.998
2.695e-09,0.997
2.818e-09,0.997
2.952e-09,0.997
3.1e-09,0.997
3.179e-09,0.997
3.263e-09,0.997
3.351e-09,0.997
3.444e-09,0.997
3.542e-09,0.997
3.647e-09,0.997
3.757e-09,0.997
3.875e-09,0.997
3.999e-09,0.997
4.133e-09,0.997
4.275e-09,0.997
4.428e-09,0.996
4.592e-09,0.996
4.769e-09,0.996
4.959e-09,0.996
5.166e-09,0.995
5.391e-09,0.994
5.636e-09,0.993
5.904e-09,0.991
6.199e-09,0.99
6.525e-09,0.988
6.888e-09,0.986
7.293e-09,0.984
7.749e-09,0.98
8.266e-09,0.976
8.551e-09,0.974
8.856e-09,0.972
9.184e-09,0.969
9.537e-09,0.966
9.919e-09,0.964
1.033e-08,0.96
1.078e-08,0.956
1.127e-08,0.953
1.181e-08,0.949
1.24e-08,0.945
1.305e-08,0.94
1.378e-08,0.935
1.459e-08,0.933
1.55e-08,0.932
1.653e-08,0.933
1.771e-08,0.942
1.907e-08,0.955
2.066e-08,0.966
2.101e-08,0.97
2.138e-08,0.975
2.175e-08,0.981
2.214e-08,0.987
2.254e-08,0.993
2.296e-08,1.0
2.339e-08,1.007
2.384e-08,1.014
2.431e-08,1.022
2.48e-08,1.027
2.583e-08,1.033
2.695e-08,1.036
2.818e-08,1.041
2.952e-08,1.048
3.1e-08,1.051
3.263e-08,1.046
3.444e-08,1.038
3.647e-08,1.027
3.757e-08,1.02
3.875e-08,1.009
3.999e-08,0.997
4.133e-08,0.987
4.203e-08,0.988
4.275e-08,0.991
4.35e-08,0.987
4.428e-08,0.998
4.509e-08,1.035
4.592e-08,1.011
4.679e-08,0.998
4.769e-08,0.999
4.862e-08,1.001
4.959e-08,1.004
5.061e-08,1.07
5.166e-08,1.065
5.276e-08,1.013
5.391e-08,0.981
5.636e-08,0.936
6.199e-08,0.856
6.888e-08,0.763
7.749e-08,0.692
8.856e-08,0.64
1.033e-07,0.627
1.24e-07,0.71
1.55e-07,0.904
2.066e-07,1.364
2.48e-07,1.482
3.1e-07,1.517
3.542e-07,1.541
4.133e-07,1.556
4.959e-07,1.865
6.199e-07,2.244
8.266e-07,2.861
1.24e-06,5.036
1.55e-06,6.247
2.066e-06,7.466
3.1e-06,8.572
6.199e-06,6.908
