wavelength,k
3.0996e-08,0.301987
3.1025e-08,0.300682
3.1055e-08,0.299383
3.1084e-08,0.298092
3.1114e-08,0.296809
3.1144e-08,0.295535
3.1173e-08,0.294272
3.1203e-08,0.29302
3.1233e-08,0.291781
3.1263e-08,0.290556
3.1293e-08,0.289345
3.1323e-08,0.288149
3.1353e-08,0.28697
3.1383e-08,0.285808
3.1413e-08,0.284665
3.1443e-08,0.283541
3.1473e-08,0.282436
3.1503e-08,0.281353
3.1534e-08,0.28029
3.1564e-08,0.27925
3.1595e-08,0.278233
3.1625e-08,0.27724
3.1656e-08,0.276271
3.1687e-08,0.275327
3.1717e-08,0.274408
3.1748e-08,0.273515
3.1779e-08,0.272648
3.181e-08,0.271809
3.1841e-08,0.270996
3.1872e-08,0.270212
3.1903e-08,0.269456
3.1934e-08,0.268728
3.1965e-08,0.268029
3.1996e-08,0.267359
3.2028e-08,0.266718
3.2059e-08,0.266107
3.2091e-08,0.265525
3.2122e-08,0.264974
3.2154e-08,0.264452
3.2185e-08,0.26396
3.2217e-08,0.263499
3.2249e-08,0.263068
3.2281e-08,0.262667
3.2313e-08,0.262297
3.2344e-08,0.261956
3.2376e-08,0.261646
3.2409e-08,0.261366
3.2441e-08,0.261116
3.2473e-08,0.260895
3.2505e-08,0.260705
3.2538e-08,0.260544
3.257e-08,0.260413
3.2602e-08,0.26031
3.2635e-08,0.260237
3.2667e-08,0.260193
3.27e-08,0.260177
3.2733e-08,0.260189
3.2766e-08,0.260229
3.2798e-08,0.260297
3.2831e-08,0.260393
3.2864e-08,0.260515
3.2897e-08,0.260664
3.2931e-08,0.26084
3.2964e-08,0.261042
3.2997e-08,0.261269
3.303e-08,0.261522
3.3064e-08,0.2618
3.3097e-08,0.262103
3.3131e-08,0.262429
3.3164e-08,0.26278
3.3198e-08,0.263154
3.3232e-08,0.26355
3.3265e-08,0.26397
3.3299e-08,0.264411
3.3333e-08,0.264875
3.3367e-08,0.265359
3.3401e-08,0.265865
3.3435e-08,0.266391
3.347e-08,0.266937
3.3504e-08,0.267502
3.3538e-08,0.268087
3.3573e-08,0.26869
3.3607e-08,0.269312
3.3642e-08,0.269951
3.3676e-08,0.270608
3.3711e-08,0.271281
3.3746e-08,0.271971
3.3781e-08,0.272677
3.3816e-08,0.273399
3.3851e-08,0.274136
3.3886e-08,0.274887
3.3921e-08,0.275653
3.3956e-08,0.276432
3.3991e-08,0.277225
3.4027e-08,0.278031
3.4062e-08,0.278849
3.4098e-08,0.27968
3.4133e-08,0.280522
3.4169e-08,0.281375
3.4205e-08,0.28224
3.424e-08,0.283114
3.4276e-08,0.283999
3.4312e-08,0.284893
3.4348e-08,0.285797
3.4384e-08,0.286709
3.442e-08,0.28763
3.4457e-08,0.288559
3.4493e-08,0.289495
3.4529e-08,0.290439
3.4566e-08,0.29139
3.4602e-08,0.292347
3.4639e-08,0.29331
3.4676e-08,0.294279
3.4713e-08,0.295254
3.475e-08,0.296233
3.4786e-08,0.297218
3.4823e-08,0.298206
3.4861e-08,0.299199
3.4898e-08,0.300196
3.4935e-08,0.301196
3.4972e-08,0.302199
3.501e-08,0.303204
3.5047e-08,0.304213
3.5085e-08,0.305223
3.5123e-08,0.306235
3.516e-08,0.307249
3.5198e-08,0.308264
3.5236e-08,0.30928
3.5274e-08,0.310297
3.5312e-08,0.311314
3.535e-08,0.312331
3.5389e-08,0.313349
3.5427e-08,0.314365
3.5465e-08,0.315382
3.5504e-08,0.316397
3.5542e-08,0.317411
3.5581e-08,0.318424
3.562e-08,0.319435
3.5659e-08,0.320444
3.5697e-08,0.321451
3.5736e-08,0.322456
3.5776e-08,0.323459
3.5815e-08,0.324458
3.5854e-08,0.325455
3.5893e-08,0.326448
3.5933e-08,0.327439
3.5972e-08,0.328425
3.6012e-08,0.329408
3.6052e-08,0.330387
3.6091e-08,0.331362
3.6131e-08,0.332333
3.6171e-08,0.333299
3.6211e-08,0.33426
3.6251e-08,0.335217
3.6292e-08,0.336169
3.6332e-08,0.337115
3.6372e-08,0.338056
3.6413e-08,0.338992
3.6453e-08,0.339922
3.6494e-08,0.340847
3.6535e-08,0.341765
3.6576e-08,0.342678
3.6616e-08,0.343584
3.6658e-08,0.344484
3.6699e-08,0.345378
3.674e-08,0.346265
3.6781e-08,0.347145
3.6823e-08,0.348019
3.6864e-08,0.348885
3.6906e-08,0.349745
3.6947e-08,0.350597
3.6989e-08,0.351442
3.7031e-08,0.35228
3.7073e-08,0.35311
3.7115e-08,0.353933
3.7157e-08,0.354748
3.7199e-08,0.355555
3.7242e-08,0.356354
3.7284e-08,0.357145
3.7327e-08,0.357928
3.7369e-08,0.358703
3.7412e-08,0.35947
3.7455e-08,0.360228
3.7498e-08,0.360978
3.7541e-08,0.361719
3.7584e-08,0.362452
3.7627e-08,0.363176
3.7671e-08,0.363891
3.7714e-08,0.364598
3.7758e-08,0.365295
3.7801e-08,0.365984
3.7845e-08,0.366663
3.7889e-08,0.367334
3.7933e-08,0.367995
3.7977e-08,0.368647
3.8021e-08,0.369289
3.8065e-08,0.369922
3.8109e-08,0.370546
3.8154e-08,0.37116
3.8198e-08,0.371765
3.8243e-08,0.372359
3.8288e-08,0.372945
3.8333e-08,0.37352
3.8378e-08,0.374086
3.8423e-08,0.374641
3.8468e-08,0.375187
3.8513e-08,0.375723
3.8559e-08,0.376249
3.8604e-08,0.376764
3.865e-08,0.37727
3.8695e-08,0.377765
3.8741e-08,0.37825
3.8787e-08,0.378725
3.8833e-08,0.37919
3.8879e-08,0.379644
3.8926e-08,0.380087
3.8972e-08,0.38052
3.9019e-08,0.380943
3.9065e-08,0.381355
3.9112e-08,0.381757
3.9159e-08,0.382147
3.9206e-08,0.382527
3.9253e-08,0.382897
3.93e-08,0.383255
3.9347e-08,0.383603
3.9394e-08,0.38394
3.9442e-08,0.384266
3.949e-08,0.384581
3.9537e-08,0.384885
3.9585e-08,0.385178
3.9633e-08,0.38546
3.9681e-08,0.385731
3.9729e-08,0.385991
3.9778e-08,0.38624
3.9826e-08,0.386478
3.9875e-08,0.386704
3.9923e-08,0.386919
3.9972e-08,0.387123
4.0021e-08,0.387315
4.007e-08,0.387497
4.0119e-08,0.387666
4.0168e-08,0.387825
4.0218e-08,0.387972
4.0267e-08,0.388108
4.0317e-08,0.388232
4.0367e-08,0.388345
4.0417e-08,0.388446
4.0467e-08,0.388535
4.0517e-08,0.388614
4.0567e-08,0.38868
4.0617e-08,0.388735
4.0668e-08,0.388778
4.0718e-08,0.38881
4.0769e-08,0.38883
4.082e-08,0.388839
4.0871e-08,0.388835
4.0922e-08,0.38882
4.0973e-08,0.388794
4.1025e-08,0.388756
4.1076e-08,0.388706
4.1128e-08,0.388644
4.118e-08,0.38857
4.1232e-08,0.388485
4.1284e-08,0.388388
4.1336e-08,0.38828
4.1388e-08,0.388159
4.1441e-08,0.388027
4.1493e-08,0.387883
4.1546e-08,0.387728
4.1599e-08,0.38756
4.1652e-08,0.387381
4.1705e-08,0.38719
4.1758e-08,0.386988
4.1811e-08,0.386774
4.1865e-08,0.386548
4.1918e-08,0.386311
4.1972e-08,0.386061
4.2026e-08,0.385801
4.208e-08,0.385528
4.2134e-08,0.385244
4.2189e-08,0.384949
4.2243e-08,0.384642
4.2298e-08,0.384324
4.2353e-08,0.383994
4.2407e-08,0.383652
4.2463e-08,0.383299
4.2518e-08,0.382935
4.2573e-08,0.38256
4.2629e-08,0.382173
4.2684e-08,0.381775
4.274e-08,0.381366
4.2796e-08,0.380946
4.2852e-08,0.380515
4.2908e-08,0.380072
4.2964e-08,0.379619
4.3021e-08,0.379155
4.3078e-08,0.37868
4.3134e-08,0.378194
4.3191e-08,0.377697
4.3248e-08,0.37719
4.3306e-08,0.376672
4.3363e-08,0.376144
4.3421e-08,0.375606
4.3478e-08,0.375057
4.3536e-08,0.374497
4.3594e-08,0.373928
4.3652e-08,0.373348
4.3711e-08,0.372759
4.3769e-08,0.37216
4.3828e-08,0.371551
4.3887e-08,0.370932
4.3946e-08,0.370303
4.4005e-08,0.369665
4.4064e-08,0.369018
4.4123e-08,0.368362
4.4183e-08,0.367696
4.4243e-08,0.367021
4.4303e-08,0.366338
4.4363e-08,0.365646
4.4423e-08,0.364945
4.4483e-08,0.364235
4.4544e-08,0.363517
4.4605e-08,0.362791
4.4666e-08,0.362057
4.4727e-08,0.361315
4.4788e-08,0.360565
4.4849e-08,0.359807
4.4911e-08,0.359042
4.4973e-08,0.358269
4.5035e-08,0.35749
4.5097e-08,0.356703
4.5159e-08,0.355909
4.5221e-08,0.355109
4.5284e-08,0.354302
4.5347e-08,0.353489
4.541e-08,0.352669
4.5473e-08,0.351844
4.5536e-08,0.351012
4.56e-08,0.350175
4.5663e-08,0.349333
4.5727e-08,0.348485
4.5791e-08,0.347632
4.5855e-08,0.346775
4.592e-08,0.345912
4.5984e-08,0.345045
4.6049e-08,0.344174
4.6114e-08,0.343299
4.6179e-08,0.342419
4.6244e-08,0.341537
4.631e-08,0.34065
4.6375e-08,0.339761
4.6441e-08,0.338868
4.6507e-08,0.337973
4.6573e-08,0.337075
4.664e-08,0.336174
4.6706e-08,0.335272
4.6773e-08,0.334367
4.684e-08,0.333461
4.6907e-08,0.332553
4.6975e-08,0.331645
4.7042e-08,0.330735
4.711e-08,0.329824
4.7178e-08,0.328913
4.7246e-08,0.328002
4.7314e-08,0.327091
4.7383e-08,0.32618
4.7452e-08,0.325269
4.752e-08,0.32436
4.759e-08,0.323451
4.7659e-08,0.322543
4.7728e-08,0.321637
4.7798e-08,0.320733
4.7868e-08,0.31983
4.7938e-08,0.31893
4.8009e-08,0.318033
4.8079e-08,0.317138
4.815e-08,0.316246
4.8221e-08,0.315358
4.8292e-08,0.314473
4.8364e-08,0.313592
4.8435e-08,0.312715
4.8507e-08,0.311842
4.8579e-08,0.310974
4.8651e-08,0.310111
4.8724e-08,0.309253
4.8796e-08,0.308401
4.8869e-08,0.307554
4.8942e-08,0.306714
4.9016e-08,0.30588
4.9089e-08,0.305052
4.9163e-08,0.304231
4.9237e-08,0.303417
4.9311e-08,0.302611
4.9386e-08,0.301812
4.946e-08,0.301021
4.9535e-08,0.300239
4.961e-08,0.299465
4.9686e-08,0.298699
4.9761e-08,0.297943
4.9837e-08,0.297197
4.9913e-08,0.29646
4.9989e-08,0.295732
5.0066e-08,0.295016
5.0143e-08,0.294309
