wavelength,n
3.0996e-08,0.884743
3.1025e-08,0.885249
3.1055e-08,0.885718
3.1084e-08,0.886149
3.1114e-08,0.886544
3.1144e-08,0.886902
3.1173e-08,0.887224
3.1203e-08,0.887509
3.1233e-08,0.887759
3.1263e-08,0.887975
3.1293e-08,0.888155
3.1323e-08,0.888302
3.1353e-08,0.888415
3.1383e-08,0.888495
3.1413e-08,0.888543
3.1443e-08,0.888559
3.1473e-08,0.888544
3.1503e-08,0.888499
3.1534e-08,0.888425
3.1564e-08,0.888322
3.1595e-08,0.88819
3.1625e-08,0.888031
3.1656e-08,0.887846
3.1687e-08,0.887635
3.1717e-08,0.887399
3.1748e-08,0.88714
3.1779e-08,0.886856
3.181e-08,0.886551
3.1841e-08,0.886224
3.1872e-08,0.885876
3.1903e-08,0.885508
3.1934e-08,0.885122
3.1965e-08,0.884717
3.1996e-08,0.884295
3.2028e-08,0.883857
3.2059e-08,0.883403
3.2091e-08,0.882934
3.2122e-08,0.882452
3.2154e-08,0.881957
3.2185e-08,0.881449
3.2217e-08,0.880931
3.2249e-08,0.880402
3.2281e-08,0.879863
3.2313e-08,0.879316
3.2344e-08,0.878761
3.2376e-08,0.878198
3.2409e-08,0.87763
3.2441e-08,0.877055
3.2473e-08,0.876476
3.2505e-08,0.875893
3.2538e-08,0.875306
3.257e-08,0.874717
3.2602e-08,0.874126
3.2635e-08,0.873533
3.2667e-08,0.872941
3.27e-08,0.872348
3.2733e-08,0.871756
3.2766e-08,0.871165
3.2798e-08,0.870577
3.2831e-08,0.869991
3.2864e-08,0.869409
3.2897e-08,0.86883
3.2931e-08,0.868256
3.2964e-08,0.867687
3.2997e-08,0.867123
3.303e-08,0.866565
3.3064e-08,0.866014
3.3097e-08,0.86547
3.3131e-08,0.864933
3.3164e-08,0.864405
3.3198e-08,0.863884
3.3232e-08,0.863373
3.3265e-08,0.862871
3.3299e-08,0.862378
3.3333e-08,0.861895
3.3367e-08,0.861423
3.3401e-08,0.860961
3.3435e-08,0.860511
3.347e-08,0.860071
3.3504e-08,0.859644
3.3538e-08,0.859228
3.3573e-08,0.858825
3.3607e-08,0.858435
3.3642e-08,0.858057
3.3676e-08,0.857692
3.3711e-08,0.85734
3.3746e-08,0.857002
3.3781e-08,0.856678
3.3816e-08,0.856368
3.3851e-08,0.856072
3.3886e-08,0.85579
3.3921e-08,0.855522
3.3956e-08,0.855269
3.3991e-08,0.855031
3.4027e-08,0.854808
3.4062e-08,0.854599
3.4098e-08,0.854406
3.4133e-08,0.854228
3.4169e-08,0.854065
3.4205e-08,0.853918
3.424e-08,0.853786
3.4276e-08,0.85367
3.4312e-08,0.853569
3.4348e-08,0.853483
3.4384e-08,0.853414
3.442e-08,0.85336
3.4457e-08,0.853322
3.4493e-08,0.853299
3.4529e-08,0.853293
3.4566e-08,0.853302
3.4602e-08,0.853327
3.4639e-08,0.853367
3.4676e-08,0.853424
3.4713e-08,0.853495
3.475e-08,0.853583
3.4786e-08,0.853686
3.4823e-08,0.853805
3.4861e-08,0.85394
3.4898e-08,0.85409
3.4935e-08,0.854255
3.4972e-08,0.854436
3.501e-08,0.854632
3.5047e-08,0.854843
3.5085e-08,0.85507
3.5123e-08,0.855312
3.516e-08,0.855568
3.5198e-08,0.85584
3.5236e-08,0.856127
3.5274e-08,0.856428
3.5312e-08,0.856744
3.535e-08,0.857075
3.5389e-08,0.85742
3.5427e-08,0.857779
3.5465e-08,0.858153
3.5504e-08,0.858541
3.5542e-08,0.858943
3.5581e-08,0.859359
3.562e-08,0.859789
3.5659e-08,0.860232
3.5697e-08,0.860689
3.5736e-08,0.86116
3.5776e-08,0.861644
3.5815e-08,0.862142
3.5854e-08,0.862652
3.5893e-08,0.863176
3.5933e-08,0.863712
3.5972e-08,0.864261
3.6012e-08,0.864823
3.6052e-08,0.865397
3.6091e-08,0.865984
3.6131e-08,0.866583
3.6171e-08,0.867194
3.6211e-08,0.867817
3.6251e-08,0.868452
3.6292e-08,0.869099
3.6332e-08,0.869757
3.6372e-08,0.870427
3.6413e-08,0.871108
3.6453e-08,0.8718
3.6494e-08,0.872503
3.6535e-08,0.873218
3.6576e-08,0.873943
3.6616e-08,0.874679
3.6658e-08,0.875425
3.6699e-08,0.876182
3.674e-08,0.876949
3.6781e-08,0.877726
3.6823e-08,0.878513
3.6864e-08,0.87931
3.6906e-08,0.880117
3.6947e-08,0.880934
3.6989e-08,0.88176
3.7031e-08,0.882595
3.7073e-08,0.88344
3.7115e-08,0.884294
3.7157e-08,0.885156
3.7199e-08,0.886028
3.7242e-08,0.886908
3.7284e-08,0.887797
3.7327e-08,0.888695
3.7369e-08,0.8896
3.7412e-08,0.890514
3.7455e-08,0.891436
3.7498e-08,0.892366
3.7541e-08,0.893304
3.7584e-08,0.89425
3.7627e-08,0.895203
3.7671e-08,0.896164
3.7714e-08,0.897132
3.7758e-08,0.898107
3.7801e-08,0.899089
3.7845e-08,0.900079
3.7889e-08,0.901075
3.7933e-08,0.902078
3.7977e-08,0.903088
3.8021e-08,0.904104
3.8065e-08,0.905126
3.8109e-08,0.906155
3.8154e-08,0.90719
3.8198e-08,0.908231
3.8243e-08,0.909278
3.8288e-08,0.91033
3.8333e-08,0.911389
3.8378e-08,0.912453
3.8423e-08,0.913522
3.8468e-08,0.914597
3.8513e-08,0.915677
3.8559e-08,0.916762
3.8604e-08,0.917852
3.865e-08,0.918946
3.8695e-08,0.920046
3.8741e-08,0.92115
3.8787e-08,0.922259
3.8833e-08,0.923372
3.8879e-08,0.92449
3.8926e-08,0.925611
3.8972e-08,0.926737
3.9019e-08,0.927866
3.9065e-08,0.929
3.9112e-08,0.930137
3.9159e-08,0.931278
3.9206e-08,0.932422
3.9253e-08,0.933569
3.93e-08,0.93472
3.9347e-08,0.935874
3.9394e-08,0.937031
3.9442e-08,0.938191
3.949e-08,0.939353
3.9537e-08,0.940518
3.9585e-08,0.941686
3.9633e-08,0.942856
3.9681e-08,0.944028
3.9729e-08,0.945203
3.9778e-08,0.94638
3.9826e-08,0.947558
3.9875e-08,0.948738
3.9923e-08,0.94992
3.9972e-08,0.951104
4.0021e-08,0.952289
4.007e-08,0.953475
4.0119e-08,0.954663
4.0168e-08,0.955851
4.0218e-08,0.957041
4.0267e-08,0.958231
4.0317e-08,0.959422
4.0367e-08,0.960613
4.0417e-08,0.961805
4.0467e-08,0.962997
4.0517e-08,0.964189
4.0567e-08,0.965382
4.0617e-08,0.966574
4.0668e-08,0.967766
4.0718e-08,0.968957
4.0769e-08,0.970149
4.082e-08,0.971339
4.0871e-08,0.972529
4.0922e-08,0.973717
4.0973e-08,0.974905
4.1025e-08,0.976091
4.1076e-08,0.977276
4.1128e-08,0.97846
4.118e-08,0.979642
4.1232e-08,0.980822
4.1284e-08,0.982
4.1336e-08,0.983176
4.1388e-08,0.98435
4.1441e-08,0.985522
4.1493e-08,0.986691
4.1546e-08,0.987857
4.1599e-08,0.989021
4.1652e-08,0.990181
4.1705e-08,0.991339
4.1758e-08,0.992493
4.1811e-08,0.993644
4.1865e-08,0.994791
4.1918e-08,0.995935
4.1972e-08,0.997074
4.2026e-08,0.99821
4.208e-08,0.999341
4.2134e-08,1.000468
4.2189e-08,1.00159
4.2243e-08,1.002708
4.2298e-08,1.003821
4.2353e-08,1.004929
4.2407e-08,1.006032
4.2463e-08,1.007129
4.2518e-08,1.008221
4.2573e-08,1.009307
4.2629e-08,1.010387
4.2684e-08,1.011462
4.274e-08,1.01253
4.2796e-08,1.013592
4.2852e-08,1.014647
4.2908e-08,1.015696
4.2964e-08,1.016738
4.3021e-08,1.017772
4.3078e-08,1.0188
4.3134e-08,1.01982
4.3191e-08,1.020833
4.3248e-08,1.021838
4.3306e-08,1.022835
4.3363e-08,1.023825
4.3421e-08,1.024806
4.3478e-08,1.025778
4.3536e-08,1.026742
4.3594e-08,1.027698
4.3652e-08,1.028644
4.3711e-08,1.029581
4.3769e-08,1.03051
4.3828e-08,1.031428
4.3887e-08,1.032338
4.3946e-08,1.033237
4.4005e-08,1.034127
4.4064e-08,1.035006
4.4123e-08,1.035875
4.4183e-08,1.036734
4.4243e-08,1.037583
4.4303e-08,1.03842
4.4363e-08,1.039247
4.4423e-08,1.040062
4.4483e-08,1.040867
4.4544e-08,1.04166
4.4605e-08,1.042441
4.4666e-08,1.043211
4.4727e-08,1.043969
4.4788e-08,1.044715
4.4849e-08,1.045448
4.4911e-08,1.04617
4.4973e-08,1.046879
4.5035e-08,1.047575
4.5097e-08,1.048258
4.5159e-08,1.048929
4.5221e-08,1.049586
4.5284e-08,1.05023
4.5347e-08,1.050861
4.541e-08,1.051478
4.5473e-08,1.052082
4.5536e-08,1.052672
4.56e-08,1.053248
4.5663e-08,1.053809
4.5727e-08,1.054357
4.5791e-08,1.05489
4.5855e-08,1.055409
4.592e-08,1.055913
4.5984e-08,1.056403
4.6049e-08,1.056877
4.6114e-08,1.057337
4.6179e-08,1.057782
4.6244e-08,1.058211
4.631e-08,1.058625
4.6375e-08,1.059024
4.6441e-08,1.059407
4.6507e-08,1.059775
4.6573e-08,1.060127
4.664e-08,1.060463
4.6706e-08,1.060783
4.6773e-08,1.061087
4.684e-08,1.061376
4.6907e-08,1.061647
4.6975e-08,1.061903
4.7042e-08,1.062142
4.711e-08,1.062365
4.7178e-08,1.062572
4.7246e-08,1.062762
4.7314e-08,1.062935
4.7383e-08,1.063091
4.7452e-08,1.063231
4.752e-08,1.063354
4.759e-08,1.06346
4.7659e-08,1.063549
4.7728e-08,1.063621
4.7798e-08,1.063676
4.7868e-08,1.063714
4.7938e-08,1.063735
4.8009e-08,1.063739
4.8079e-08,1.063725
4.815e-08,1.063694
4.8221e-08,1.063646
4.8292e-08,1.063581
4.8364e-08,1.063499
4.8435e-08,1.063399
4.8507e-08,1.063281
4.8579e-08,1.063147
4.8651e-08,1.062995
4.8724e-08,1.062826
4.8796e-08,1.062639
4.8869e-08,1.062435
4.8942e-08,1.062214
4.9016e-08,1.061975
4.9089e-08,1.061719
4.9163e-08,1.061445
4.9237e-08,1.061155
4.9311e-08,1.060847
4.9386e-08,1.060522
4.946e-08,1.060179
4.9535e-08,1.059819
4.961e-08,1.059443
4.9686e-08,1.059049
4.9761e-08,1.058638
4.9837e-08,1.05821
4.9913e-08,1.057765
4.9989e-08,1.057303
5.0066e-08,1.056824
5.0143e-08,1.056328
5.022e-08,1.055816
5.0297e-08,1.055286
5.0374e-08,1.054741
5.0452e-08,1.054178
5.053e-08,1.053599
5.0608e-08,1.053004
5.0686e-08,1.052393
5.0765e-08,1.051765
5.0844e-08,1.051121
5.0923e-08,1.050461
5.1003e-08,1.049785
5.1082e-08,1.049093
5.1162e-08,1.048385
5.1242e-08,1.047662
5.1323e-08,1.046923
5.1403e-08,1.046169
5.1484e-08,1.0454
5.1565e-08,1.044615
5.1647e-08,1.043815
5.1728e-08,1.043
5.181e-08,1.042171
5.1893e-08,1.041327
5.1975e-08,1.040468
5.2058e-08,1.039595
5.2141e-08,1.038707
5.2224e-08,1.037806
5.2307e-08,1.036891
5.2391e-08,1.035961
5.2475e-08,1.035019
5.256e-08,1.034063
5.2644e-08,1.033093
5.2729e-08,1.032111
5.2814e-08,1.031115
5.2899e-08,1.030107
5.2985e-08,1.029087
5.3071e-08,1.028054
5.3157e-08,1.027009
5.3244e-08,1.025953
5.3331e-08,1.024884
5.3418e-08,1.023804
5.3505e-08,1.022713
5.3593e-08,1.021611
5.3681e-08,1.020499
5.3769e-08,1.019375
5.3857e-08,1.018242
5.3946e-08,1.017099
5.4035e-08,1.015946
5.4125e-08,1.014783
5.4214e-08,1.013612
5.4304e-08,1.012431
5.4395e-08,1.011242
5.4485e-08,1.010045
5.4576e-08,1.00884
5.4667e-08,1.007627
5.4759e-08,1.006407
5.4851e-08,1.00518
5.4943e-08,1.003947
5.5035e-08,1.002707
5.5128e-08,1.001462
5.5221e-08,1.000211
5.5315e-08,0.998955
5.5408e-08,0.997694
5.5502e-08,0.996429
5.5597e-08,0.995161
5.5691e-08,0.993888
5.5786e-08,0.992613
5.5881e-08,0.991336
5.5977e-08,0.990056
5.6073e-08,0.988775
5.6169e-08,0.987493
5.6266e-08,0.98621
5.6363e-08,0.984928
5.646e-08,0.983646
5.6558e-08,0.982364
5.6656e-08,0.981085
5.6754e-08,0.979808
5.6853e-08,0.978533
5.6952e-08,0.977262
5.7051e-08,0.975995
5.7151e-08,0.974733
5.7251e-08,0.973476
5.7351e-08,0.972225
5.7452e-08,0.970981
5.7553e-08,0.969744
5.7654e-08,0.968515
5.7756e-08,0.967296
5.7858e-08,0.966085
5.7961e-08,0.964885
5.8064e-08,0.963696
5.8167e-08,0.962519
5.827e-08,0.961355
5.8374e-08,0.960205
5.8479e-08,0.959068
5.8583e-08,0.957948
5.8689e-08,0.956843
5.8794e-08,0.955755
5.89e-08,0.954685
5.9006e-08,0.953635
5.9113e-08,0.952604
5.922e-08,0.951593
5.9327e-08,0.950605
5.9435e-08,0.949639
5.9543e-08,0.948697
5.9652e-08,0.94778
5.9761e-08,0.946888
5.987e-08,0.946023
5.998e-08,0.945186
6.009e-08,0.944378
6.0201e-08,0.943599
6.0312e-08,0.942851
6.0423e-08,0.942136
6.0535e-08,0.941453
6.0647e-08,0.940804
6.076e-08,0.940191
6.0873e-08,0.939613
6.0986e-08,0.939073
6.11e-08,0.938571
6.1214e-08,0.938108
6.1329e-08,0.937686
6.1444e-08,0.937305
6.156e-08,0.936966
6.1676e-08,0.936671
6.1793e-08,0.93642
6.1909e-08,0.936214
6.2027e-08,0.936055
6.2145e-08,0.935942
6.2263e-08,0.935878
6.2382e-08,0.935862
6.2501e-08,0.935896
6.262e-08,0.93598
6.2741e-08,0.936116
6.2861e-08,0.936304
6.2982e-08,0.936544
6.3104e-08,0.936837
6.3226e-08,0.937185
6.3348e-08,0.937586
6.3471e-08,0.938043
6.3594e-08,0.938555
6.3718e-08,0.939123
6.3843e-08,0.939746
6.3967e-08,0.940426
6.4093e-08,0.941163
6.4219e-08,0.941956
6.4345e-08,0.942806
6.4472e-08,0.943712
6.4599e-08,0.944676
6.4727e-08,0.945695
6.4855e-08,0.946772
6.4984e-08,0.947904
6.5113e-08,0.949092
6.5243e-08,0.950335
6.5374e-08,0.951634
