wavelength,k
3.0996e-17,0.099024
3.1027e-17,0.099849
3.1058e-17,0.100657
3.1089e-17,0.101445
3.112e-17,0.102215
3.1151e-17,0.102966
3.1183e-17,0.103697
3.1214e-17,0.104408
3.1245e-17,0.105099
3.1277e-17,0.105769
3.1308e-17,0.106419
3.134e-17,0.107049
3.1371e-17,0.107657
3.1403e-17,0.108244
3.1435e-17,0.10881
3.1467e-17,0.109355
3.1499e-17,0.109879
3.153e-17,0.110382
3.1562e-17,0.110864
3.1595e-17,0.111325
3.1627e-17,0.111765
3.1659e-17,0.112184
3.1691e-17,0.112583
3.1723e-17,0.112962
3.1756e-17,0.11332
3.1788e-17,0.113658
3.1821e-17,0.113977
3.1854e-17,0.114276
3.1886e-17,0.114556
3.1919e-17,0.114817
3.1952e-17,0.11506
3.1985e-17,0.115285
3.2018e-17,0.115492
3.2051e-17,0.115682
3.2084e-17,0.115854
3.2117e-17,0.11601
3.215e-17,0.11615
3.2183e-17,0.116274
3.2217e-17,0.116383
3.225e-17,0.116477
3.2284e-17,0.116556
3.2317e-17,0.116622
3.2351e-17,0.116674
3.2384e-17,0.116712
3.2418e-17,0.116738
3.2452e-17,0.116752
3.2486e-17,0.116754
3.252e-17,0.116745
3.2554e-17,0.116725
3.2588e-17,0.116694
3.2622e-17,0.116654
3.2657e-17,0.116604
3.2691e-17,0.116545
3.2725e-17,0.116477
3.276e-17,0.116402
3.2794e-17,0.116318
3.2829e-17,0.116227
3.2864e-17,0.116129
3.2898e-17,0.116025
3.2933e-17,0.115914
3.2968e-17,0.115798
3.3003e-17,0.115677
3.3038e-17,0.11555
3.3073e-17,0.115419
3.3109e-17,0.115284
3.3144e-17,0.115145
3.3179e-17,0.115002
3.3215e-17,0.114857
3.325e-17,0.114708
3.3286e-17,0.114557
3.3322e-17,0.114404
3.3357e-17,0.11425
3.3393e-17,0.114093
3.3429e-17,0.113936
3.3465e-17,0.113777
3.3501e-17,0.113618
3.3537e-17,0.113459
3.3573e-17,0.113299
3.361e-17,0.11314
3.3646e-17,0.112981
3.3683e-17,0.112822
3.3719e-17,0.112665
3.3756e-17,0.112509
3.3792e-17,0.112354
3.3829e-17,0.112201
3.3866e-17,0.112049
3.3903e-17,0.1119
3.394e-17,0.111753
3.3977e-17,0.111608
3.4014e-17,0.111466
3.4051e-17,0.111327
