wavelength,k
4.133e-11,3.29e-11
6.199e-11,2.17e-10
8.266e-11,7.2e-10
1.378e-10,5e-09
1.771e-10,1.34e-08
2.48e-10,5.38e-08
4.133e-10,4.48e-07
6.199e-10,2.41e-06
8.266e-10,8.62e-06
1.24e-09,4.22e-05
1.55e-09,9.85e-05
2.066e-09,0.000332
2.48e-09,0.000569
2.755e-09,0.000839
3.542e-09,0.00213
3.647e-09,0.00236
3.757e-09,0.00277
3.875e-09,0.00368
3.999e-09,0.00497
4.133e-09,0.00354
4.275e-09,0.000794
4.592e-09,0.000206
4.959e-09,0.000272
6.199e-09,0.000585
6.888e-09,0.000848
7.749e-09,0.00121
8.856e-09,0.00193
9.537e-09,0.00235
1.033e-08,0.00282
1.127e-08,0.00377
1.24e-08,0.00519
1.305e-08,0.00613
1.378e-08,0.00725
1.459e-08,0.00858
1.55e-08,0.0102
1.653e-08,0.0121
1.771e-08,0.015
1.907e-08,0.02
2.066e-08,0.027
2.254e-08,0.035
2.48e-08,0.045
2.695e-08,0.058
2.818e-08,0.063
2.952e-08,0.065
3.1e-08,0.073
3.263e-08,0.086
3.444e-08,0.102
3.647e-08,0.109
3.875e-08,0.118
4.133e-08,0.14
4.428e-08,0.166
4.769e-08,0.207
5.166e-08,0.255
5.636e-08,0.314
6.199e-08,0.451
6.888e-08,0.631
7.749e-08,0.903
7.999e-08,0.938
8.266e-08,0.955
8.551e-08,0.96
8.856e-08,0.956
9.184e-08,0.934
9.537e-08,0.894
9.919e-08,0.851
1.033e-07,0.786
1.078e-07,0.73
1.127e-07,0.669
1.181e-07,0.582
1.24e-07,0.449
1.305e-07,0.334
1.378e-07,0.223
1.459e-07,0.144
1.55e-07,0.0869
1.653e-07,0.101
1.771e-07,0.158
1.907e-07,0.28
2.066e-07,0.415
2.254e-07,0.61
2.48e-07,0.754
2.755e-07,0.764
3.1e-07,0.723
3.542e-07,0.681
4.133e-07,0.678
4.959e-07,0.696
6.199e-07,0.739
8.266e-07,0.816
1.24e-06,1.04
2.48e-06,1.18
3.1e-06,1.22
4.133e-06,1.29
6.199e-06,1.51
1.24e-05,2.79
1.55e-05,3.56
2.066e-05,4.65
3.1e-05,6.86
4.133e-05,9.31
4.959e-05,11.2
6.199e-05,12.4
8.266e-05,13.1
0.000124,19.2
