wavelength,n
4.133e-11,1.0
6.199e-11,1.0
8.266e-11,1.0
1.378e-10,1.0
1.771e-10,1.0
2.48e-10,1.0
4.133e-10,1.0
6.199e-10,1.0
8.266e-10,1.0
1.24e-09,1.0
1.55e-09,0.999
2.066e-09,0.999
2.48e-09,0.999
2.755e-09,0.998
3.542e-09,0.998
3.647e-09,0.998
3.757e-09,0.998
3.875e-09,0.998
3.999e-09,0.999
4.133e-09,1.002
4.275e-09,1.001
4.592e-09,0.999
4.959e-09,0.998
6.199e-09,0.995
6.888e-09,0.994
7.749e-09,0.992
8.856e-09,0.989
9.537e-09,0.987
1.033e-08,0.985
1.127e-08,0.982
1.24e-08,0.978
1.305e-08,0.976
1.378e-08,0.973
1.459e-08,0.97
1.55e-08,0.966
1.653e-08,0.961
1.771e-08,0.955
1.907e-08,0.948
2.066e-08,0.94
2.254e-08,0.932
2.48e-08,0.922
2.695e-08,0.914
2.818e-08,0.911
2.952e-08,0.904
3.1e-08,0.893
3.263e-08,0.883
3.444e-08,0.879
3.647e-08,0.873
3.875e-08,0.857
4.133e-08,0.837
4.428e-08,0.816
4.769e-08,0.794
5.166e-08,0.772
5.636e-08,0.735
6.199e-08,0.707
6.888e-08,0.733
7.749e-08,0.908
7.999e-08,1.005
8.266e-08,1.099
8.551e-08,1.191
8.856e-08,1.284
9.184e-08,1.378
9.537e-08,1.463
9.919e-08,1.542
1.033e-07,1.608
1.078e-07,1.663
1.127e-07,1.723
1.181e-07,1.785
1.24e-07,1.811
1.305e-07,1.791
1.378e-07,1.736
1.459e-07,1.649
1.55e-07,1.531
1.653e-07,1.399
1.771e-07,1.28
1.907e-07,1.196
2.066e-07,1.158
2.254e-07,1.195
2.48e-07,1.344
2.755e-07,1.518
3.1e-07,1.638
3.542e-07,1.706
4.133e-07,1.752
4.959e-07,1.807
6.199e-07,1.879
8.266e-07,1.974
1.24e-06,2.204
2.48e-06,2.698
3.1e-06,2.831
4.133e-06,2.949
6.199e-06,3.0
1.24e-05,2.87
1.55e-05,2.932
2.066e-05,3.159
3.1e-05,3.472
4.133e-05,4.054
4.959e-05,4.997
6.199e-05,7.115
8.266e-05,7.489
0.000124,5.303
