wavelength,n
2.10873e-16,1.375211
2.12461e-16,1.233285
2.14049e-16,1.09382
2.15637e-16,0.967508
2.17225e-16,0.867752
2.18813e-16,0.802065
2.20401e-16,0.767137
2.21989e-16,0.754486
2.23577e-16,0.756332
2.25165e-16,0.767087
2.26754e-16,0.782927
2.28342e-16,0.80116
2.29931e-16,0.819756
2.31519e-16,0.836991
2.33108e-16,0.851791
2.34696e-16,0.864904
2.36285e-16,0.877507
2.37874e-16,0.890763
2.39463e-16,0.905741
2.41052e-16,0.923382
2.4264e-16,0.944492
2.44229e-16,0.96974
2.45819e-16,0.999672
2.47408e-16,1.034733
2.48997e-16,1.075284
2.50586e-16,1.121632
2.52175e-16,1.174059
2.53765e-16,1.232852
2.55354e-16,1.298372
2.56943e-16,1.371078
2.58533e-16,1.450405
2.60122e-16,1.535076
2.61712e-16,1.623904
2.63302e-16,1.71586
2.64891e-16,1.810047
2.66481e-16,1.905687
2.68071e-16,2.0021
2.69661e-16,2.098684
2.71251e-16,2.194901
2.72841e-16,2.290263
2.7443e-16,2.384315
2.76021e-16,2.476634
2.77611e-16,2.566801
2.79201e-16,2.654409
2.80791e-16,2.73904
2.82381e-16,2.82025
2.83971e-16,2.897544
2.85562e-16,2.970329
2.87152e-16,3.037802
2.88742e-16,3.099367
2.90333e-16,3.155035
2.91923e-16,3.204948
2.93514e-16,3.249283
2.95104e-16,3.288237
2.96695e-16,3.322008
2.98285e-16,3.350793
2.99876e-16,3.374787
3.01467e-16,3.394179
3.03058e-16,3.409157
3.04648e-16,3.419905
3.06239e-16,3.426604
3.0783e-16,3.429435
3.09421e-16,3.42858
3.11012e-16,3.42422
3.12603e-16,3.416545
3.14194e-16,3.405748
3.15785e-16,3.392035
3.17376e-16,3.375623
3.18967e-16,3.356748
3.20558e-16,3.335672
3.22149e-16,3.312693
3.2374e-16,3.288158
3.25332e-16,3.262518
3.26923e-16,3.236321
3.28514e-16,3.209916
3.30105e-16,3.18353
3.31697e-16,3.157339
3.33288e-16,3.131487
3.34879e-16,3.106097
3.36471e-16,3.081272
3.38062e-16,3.057103
3.39654e-16,3.033665
3.41245e-16,3.011024
3.42837e-16,2.989235
3.44428e-16,2.968344
3.4602e-16,2.94839
3.47611e-16,2.929399
3.49203e-16,2.911396
3.50795e-16,2.894394
3.52386e-16,2.8784
3.53978e-16,2.863415
3.5557e-16,2.849432
3.57161e-16,2.836441
3.58753e-16,2.824424
3.60345e-16,2.813356
3.61937e-16,2.803211
3.63528e-16,2.793955
3.6512e-16,2.78555
3.66712e-16,2.777954
3.68304e-16,2.771121
3.69896e-16,2.764999
3.71487e-16,2.759534
3.73079e-16,2.754663
3.74671e-16,2.750319
3.76263e-16,2.74642
3.77855e-16,2.742879
3.79447e-16,2.739641
3.81039e-16,2.736668
3.82631e-16,2.733927
3.84223e-16,2.731393
3.85815e-16,2.729043
3.87407e-16,2.726859
3.88999e-16,2.724823
3.90591e-16,2.722921
3.92183e-16,2.72114
3.93775e-16,2.719469
3.95367e-16,2.717896
3.96959e-16,2.716414
3.98551e-16,2.715013
4.00143e-16,2.713686
4.01735e-16,2.712428
4.03327e-16,2.711231
4.04919e-16,2.71009
4.06511e-16,2.709001
4.08103e-16,2.707959
4.09695e-16,2.70696
4.11287e-16,2.706001
4.12879e-16,2.705078
4.14471e-16,2.704189
4.16063e-16,2.70333
4.17655e-16,2.702499
4.19247e-16,2.701695
4.20839e-16,2.700915
4.22431e-16,2.700157
4.24023e-16,2.69942
4.25615e-16,2.698703
4.27207e-16,2.698004
4.28799e-16,2.697321
4.30392e-16,2.696655
4.31984e-16,2.696004
4.33576e-16,2.695367
4.35168e-16,2.694744
4.3676e-16,2.694134
4.38352e-16,2.693536
4.39944e-16,2.69295
4.41535e-16,2.692376
4.43127e-16,2.691813
4.44719e-16,2.691262
4.46311e-16,2.69072
4.47903e-16,2.69019
4.49495e-16,2.68967
4.51087e-16,2.689161
4.52679e-16,2.688662
4.54271e-16,2.688173
4.55863e-16,2.687694
4.57455e-16,2.687226
4.59046e-16,2.686767
4.60638e-16,2.686319
4.6223e-16,2.685882
4.63822e-16,2.685455
4.65414e-16,2.685038
4.67005e-16,2.684632
4.68597e-16,2.684237
4.70189e-16,2.683852
4.71781e-16,2.683479
4.73372e-16,2.683116
4.74964e-16,2.682765
4.76556e-16,2.682425
4.78147e-16,2.682098
4.79739e-16,2.681782
4.8133e-16,2.681478
4.82922e-16,2.681185
4.84513e-16,2.680906
4.86105e-16,2.680639
4.87696e-16,2.680385
4.89288e-16,2.680144
4.90879e-16,2.679917
4.92471e-16,2.679702
4.94062e-16,2.679502
4.95654e-16,2.679315
4.97245e-16,2.679142
4.98836e-16,2.678984
5.00427e-16,2.67884
5.02019e-16,2.678711
5.0361e-16,2.678596
5.05201e-16,2.678498
5.06792e-16,2.678414
5.08383e-16,2.678346
5.09974e-16,2.678293
5.11566e-16,2.678257
5.13157e-16,2.678237
5.14748e-16,2.678233
5.16339e-16,2.678246
5.17929e-16,2.678276
5.1952e-16,2.678323
5.21111e-16,2.678386
5.22702e-16,2.678468
5.24293e-16,2.678567
5.25883e-16,2.678684
5.27474e-16,2.678819
5.29065e-16,2.678972
5.30656e-16,2.679144
5.32246e-16,2.679335
5.33837e-16,2.679545
5.35427e-16,2.679773
5.37018e-16,2.680022
5.38608e-16,2.68029
5.40198e-16,2.680577
5.41789e-16,2.680885
5.43379e-16,2.681214
5.44969e-16,2.681563
5.4656e-16,2.681934
5.4815e-16,2.682326
5.4974e-16,2.682741
5.5133e-16,2.683177
5.5292e-16,2.683636
5.5451e-16,2.684117
5.561e-16,2.684619
5.5769e-16,2.685144
5.5928e-16,2.68569
5.60869e-16,2.686258
5.62459e-16,2.686847
5.64049e-16,2.687457
5.65639e-16,2.688088
5.67228e-16,2.688739
5.68818e-16,2.689411
5.70407e-16,2.690104
5.71997e-16,2.690816
5.73586e-16,2.691548
5.75175e-16,2.692299
5.76765e-16,2.69307
5.78354e-16,2.693859
5.79943e-16,2.694667
5.81532e-16,2.695493
5.83121e-16,2.696337
5.8471e-16,2.6972
5.86299e-16,2.698079
5.87888e-16,2.698976
5.89477e-16,2.699889
5.91066e-16,2.700819
5.92654e-16,2.701765
5.94243e-16,2.702727
5.95831e-16,2.703705
5.9742e-16,2.704698
5.99008e-16,2.705707
6.00597e-16,2.70673
6.02185e-16,2.707767
6.03773e-16,2.708819
6.05362e-16,2.709885
6.0695e-16,2.710964
6.08538e-16,2.712056
6.10126e-16,2.713162
6.11714e-16,2.71428
6.13302e-16,2.71541
6.1489e-16,2.716553
6.16477e-16,2.717708
6.18065e-16,2.718874
6.19653e-16,2.720051
6.2124e-16,2.72124
6.22828e-16,2.722439
6.24415e-16,2.723648
6.26002e-16,2.724868
6.2759e-16,2.726097
6.29177e-16,2.727336
6.30764e-16,2.728585
6.32351e-16,2.729842
6.33938e-16,2.731108
6.35525e-16,2.732383
6.37112e-16,2.733666
6.38698e-16,2.734957
6.40285e-16,2.736255
6.41872e-16,2.737561
6.43458e-16,2.738874
6.45045e-16,2.740195
6.46631e-16,2.741521
6.48217e-16,2.742854
6.49804e-16,2.744194
6.5139e-16,2.745539
6.52976e-16,2.74689
6.54562e-16,2.748246
6.56148e-16,2.749607
6.57733e-16,2.750973
6.59319e-16,2.752344
6.60905e-16,2.753719
6.6249e-16,2.755099
6.64076e-16,2.756482
6.65661e-16,2.757869
6.67246e-16,2.759259
6.68832e-16,2.760652
6.70417e-16,2.762049
6.72002e-16,2.763448
6.73587e-16,2.764849
6.75172e-16,2.766252
6.76756e-16,2.767658
6.78341e-16,2.769065
6.79926e-16,2.770473
6.8151e-16,2.771883
6.83095e-16,2.773293
