wavelength,n
1.88e-07,1.16
1.92e-07,1.21
1.95e-07,1.26
1.99e-07,1.29
2.03e-07,1.32
2.07e-07,1.36
2.12e-07,1.38
2.16e-07,1.41
2.21e-07,1.43
2.26e-07,1.45
2.31e-07,1.47
2.37e-07,1.47
2.43e-07,1.46
2.49e-07,1.45
2.55e-07,1.45
2.62e-07,1.44
2.69e-07,1.44
2.76e-07,1.44
2.84e-07,1.44
2.92e-07,1.44
3.01e-07,1.44
3.11e-07,1.44
3.2e-07,1.45
3.32e-07,1.46
3.42e-07,1.48
3.54e-07,1.49
3.68e-07,1.5
3.81e-07,1.53
3.97e-07,1.57
4.13e-07,1.61
4.31e-07,1.67
4.51e-07,1.74
4.71e-07,1.81
4.96e-07,1.88
5.21e-07,1.97
5.49e-07,2.05
5.82e-07,2.13
6.17e-07,2.19
6.59e-07,2.25
7.04e-07,2.31
7.56e-07,2.4
8.21e-07,2.53
8.92e-07,2.65
9.84e-07,2.78
1.088e-06,2.94
1.216e-06,3.17
1.393e-06,3.42
1.61e-06,3.61
1.937e-06,3.87
