wavelength,n
1.88e-16,1.28
1.92e-16,1.31
1.95e-16,1.35
1.99e-16,1.39
2.03e-16,1.43
2.07e-16,1.46
2.12e-16,1.46
2.16e-16,1.47
2.21e-16,1.45
2.26e-16,1.43
2.31e-16,1.4
2.37e-16,1.38
2.43e-16,1.36
2.49e-16,1.36
2.55e-16,1.37
2.62e-16,1.38
2.69e-16,1.39
2.76e-16,1.43
2.84e-16,1.45
2.92e-16,1.48
3.01e-16,1.53
3.11e-16,1.58
3.2e-16,1.65
3.32e-16,1.69
3.42e-16,1.76
3.54e-16,1.84
3.68e-16,1.87
3.81e-16,1.92
3.97e-16,2.0
4.13e-16,2.08
4.31e-16,2.19
4.51e-16,2.33
4.71e-16,2.51
4.96e-16,2.75
5.21e-16,2.94
5.49e-16,3.18
5.82e-16,3.22
6.17e-16,3.17
6.59e-16,3.09
7.04e-16,3.05
7.56e-16,3.08
8.21e-16,3.2
8.92e-16,3.3
9.84e-16,3.41
1.088e-15,3.58
1.216e-15,3.67
1.393e-15,3.69
1.61e-15,3.66
1.937e-15,3.71
