wavelength,k
2.066e-07,1.597
2.101e-07,1.656
2.138e-07,1.697
2.175e-07,1.739
2.214e-07,1.77
2.254e-07,1.8
2.296e-07,1.822
2.339e-07,1.843
2.384e-07,1.851
2.431e-07,1.844
2.48e-07,1.84
2.53e-07,1.814
2.583e-07,1.77
2.638e-07,1.734
2.695e-07,1.705
2.755e-07,1.678
2.818e-07,1.662
2.883e-07,1.652
2.952e-07,1.66
3.024e-07,1.698
3.1e-07,1.735
3.179e-07,1.773
3.263e-07,1.814
3.351e-07,1.851
3.444e-07,1.874
3.542e-07,1.905
3.647e-07,1.937
3.757e-07,1.985
3.875e-07,2.037
3.999e-07,2.078
4.133e-07,2.158
4.275e-07,2.238
4.428e-07,2.299
4.592e-07,2.372
4.769e-07,2.445
4.959e-07,2.485
5.166e-07,2.501
5.391e-07,2.413
5.636e-07,2.41
5.904e-07,2.918
6.199e-07,3.382
6.525e-07,3.759
6.888e-07,4.123
7.293e-07,4.507
7.749e-07,4.917
8.266e-07,5.361
8.856e-07,5.85
9.537e-07,6.4
1.033e-06,7.028
1.127e-06,7.757
1.24e-06,8.619
1.305e-06,9.114
1.378e-06,9.66
1.459e-06,10.27
1.55e-06,10.95
1.653e-06,11.72
1.771e-06,12.59
1.907e-06,13.59
2.066e-06,14.76
2.254e-06,16.14
2.48e-06,17.78
2.755e-06,19.78
3.1e-06,22.28
3.542e-06,25.48
4.133e-06,29.73
4.959e-06,35.62
6.199e-06,44.34
8.266e-06,58.62
1.24e-05,85.47
