wavelength,n
2.066e-16,1.02
2.101e-16,1.054
2.138e-16,1.09
2.175e-16,1.133
2.214e-16,1.181
2.254e-16,1.228
2.296e-16,1.276
2.339e-16,1.329
2.384e-16,1.388
2.431e-16,1.439
2.48e-16,1.489
2.53e-16,1.546
2.583e-16,1.573
2.638e-16,1.58
2.695e-16,1.577
2.755e-16,1.564
2.818e-16,1.54
2.883e-16,1.507
2.952e-16,1.458
3.024e-16,1.422
3.1e-16,1.404
3.179e-16,1.387
3.263e-16,1.375
3.351e-16,1.377
3.444e-16,1.369
3.542e-16,1.349
3.647e-16,1.324
3.757e-16,1.292
3.875e-16,1.276
3.999e-16,1.239
4.133e-16,1.198
4.275e-16,1.186
4.428e-16,1.168
4.592e-16,1.147
4.769e-16,1.131
4.959e-16,1.121
5.166e-16,1.089
5.391e-16,0.9717
5.636e-16,0.5166
5.904e-16,0.1268
6.199e-16,0.09461
6.525e-16,0.0878
6.888e-16,0.07277
7.293e-16,0.06434
7.749e-16,0.06
8.266e-16,0.06248
8.856e-16,0.06666
9.537e-16,0.07343
1.033e-15,0.08395
1.127e-15,0.09798
1.24e-15,0.1189
1.305e-15,0.1317
1.378e-15,0.1465
1.459e-15,0.1646
1.55e-15,0.1863
1.653e-15,0.2125
1.771e-15,0.2439
1.907e-15,0.2836
2.066e-15,0.3333
2.254e-15,0.3975
2.48e-15,0.4814
2.755e-15,0.5934
3.1e-15,0.7493
3.542e-15,0.9782
4.133e-15,1.334
4.959e-15,1.924
6.199e-15,2.973
8.266e-15,5.134
1.24e-14,11.18
