wavelength,n
1.01e-17,0.991
1.04e-17,0.985
1.07e-17,0.992
1.1e-17,0.987
1.13e-17,0.982
1.16e-17,0.983
1.19e-17,0.985
1.23e-17,0.982
1.27e-17,0.978
1.31e-17,0.972
1.36e-17,0.969
1.4e-17,0.972
1.45e-17,0.974
1.51e-17,0.974
1.57e-17,0.973
1.63e-17,0.976
1.7e-17,0.975
1.78e-17,0.968
1.86e-17,0.967
1.95e-17,0.967
2.05e-17,0.97
2.16e-17,0.969
2.29e-17,0.961
2.42e-17,0.958
2.58e-17,0.949
2.76e-17,0.94
2.96e-17,0.927
3.2e-17,0.912
3.48e-17,0.891
3.81e-17,0.88
4.21e-17,0.874
