wavelength,k
2.48e-20,4.45e-09
4.133e-20,3.09e-08
8.266e-20,4.06e-07
1.378e-19,3.65e-07
1.393e-19,3.56e-07
1.55e-19,5.38e-07
3.1e-19,6.62e-06
6.199e-19,9.49e-05
8.266e-19,0.000273
1.033e-18,0.000624
1.127e-18,0.000823
1.24e-18,0.000851
1.378e-18,0.000174
1.55e-18,0.000263
1.771e-18,0.000395
2.066e-18,0.000651
2.48e-18,0.00111
3.1e-18,0.00245
4.133e-18,0.00513
6.199e-18,0.0159
8.266e-18,0.031
1.033e-17,0.054
1.127e-17,0.0599
1.181e-17,0.0625
1.24e-17,0.0653
1.305e-17,0.0693
1.348e-17,0.0744
1.378e-17,0.0788
1.409e-17,0.0834
1.442e-17,0.0877
1.476e-17,0.0911
1.494e-17,0.0923
1.512e-17,0.0934
1.531e-17,0.0943
1.55e-17,0.0946
1.569e-17,0.0941
1.59e-17,0.0936
1.61e-17,0.0921
1.631e-17,0.091
1.653e-17,0.0872
1.675e-17,0.085
1.698e-17,0.0857
1.722e-17,0.0868
1.746e-17,0.0881
1.771e-17,0.0893
1.797e-17,0.0908
1.823e-17,0.0927
1.851e-17,0.0945
1.879e-17,0.0963
1.907e-17,0.099
1.937e-17,0.102
1.968e-17,0.104
2e-17,0.107
2.033e-17,0.108
2.066e-17,0.109
2.101e-17,0.109
2.138e-17,0.11
2.175e-17,0.112
2.214e-17,0.114
2.254e-17,0.117
2.296e-17,0.12
2.339e-17,0.123
2.384e-17,0.126
2.431e-17,0.13
2.48e-17,0.134
2.53e-17,0.137
2.583e-17,0.14
2.638e-17,0.143
2.695e-17,0.146
2.755e-17,0.148
2.818e-17,0.151
2.883e-17,0.154
2.952e-17,0.157
3.024e-17,0.161
3.1e-17,0.167
3.179e-17,0.174
3.263e-17,0.18
3.351e-17,0.187
3.444e-17,0.193
3.542e-17,0.198
3.647e-17,0.205
3.757e-17,0.214
3.875e-17,0.223
3.999e-17,0.239
4.133e-17,0.262
4.275e-17,0.302
4.428e-17,0.346
4.592e-17,0.382
4.769e-17,0.403
4.959e-17,0.396
5.166e-17,0.373
5.391e-17,0.366
5.636e-17,0.381
5.904e-17,0.411
6.199e-17,0.455
6.525e-17,0.507
6.888e-17,0.561
7.293e-17,0.62
7.749e-17,0.673
7.999e-17,0.695
8.266e-17,0.707
8.551e-17,0.717
8.856e-17,0.724
9.537e-17,0.724
1.033e-16,0.713
1.127e-16,0.754
1.24e-16,0.818
1.305e-16,0.867
1.378e-16,0.921
1.459e-16,0.979
1.55e-16,1.03
1.653e-16,1.09
1.771e-16,1.2
1.907e-16,1.37
2.066e-16,1.59
2.138e-16,1.67
2.214e-16,1.74
2.296e-16,1.78
2.384e-16,1.8
2.48e-16,1.78
2.583e-16,1.71
2.695e-16,1.67
2.818e-16,1.64
2.952e-16,1.64
3.1e-16,1.72
3.263e-16,1.81
3.444e-16,1.87
3.647e-16,1.95
3.875e-16,2.07
4.133e-16,2.21
4.428e-16,2.36
4.769e-16,2.5
5.166e-16,2.6
5.391e-16,2.59
5.636e-16,2.6
5.904e-16,2.81
6.199e-16,3.24
6.525e-16,3.67
6.702e-16,3.86
6.888e-16,4.05
7.085e-16,4.24
7.293e-16,4.43
8.266e-16,5.26
1.24e-15,8.46
2.48e-15,17.6
1.24e-14,71.1
2.48e-14,103.0
1.24e-13,213.0
2.48e-13,294.0
