wavelength,n
2.48e-11,1.0
4.133e-11,1.0
8.266e-11,1.0
1.378e-10,1.001
1.393e-10,1.001
1.55e-10,1.001
3.1e-10,1.0
6.199e-10,1.0
8.266e-10,1.0
1.033e-09,0.999
1.127e-09,0.999
1.24e-09,0.999
1.378e-09,1.0
1.55e-09,0.999
1.771e-09,0.998
2.066e-09,0.997
2.48e-09,0.997
3.1e-09,0.993
4.133e-09,0.988
6.199e-09,0.978
8.266e-09,0.969
1.033e-08,0.965
1.127e-08,0.968
1.181e-08,0.968
1.24e-08,0.967
1.305e-08,0.965
1.348e-08,0.963
1.378e-08,0.963
1.409e-08,0.963
1.442e-08,0.966
1.476e-08,0.969
1.494e-08,0.971
1.512e-08,0.973
1.531e-08,0.974
1.55e-08,0.977
1.569e-08,0.979
1.59e-08,0.98
1.61e-08,0.982
1.631e-08,0.984
1.653e-08,0.983
1.675e-08,0.979
1.698e-08,0.977
1.722e-08,0.975
1.746e-08,0.974
1.771e-08,0.972
1.797e-08,0.97
1.823e-08,0.968
1.851e-08,0.968
1.879e-08,0.967
1.907e-08,0.966
1.937e-08,0.965
1.968e-08,0.965
2e-08,0.965
2.033e-08,0.966
2.066e-08,0.966
2.101e-08,0.966
2.138e-08,0.964
2.175e-08,0.962
2.214e-08,0.96
2.254e-08,0.958
2.296e-08,0.957
2.339e-08,0.956
2.384e-08,0.954
2.431e-08,0.953
2.48e-08,0.953
2.53e-08,0.952
2.583e-08,0.952
2.638e-08,0.951
2.695e-08,0.951
2.755e-08,0.949
2.818e-08,0.948
2.883e-08,0.945
2.952e-08,0.942
3.024e-08,0.938
3.1e-08,0.934
3.179e-08,0.93
3.263e-08,0.927
3.351e-08,0.925
3.444e-08,0.922
3.542e-08,0.917
3.647e-08,0.91
3.757e-08,0.901
3.875e-08,0.891
3.999e-08,0.876
4.133e-08,0.856
4.275e-08,0.849
4.428e-08,0.862
4.592e-08,0.884
4.769e-08,0.921
4.959e-08,0.96
5.166e-08,0.961
5.391e-08,0.943
5.636e-08,0.917
5.904e-08,0.897
6.199e-08,0.882
6.525e-08,0.883
6.888e-08,0.89
7.293e-08,0.913
7.749e-08,0.954
7.999e-08,0.981
8.266e-08,1.009
8.551e-08,1.034
8.856e-08,1.055
9.537e-08,1.084
1.033e-07,1.091
1.127e-07,1.074
1.24e-07,1.038
1.305e-07,1.029
1.378e-07,1.027
1.459e-07,1.029
1.55e-07,1.029
1.653e-07,1.005
1.771e-07,0.972
1.907e-07,0.958
2.066e-07,1.036
2.138e-07,1.102
2.214e-07,1.183
2.296e-07,1.276
2.384e-07,1.378
2.48e-07,1.47
2.583e-07,1.533
2.695e-07,1.52
2.818e-07,1.487
2.952e-07,1.419
3.1e-07,1.344
3.263e-07,1.336
3.444e-07,1.31
3.647e-07,1.27
3.875e-07,1.232
4.133e-07,1.184
4.428e-07,1.169
4.769e-07,1.152
5.166e-07,1.121
5.391e-07,1.037
5.636e-07,0.826
5.904e-07,0.468
6.199e-07,0.272
6.525e-07,0.214
6.702e-07,0.215
6.888e-07,0.213
7.085e-07,0.214
7.293e-07,0.223
8.266e-07,0.26
1.24e-06,0.433
2.48e-06,1.692
1.24e-05,29.1
2.48e-05,62.8
0.000124,186.0
0.000248,270.0
