wavelength,k
1.879e-16,1.337
1.916e-16,1.388
1.953e-16,1.44
1.993e-16,1.493
2.033e-16,1.55
2.073e-16,1.599
2.119e-16,1.651
2.164e-16,1.699
2.214e-16,1.737
2.262e-16,1.768
2.313e-16,1.792
2.371e-16,1.802
2.426e-16,1.799
2.49e-16,1.783
2.551e-16,1.741
2.616e-16,1.691
2.689e-16,1.668
2.761e-16,1.646
2.844e-16,1.633
2.924e-16,1.633
3.009e-16,1.679
3.107e-16,1.729
3.204e-16,1.783
3.315e-16,1.821
3.425e-16,1.864
3.542e-16,1.916
3.679e-16,1.975
3.815e-16,2.045
3.974e-16,2.116
4.133e-16,2.207
4.305e-16,2.305
4.509e-16,2.397
4.714e-16,2.483
4.959e-16,2.564
5.209e-16,2.608
5.486e-16,2.577
5.821e-16,2.704
6.168e-16,3.205
6.595e-16,3.747
7.045e-16,4.205
7.56e-16,4.665
8.211e-16,5.18
8.92e-16,5.768
9.84e-16,6.421
1.088e-15,7.217
1.216e-15,8.245
1.393e-15,9.439
1.61e-15,11.12
1.937e-15,13.43
