wavelength,n
1.879e-16,0.94
1.916e-16,0.95
1.953e-16,0.97
1.993e-16,0.98
2.033e-16,0.99
2.073e-16,1.01
2.119e-16,1.04
2.164e-16,1.08
2.214e-16,1.13
2.262e-16,1.18
2.313e-16,1.23
2.371e-16,1.28
2.426e-16,1.34
2.49e-16,1.37
2.551e-16,1.41
2.616e-16,1.41
2.689e-16,1.45
2.761e-16,1.46
2.844e-16,1.45
2.924e-16,1.42
3.009e-16,1.4
3.107e-16,1.38
3.204e-16,1.38
3.315e-16,1.34
3.425e-16,1.36
3.542e-16,1.37
3.679e-16,1.36
3.815e-16,1.33
3.974e-16,1.32
4.133e-16,1.28
4.305e-16,1.25
4.509e-16,1.24
4.714e-16,1.25
4.959e-16,1.22
5.209e-16,1.18
5.486e-16,1.02
5.821e-16,0.7
6.168e-16,0.3
6.595e-16,0.22
7.045e-16,0.21
7.56e-16,0.24
8.211e-16,0.26
8.92e-16,0.3
9.84e-16,0.32
1.088e-15,0.36
1.216e-15,0.48
1.393e-15,0.6
1.61e-15,0.76
1.937e-15,1.09
