wavelength,k
5.17e-07,2.64
6.7e-07,3.97
1e-06,6.53
1.11e-06,7.32
1.25e-06,8.31
1.43e-06,9.53
1.67e-06,11.2
2e-06,13.4
2.11e-06,14.2
2.22e-06,14.9
2.35e-06,15.8
2.5e-06,16.8
2.67e-06,17.9
2.86e-06,19.1
3.08e-06,20.6
3.33e-06,22.3
3.64e-06,24.2
4e-06,26.5
4.44e-06,28.8
5e-06,33.0
5.26e-06,34.5
5.56e-06,36.3
5.88e-06,38.3
6.25e-06,40.7
6.67e-06,43.3
7.14e-06,46.2
7.69e-06,49.5
8.33e-06,53.2
9.09e-06,57.7
1e-05,63.0
1.05e-05,65.9
1.11e-05,69.1
1.18e-05,72.6
1.25e-05,76.5
1.33e-05,80.8
1.43e-05,85.6
1.54e-05,91.1
1.67e-05,97.7
1.82e-05,105.0
2e-05,115.0
2.08e-05,120.0
2.17e-05,124.0
2.27e-05,130.0
2.38e-05,136.0
2.5e-05,142.0
2.63e-05,150.0
2.78e-05,158.0
2.94e-05,167.0
3.13e-05,178.0
3.33e-05,190.0
3.57e-05,203.0
3.85e-05,219.0
4.17e-05,238.0
4.55e-05,258.0
5e-05,284.0
5.56e-05,313.0
