wavelength,k
1.88e-07,1.35
1.92e-07,1.37
1.95e-07,1.39
1.99e-07,1.4
2.03e-07,1.4
2.07e-07,1.41
2.12e-07,1.43
2.16e-07,1.44
2.21e-07,1.47
2.26e-07,1.49
2.31e-07,1.53
2.37e-07,1.57
2.43e-07,1.61
2.49e-07,1.66
2.55e-07,1.7
2.62e-07,1.75
2.69e-07,1.79
2.76e-07,1.84
2.84e-07,1.88
2.92e-07,1.94
3.01e-07,2.0
3.11e-07,2.06
3.2e-07,2.12
3.32e-07,2.19
3.42e-07,2.27
3.54e-07,2.35
3.68e-07,2.43
3.81e-07,2.5
3.97e-07,2.58
4.13e-07,2.65
4.31e-07,2.71
4.51e-07,2.77
4.71e-07,2.82
4.96e-07,2.88
5.21e-07,2.91
5.49e-07,2.93
5.82e-07,2.99
6.17e-07,3.05
6.59e-07,3.1
7.04e-07,3.19
7.56e-07,3.28
8.21e-07,3.39
8.92e-07,3.56
9.84e-07,3.79
1.088e-06,4.06
1.216e-06,4.39
1.393e-06,4.83
1.61e-06,5.39
1.937e-06,6.12
