wavelength,k
6.67e-16,3.358996
7.14e-16,3.4648084
7.69e-16,3.5471579
8.33e-16,3.748608
9.09e-16,3.8974446
1e-15,4.1442444
1.05e-15,4.2852453
1.11e-15,4.4419211
1.18e-15,4.6138021
1.25e-15,4.8032972
1.33e-15,5.0146674
1.43e-15,5.2542311
1.54e-15,5.5306374
1.67e-15,5.8553312
1.82e-15,6.2434063
2e-15,6.7151655
2.11e-15,6.990845
2.22e-15,7.2989194
2.35e-15,7.645002
2.5e-15,8.0360513
2.67e-15,8.4808227
2.86e-15,8.9905172
3.08e-15,9.5797246
3.33e-15,10.267835
3.64e-15,11.081212
4e-15,12.056655
4.44e-15,13.247145
5e-15,14.731832
5.71e-15,16.634437
6.67e-15,19.159671
8e-15,22.672232
1e-14,27.901743
1.11e-14,30.807425
1.25e-14,34.384013
1.43e-14,38.936666
1.67e-14,44.921725
2e-14,53.12441
2.22e-14,58.469983
2.5e-14,65.004217
2.86e-14,73.149608
3.33e-14,83.533158
4e-14,97.090004
4.44e-14,105.45507
5e-14,115.07592
5.71e-14,126.39007
6.67e-14,140.34826
8e-14,158.1909
1e-13,181.9471
1.25e-13,207.32665
1.54e-13,230.22637
2e-13,260.36949
2.86e-13,305.98052
