wavelength,k
2.066e-16,2.69
2.101e-16,2.803
2.138e-16,2.934
2.175e-16,3.096
2.214e-16,3.297
2.254e-16,3.556
2.296e-16,3.889
2.339e-16,4.168
2.384e-16,4.17
2.431e-16,3.975
2.48e-16,3.631
2.53e-16,3.358
2.583e-16,3.096
2.638e-16,2.712
2.695e-16,2.371
2.755e-16,2.18
2.818e-16,2.09
2.883e-16,2.058
2.952e-16,2.063
3.024e-16,2.1
3.1e-16,2.171
3.179e-16,2.303
3.263e-16,2.562
3.351e-16,2.451
3.444e-16,1.368
3.542e-16,0.819
3.647e-16,0.568
3.757e-16,0.426
3.875e-16,0.337
3.999e-16,0.275
4.133e-16,0.224
4.275e-16,0.183
4.428e-16,0.118
4.592e-16,0.027
4.769e-16,0.011
4.959e-16,0.006
5.166e-16,0.004
5.391e-16,0.002
5.636e-16,0.0
5.904e-16,0.0
6.199e-16,0.0
6.525e-16,0.0
6.888e-16,0.0
7.293e-16,0.0
7.749e-16,0.0
8.266e-16,0.0
