wavelength,k
2.066e-16,2.416
2.101e-16,2.444
2.138e-16,2.479
2.175e-16,2.535
2.214e-16,2.602
2.254e-16,2.645
2.296e-16,2.653
2.339e-16,2.638
2.384e-16,2.645
2.431e-16,2.685
2.48e-16,2.751
2.53e-16,2.829
2.583e-16,2.928
2.638e-16,3.055
2.695e-16,3.208
2.755e-16,3.392
2.818e-16,3.628
2.883e-16,3.923
2.952e-16,4.13
3.024e-16,3.976
3.1e-16,3.643
3.179e-16,3.323
3.263e-16,3.069
3.351e-16,2.862
3.444e-16,2.69
3.542e-16,2.545
3.647e-16,2.43
3.757e-16,2.319
3.875e-16,2.21
3.999e-16,2.134
4.133e-16,2.109
4.275e-16,2.121
4.428e-16,2.157
4.592e-16,2.211
4.769e-16,2.28
4.959e-16,2.285
5.166e-16,1.962
5.391e-16,1.789
5.636e-16,1.747
5.904e-16,1.803
6.199e-16,1.378
6.525e-16,0.829
6.888e-16,0.611
7.293e-16,0.485
7.749e-16,0.416
8.266e-16,0.344
