wavelength,n
2.066e-16,0.935
2.101e-16,0.985
2.138e-16,1.022
2.175e-16,1.062
2.214e-16,1.127
2.254e-16,1.212
2.296e-16,1.299
2.339e-16,1.345
2.384e-16,1.356
2.431e-16,1.358
2.48e-16,1.369
2.53e-16,1.387
2.583e-16,1.408
2.638e-16,1.444
2.695e-16,1.503
2.755e-16,1.586
2.818e-16,1.723
2.883e-16,1.989
2.952e-16,2.522
3.024e-16,3.1
3.1e-16,3.45
3.179e-16,3.62
3.263e-16,3.701
3.351e-16,3.748
3.444e-16,3.774
3.542e-16,3.785
3.647e-16,3.794
3.757e-16,3.808
3.875e-16,3.8
3.999e-16,3.766
4.133e-16,3.732
4.275e-16,3.728
4.428e-16,3.76
4.592e-16,3.836
4.769e-16,3.984
4.959e-16,4.312
5.166e-16,4.513
5.391e-16,4.492
5.636e-16,4.521
5.904e-16,4.705
6.199e-16,5.239
6.525e-16,5.052
6.888e-16,4.817
7.293e-16,4.643
7.749e-16,4.507
8.266e-16,4.388
