wavelength,n
2.07e-07,0.956
2.1e-07,1.01
2.14e-07,1.046
2.18e-07,1.084
2.21e-07,1.144
2.25e-07,1.228
2.3e-07,1.309
2.34e-07,1.354
2.38e-07,1.363
2.43e-07,1.361
2.48e-07,1.368
2.53e-07,1.382
2.58e-07,1.4
2.64e-07,1.432
2.7e-07,1.483
2.76e-07,1.561
2.82e-07,1.689
2.88e-07,1.944
2.95e-07,2.415
3.02e-07,2.956
3.1e-07,3.323
3.18e-07,3.528
3.26e-07,3.642
3.35e-07,3.713
3.44e-07,3.759
3.54e-07,3.783
3.65e-07,3.804
3.76e-07,3.823
3.87e-07,3.825
4e-07,3.785
4.13e-07,3.751
4.28e-07,3.74
4.43e-07,3.755
4.59e-07,3.816
4.77e-07,3.946
4.96e-07,4.235
5.17e-07,4.464
5.39e-07,4.455
5.64e-07,4.47
5.9e-07,4.63
6.2e-07,5.197
6.53e-07,5.037
6.89e-07,4.822
7.29e-07,4.644
7.75e-07,4.5
8.27e-07,4.37
8.86e-07,4.27
9.54e-07,4.2
1.033e-06,4.14
1.127e-06,4.096
1.24e-06,4.05
1.378e-06,4.026
1.55e-06,4.01
1.771e-06,3.959
2.066e-06,3.878
2.48e-06,3.846
