wavelength,k
4.43e-17,0.164
4.51e-17,0.173
4.59e-17,0.183
4.68e-17,0.195
4.77e-17,0.208
4.86e-17,0.223
4.96e-17,0.24
5.06e-17,0.25
5.17e-17,0.259
5.28e-17,0.268
5.39e-17,0.279
5.51e-17,0.297
5.64e-17,0.319
5.77e-17,0.34
5.9e-17,0.366
6.05e-17,0.392
6.2e-17,0.416
6.36e-17,0.44
6.53e-17,0.464
6.7e-17,0.492
6.89e-17,0.517
7.08e-17,0.528
7.29e-17,0.533
7.38e-17,0.534
7.51e-17,0.531
7.75e-17,0.524
8e-17,0.51
8.27e-17,0.5
8.55e-17,0.499
8.86e-17,0.468
9.18e-17,0.38
9.3e-17,0.36
9.54e-17,0.339
9.92e-17,0.318
1.033e-16,0.291
1.078e-16,0.251
1.1e-16,0.244
1.127e-16,0.239
1.14e-16,0.239
1.181e-16,0.244
1.21e-16,0.247
1.24e-16,0.224
1.272e-16,0.195
1.295e-16,0.174
1.305e-16,0.172
1.319e-16,0.18
1.333e-16,0.194
1.348e-16,0.213
1.362e-16,0.243
1.37e-16,0.271
1.378e-16,0.289
1.387e-16,0.334
1.393e-16,0.344
1.409e-16,0.382
1.425e-16,0.401
1.435e-16,0.4065
1.442e-16,0.405
1.45e-16,0.389
1.459e-16,0.377
1.468e-16,0.345
1.476e-16,0.332
1.48e-16,0.315
1.485e-16,0.298
1.494e-16,0.274
1.512e-16,0.228
1.531e-16,0.198
1.54e-16,0.172
1.55e-16,0.156
1.569e-16,0.11
1.58e-16,0.083
1.589e-16,0.058
1.61e-16,0.022
1.625e-16,0.01
1.648e-16,0.003
1.669e-16,0.001
1.692e-16,0.0003
1.713e-16,0.00011
1.737e-16,3e-05
1.757e-16,1e-05
1.779e-16,3e-06
1.802e-16,1e-06
1.809e-16,7e-07
1.821e-16,4e-07
1.833e-16,2e-07
1.843e-16,1e-07
1.85e-16,6.377e-08
1.86e-16,3.75e-08
1.87e-16,2.8e-08
1.88e-16,2.4e-08
1.89e-16,2.2e-08
1.9e-16,1.9e-08
1.91e-16,1.75e-08
1.93e-16,1.64e-08
1.95e-16,1.59e-08
2.1e-16,1.325e-08
2.5e-16,8.623e-09
3e-16,5.504e-09
3.5e-16,3.765e-09
4e-16,2.71e-09
4.1e-16,2.51e-09
4.2e-16,2.26e-09
4.3e-16,2.08e-09
4.4e-16,1.91e-09
4.5e-16,1.54e-09
4.6e-16,1.53e-09
4.7e-16,1.55e-09
4.8e-16,1.64e-09
4.9e-16,1.78e-09
5e-16,1.91e-09
5.1e-16,2.14e-09
5.2e-16,2.26e-09
5.3e-16,2.54e-09
5.4e-16,2.93e-09
5.5e-16,3.11e-09
5.6e-16,3.29e-09
5.7e-16,3.52e-09
5.8e-16,4.04e-09
5.9e-16,4.88e-09
6e-16,5.73e-09
6.1e-16,6.89e-09
6.2e-16,8.58e-09
6.3e-16,1.04e-08
6.4e-16,1.22e-08
6.5e-16,1.43e-08
6.6e-16,1.66e-08
6.7e-16,1.89e-08
6.8e-16,2.09e-08
6.9e-16,2.4e-08
7e-16,2.9e-08
7.1e-16,3.44e-08
7.2e-16,4.03e-08
7.3e-16,4.3e-08
7.4e-16,4.92e-08
7.5e-16,5.87e-08
7.6e-16,7.08e-08
7.7e-16,8.58e-08
7.8e-16,1.02e-07
7.9e-16,1.18e-07
8e-16,1.34e-07
8.1e-16,1.4e-07
8.2e-16,1.43e-07
8.3e-16,1.45e-07
8.4e-16,1.51e-07
8.5e-16,1.83e-07
8.6e-16,2.15e-07
8.7e-16,2.65e-07
8.8e-16,3.35e-07
8.9e-16,3.92e-07
9e-16,4.2e-07
9.1e-16,4.44e-07
9.2e-16,4.74e-07
9.3e-16,5.11e-07
9.4e-16,5.53e-07
9.5e-16,6.02e-07
9.6e-16,7.55e-07
9.7e-16,9.26e-07
9.8e-16,1.12e-06
9.9e-16,1.33e-06
1e-15,1.62e-06
1.01e-15,2e-06
1.02e-15,2.25e-06
1.03e-15,2.33e-06
1.04e-15,2.33e-06
1.05e-15,2.17e-06
1.06e-15,1.96e-06
1.07e-15,1.81e-06
1.08e-15,1.74e-06
1.09e-15,1.73e-06
1.1e-15,1.7e-06
1.11e-15,1.76e-06
1.12e-15,1.82e-06
1.13e-15,2.04e-06
1.14e-15,2.25e-06
1.15e-15,2.29e-06
1.16e-15,3.04e-06
1.17e-15,3.84e-06
1.18e-15,4.77e-06
1.19e-15,5.76e-06
1.2e-15,6.71e-06
1.21e-15,8.66e-06
1.22e-15,1.02e-05
1.23e-15,1.13e-05
1.24e-15,1.22e-05
1.25e-15,1.29e-05
1.26e-15,1.32e-05
1.27e-15,1.35e-05
1.28e-15,1.33e-05
1.29e-15,1.32e-05
1.3e-15,1.32e-05
1.31e-15,1.31e-05
1.32e-15,1.32e-05
1.33e-15,1.32e-05
1.34e-15,1.34e-05
1.35e-15,1.39e-05
1.36e-15,1.42e-05
1.37e-15,1.48e-05
1.38e-15,1.58e-05
1.39e-15,1.74e-05
1.4e-15,1.98e-05
1.41e-15,2.5e-05
1.42e-15,5.4e-05
1.43e-15,0.000104
1.44e-15,0.000203
1.449e-15,0.0002708
1.46e-15,0.0003511
1.471e-15,0.0004299
1.481e-15,0.0005181
1.493e-15,0.0005855
1.504e-15,0.0005899
1.515e-15,0.0005635
1.527e-15,0.000548
1.538e-15,0.0005266
1.563e-15,0.0004394
1.587e-15,0.0003701
1.613e-15,0.0003372
1.65e-15,0.000241
1.68e-15,0.000189
1.7e-15,0.000166
1.73e-15,0.000145
1.76e-15,0.000128
1.8e-15,0.000103
1.83e-15,8.6e-05
1.84e-15,8.22e-05
1.85e-15,8.03e-05
1.855e-15,8.5e-05
1.86e-15,9.9e-05
1.87e-15,0.00015
1.89e-15,0.000295
1.905e-15,0.0004687
1.923e-15,0.0007615
1.942e-15,0.00101
1.961e-15,0.001313
1.98e-15,0.001539
2e-15,0.001588
2.02e-15,0.00154
2.041e-15,0.001412
2.062e-15,0.001244
2.083e-15,0.001068
2.105e-15,0.0008414
2.13e-15,0.000565
2.15e-15,0.000432
2.17e-15,0.00035
2.19e-15,0.000287
2.22e-15,0.000221
2.24e-15,0.000203
2.245e-15,0.000201
2.25e-15,0.000203
2.26e-15,0.000214
2.27e-15,0.000232
2.29e-15,0.000289
2.31e-15,0.000381
