wavelength,n
4.43e-08,0.8344
4.51e-08,0.8368
4.59e-08,0.8373
4.68e-08,0.8377
4.77e-08,0.8383
4.86e-08,0.8404
4.96e-08,0.8472
5.06e-08,0.8552
5.17e-08,0.8605
5.28e-08,0.8625
5.39e-08,0.8616
5.51e-08,0.8609
5.64e-08,0.8642
5.77e-08,0.8692
5.9e-08,0.8776
6.05e-08,0.893
6.2e-08,0.9104
6.36e-08,0.9309
6.53e-08,0.9537
6.7e-08,0.9819
6.89e-08,1.0233
7.08e-08,1.0673
7.29e-08,1.112
7.38e-08,1.1313
7.51e-08,1.1575
7.75e-08,1.2004
8e-08,1.2384
8.27e-08,1.2732
8.55e-08,1.3216
8.86e-08,1.3896
9.18e-08,1.4164
9.3e-08,1.4091
9.54e-08,1.4006
9.92e-08,1.4017
1.033e-07,1.4093
1.078e-07,1.4022
1.1e-07,1.3924
1.127e-07,1.3842
1.14e-07,1.3807
1.181e-07,1.3819
1.21e-07,1.3963
1.24e-07,1.4092
1.272e-07,1.4026
1.295e-07,1.3801
1.305e-07,1.363
1.319e-07,1.3414
1.333e-07,1.3238
1.348e-07,1.306
1.362e-07,1.2905
1.37e-07,1.2889
1.378e-07,1.2893
1.387e-07,1.3019
1.393e-07,1.3203
1.409e-07,1.363
1.425e-07,1.4187
1.435e-07,1.4583
1.442e-07,1.4903
1.45e-07,1.5213
1.459e-07,1.5538
1.468e-07,1.5778
1.476e-07,1.5964
1.48e-07,1.6065
1.485e-07,1.6117
1.494e-07,1.6192
1.512e-07,1.6252
1.531e-07,1.634
1.54e-07,1.6369
1.55e-07,1.6383
1.569e-07,1.6372
1.58e-07,1.6323
1.589e-07,1.6222
1.61e-07,1.5827
1.625e-07,1.5564
1.648e-07,1.5245
1.669e-07,1.5032
1.692e-07,1.485
1.713e-07,1.4723
1.737e-07,1.4599
1.757e-07,1.4511
1.779e-07,1.4427
1.802e-07,1.435
1.809e-07,1.4328
1.821e-07,1.4292
1.833e-07,1.426
1.843e-07,1.4232
1.85e-07,1.4214
1.86e-07,1.419
1.87e-07,1.4166
1.88e-07,1.4143
1.89e-07,1.4122
1.9e-07,1.4101
1.91e-07,1.4081
1.93e-07,1.4042
1.95e-07,1.4007
2.1e-07,1.38
2.5e-07,1.3509
3e-07,1.3339
3.5e-07,1.3249
4e-07,1.3194
4.1e-07,1.3185
4.2e-07,1.3177
4.3e-07,1.317
4.4e-07,1.3163
4.5e-07,1.3157
4.6e-07,1.3151
4.7e-07,1.3145
4.8e-07,1.314
4.9e-07,1.3135
5e-07,1.313
5.1e-07,1.3126
5.2e-07,1.3122
5.3e-07,1.3118
5.4e-07,1.3114
5.5e-07,1.311
5.6e-07,1.3106
5.7e-07,1.3103
5.8e-07,1.31
5.9e-07,1.3097
6e-07,1.3094
6.1e-07,1.3091
6.2e-07,1.3088
6.3e-07,1.3085
6.4e-07,1.3083
6.5e-07,1.308
6.6e-07,1.3078
6.7e-07,1.3076
6.8e-07,1.3073
6.9e-07,1.3071
7e-07,1.3069
7.1e-07,1.3067
7.2e-07,1.3065
7.3e-07,1.3062
7.4e-07,1.306
7.5e-07,1.3058
7.6e-07,1.3057
7.7e-07,1.3055
7.8e-07,1.3053
7.9e-07,1.3051
8e-07,1.3049
8.1e-07,1.3047
8.2e-07,1.3045
8.3e-07,1.3044
8.4e-07,1.3042
8.5e-07,1.304
8.6e-07,1.3038
8.7e-07,1.3037
8.8e-07,1.3035
8.9e-07,1.3033
9e-07,1.3032
9.1e-07,1.303
9.2e-07,1.3028
9.3e-07,1.3027
9.4e-07,1.3025
9.5e-07,1.3023
9.6e-07,1.3022
9.7e-07,1.302
9.8e-07,1.3018
9.9e-07,1.3017
1e-06,1.3015
1.01e-06,1.3013
1.02e-06,1.3012
1.03e-06,1.301
1.04e-06,1.3008
1.05e-06,1.3006
1.06e-06,1.3005
1.07e-06,1.3003
1.08e-06,1.3001
1.09e-06,1.3
1.1e-06,1.2998
1.11e-06,1.2996
1.12e-06,1.2995
1.13e-06,1.2993
1.14e-06,1.2991
1.15e-06,1.2989
1.16e-06,1.2987
1.17e-06,1.2985
1.18e-06,1.2984
1.19e-06,1.2982
1.2e-06,1.298
1.21e-06,1.2978
1.22e-06,1.2976
1.23e-06,1.2974
1.24e-06,1.2972
1.25e-06,1.297
1.26e-06,1.2969
1.27e-06,1.2967
1.28e-06,1.2965
1.29e-06,1.2963
1.3e-06,1.2961
1.31e-06,1.2958
1.32e-06,1.2956
1.33e-06,1.2954
1.34e-06,1.2952
1.35e-06,1.295
1.36e-06,1.2948
1.37e-06,1.2945
1.38e-06,1.2943
1.39e-06,1.2941
1.4e-06,1.2938
1.41e-06,1.2936
1.42e-06,1.2933
1.43e-06,1.293
1.44e-06,1.2927
1.449e-06,1.2925
1.46e-06,1.2923
1.471e-06,1.2921
1.481e-06,1.2919
1.493e-06,1.2917
1.504e-06,1.2915
1.515e-06,1.2913
1.527e-06,1.2911
1.538e-06,1.2908
1.563e-06,1.2903
1.587e-06,1.2896
1.613e-06,1.2889
1.65e-06,1.2878
1.68e-06,1.2869
1.7e-06,1.2862
1.73e-06,1.2852
1.76e-06,1.2841
1.8e-06,1.2826
1.83e-06,1.2814
1.84e-06,1.2809
1.85e-06,1.2805
1.855e-06,1.2802
1.86e-06,1.28
1.87e-06,1.2795
1.89e-06,1.2785
1.905e-06,1.2777
1.923e-06,1.2769
1.942e-06,1.2761
1.961e-06,1.2754
1.98e-06,1.2747
2e-06,1.274
2.02e-06,1.2733
2.041e-06,1.2724
2.062e-06,1.2714
2.083e-06,1.2703
2.105e-06,1.269
2.13e-06,1.2674
2.15e-06,1.2659
2.17e-06,1.2644
2.19e-06,1.2628
2.22e-06,1.2604
2.24e-06,1.2586
2.245e-06,1.2582
2.25e-06,1.2577
2.26e-06,1.2567
2.27e-06,1.2558
2.29e-06,1.2538
2.31e-06,1.2518
2.33e-06,1.2497
2.35e-06,1.2475
2.37e-06,1.2451
2.39e-06,1.2427
2.41e-06,1.24
2.43e-06,1.2373
2.46e-06,1.2327
