wavelength,n
2.36e-09,0.99705
3.16e-09,0.99598
4.47e-09,0.99169
6.76e-09,0.9848
1.14e-08,0.9638
1.355e-08,0.9498
1.714e-08,0.9245
2.43e-08,0.802
2.563e-08,0.79
3.038e-08,0.928
3.27e-08,0.918
3.568e-08,0.929
3.793e-08,1.04
4.059e-08,0.894
4.478e-08,0.847
4.607e-08,0.842
4.895e-08,0.883
5.391e-08,0.828
5.843e-08,0.801
6.163e-08,0.814
6.714e-08,0.804
7.185e-08,0.853
7.359e-08,0.843
7.437e-08,0.856
8.345e-08,0.813
8.78e-08,0.808
9.198e-08,0.885
9.321e-08,0.96
9.888e-08,0.912
1.0258e-07,1.07
1.0482e-07,1.11
1.0667e-07,1.19
1.0857e-07,1.15
1.135e-07,1.27
1.2007e-07,1.25
1.2157e-07,1.39
