wavelength,n
6.358e-08,1.20846
6.525e-08,1.20004
6.702e-08,1.19493
6.888e-08,1.19073
7.085e-08,1.18399
7.293e-08,1.1774
7.514e-08,1.16958
7.749e-08,1.15865
7.999e-08,1.1463
8.266e-08,1.13509
8.551e-08,1.1251
8.856e-08,1.1153
9.184e-08,1.10417
9.537e-08,1.09246
9.919e-08,1.07841
1.0332e-07,1.06391
1.0781e-07,1.05005
1.1271e-07,1.0395
1.148e-07,1.03857
1.1697e-07,1.0413
1.1922e-07,1.04545
1.2155e-07,1.05405
1.2398e-07,1.06152
1.2651e-07,1.06094
1.2915e-07,1.04397
1.319e-07,1.00864
1.3477e-07,0.98779
1.3776e-07,0.97457
1.4089e-07,0.96496
1.4417e-07,0.95609
1.476e-07,0.95275
1.512e-07,0.95194
1.5498e-07,0.946
1.5895e-07,0.92904
1.6314e-07,0.8927
1.6755e-07,0.81658
1.722e-07,0.71715
1.7712e-07,0.58506
1.7969e-07,0.50958
1.8233e-07,0.4588
1.8505e-07,0.4376
1.8785e-07,0.43614
1.9074e-07,0.42769
1.9373e-07,0.4123
1.968e-07,0.39938
1.9997e-07,0.38978
2.0664e-07,0.38613
2.1377e-07,0.38584
2.214e-07,0.38658
2.296e-07,0.39348
2.3843e-07,0.40109
2.4797e-07,0.41398
2.583e-07,0.43087
2.6953e-07,0.45157
2.8178e-07,0.47636
2.952e-07,0.50656
3.0996e-07,0.54187
3.2627e-07,0.58934
3.444e-07,0.64425
3.6466e-07,0.71303
3.8745e-07,0.79824
4.1328e-07,0.898
4.428e-07,1.02698
4.7686e-07,1.186
5.166e-07,1.38332
5.6356e-07,1.62088
6.1992e-07,1.90988
6.888e-07,2.28417
7.749e-07,2.74611
8.856e-07,3.3238
1.0332e-06,4.05007
1.23984e-06,4.9614
1.5498e-06,6.08732
2.0664e-06,7.57453
3.0996e-06,9.7411
6.19921e-06,13.9816
