wavelength,k
9.22369e-10,8.3206e-05
9.25601e-10,7.87954e-05
9.28721e-10,8.02641e-05
9.31862e-10,8.0392e-05
9.32843e-10,7.44523e-05
9.33897e-10,7.2844e-05
9.34954e-10,7.47647e-05
9.36012e-10,7.92883e-05
9.37073e-10,7.51427e-05
9.38137e-10,7.4964e-05
9.39203e-10,7.36447e-05
9.40271e-10,7.437e-05
9.41342e-10,7.6639e-05
9.4238e-10,8.0554e-05
9.46444e-10,8.2634e-05
9.5007e-10,9.3167e-05
9.53725e-10,8.5888e-05
9.57407e-10,9.2514e-05
9.61118e-10,9.1907e-05
9.64857e-10,9.487e-05
9.68626e-10,9.0465e-05
9.72425e-10,9.2821e-05
9.76253e-10,0.00010025
9.80112e-10,9.5907e-05
9.84001e-10,9.7353e-05
9.87922e-10,0.00010079
9.91873e-10,9.7185e-05
9.95857e-10,0.00010004
9.99872e-10,0.00010497
1.003921e-09,0.00010397
1.008002e-09,0.00010412
1.012116e-09,0.00010714
1.016264e-09,0.00010599
1.020446e-09,0.00010991
1.024663e-09,0.00010976
1.028914e-09,0.00011381
1.033202e-09,0.00011591
1.037525e-09,0.00011858
1.041884e-09,0.00011516
1.04628e-09,0.00012052
1.050713e-09,0.00012075
1.055185e-09,0.00011982
1.059694e-09,0.00012299
1.064242e-09,0.00012443
1.068829e-09,0.00012833
1.073456e-09,0.00013095
1.078123e-09,0.00013214
1.082831e-09,0.00013235
1.087581e-09,0.0001341
1.092372e-09,0.00013622
1.097205e-09,0.00013775
1.102082e-09,0.00013763
1.107002e-09,0.00013955
1.111966e-09,0.00014238
1.116975e-09,0.00014733
1.122029e-09,0.00014716
1.127129e-09,0.00015074
1.132276e-09,0.00015232
1.13747e-09,0.00014569
1.142711e-09,0.00014838
1.148002e-09,0.00015651
1.153341e-09,0.00015717
1.158731e-09,0.00016102
1.164171e-09,0.00016298
1.169662e-09,0.00016552
1.175206e-09,0.00016597
1.180802e-09,0.00016567
1.186452e-09,0.00017048
1.192156e-09,0.00017343
1.197915e-09,0.00017517
1.20373e-09,0.00017786
1.209602e-09,0.00018048
1.215531e-09,0.00018203
1.221519e-09,0.00018648
1.227566e-09,0.00018921
1.233674e-09,0.00019099
1.239842e-09,0.00019412
1.246072e-09,0.00019858
1.252366e-09,0.00019988
1.258723e-09,0.00020302
1.265145e-09,0.00020509
1.271633e-09,0.00020721
1.278187e-09,0.00020923
1.28481e-09,0.00021076
1.29083e-09,0.00021448
1.299325e-09,0.00021438
1.305097e-09,0.00021749
1.312002e-09,0.00022377
1.318981e-09,0.00022656
1.326034e-09,0.00022995
1.333163e-09,0.00023708
1.34037e-09,0.00023942
1.347654e-09,0.00024205
1.355018e-09,0.00024406
1.362464e-09,0.00024865
1.369991e-09,0.00025151
1.377602e-09,0.00025414
1.383165e-09,0.00025487
1.393081e-09,0.00025905
1.400951e-09,0.00026241
1.408911e-09,0.00026583
1.416962e-09,0.00026934
1.425106e-09,0.00027294
1.433343e-09,0.00027663
1.441677e-09,0.00028041
1.450107e-09,0.0002843
1.458637e-09,0.0002883
1.467268e-09,0.00029242
1.476002e-09,0.00029666
1.484841e-09,0.00030102
1.493785e-09,0.00030552
1.503476e-09,0.00031049
1.512002e-09,0.00031495
1.521278e-09,0.00031989
1.530669e-09,0.00032498
1.540176e-09,0.00033024
1.549802e-09,0.00033567
1.55955e-09,0.00034128
1.56942e-09,0.00034707
1.579416e-09,0.00035304
1.589541e-09,0.00035921
1.599796e-09,0.00036557
1.610184e-09,0.00037215
1.620708e-09,0.00037893
1.631371e-09,0.00038593
1.642175e-09,0.00039315
1.653122e-09,0.00040061
1.664217e-09,0.0004083
1.675462e-09,0.00041623
1.68686e-09,0.0004244
1.698414e-09,0.00043283
1.710127e-09,0.00044152
1.722003e-09,0.00045047
1.734045e-09,0.0004597
1.746256e-09,0.0004692
1.758641e-09,0.00047898
1.771203e-09,0.00048905
1.783945e-09,0.00049942
1.796872e-09,0.00051008
1.809988e-09,0.00052106
1.823297e-09,0.00053234
1.828756e-09,0.00053702
1.856634e-09,0.00056114
1.864424e-09,0.00056903
1.878548e-09,0.000581
1.892888e-09,0.00059534
1.907449e-09,0.00060679
1.922235e-09,0.00061875
1.937253e-09,0.00063227
1.952507e-09,0.00064657
1.968003e-09,0.00066269
1.983747e-09,0.000679
1.999745e-09,0.00069521
2.016003e-09,0.00071051
2.032528e-09,0.00072757
2.049325e-09,0.00074318
2.066403e-09,0.0007619
2.083768e-09,0.00077878
2.101427e-09,0.00079655
2.119388e-09,0.00082083
2.137658e-09,0.00083968
2.156247e-09,0.00085631
2.175161e-09,0.00087969
2.19441e-09,0.00090259
2.214003e-09,0.00092801
2.233949e-09,0.00094717
2.250739e-09,0.00095681
2.266704e-09,0.00094425
2.270773e-09,0.00094481
2.272854e-09,0.00094917
2.274939e-09,0.00094994
2.277028e-09,0.00095178
2.279121e-09,0.00095568
2.281218e-09,0.00095919
2.283318e-09,0.00096224
2.285423e-09,0.00096249
2.287531e-09,0.00096403
2.289643e-09,0.00096771
2.291759e-09,0.00097101
2.29388e-09,0.00097171
2.296003e-09,0.00097332
2.298131e-09,0.00097616
2.300263e-09,0.00097871
2.302399e-09,0.00098284
2.304539e-09,0.00098666
2.306683e-09,0.00098786
2.30883e-09,0.00099373
2.310982e-09,0.0010008
2.313138e-09,0.0010072
2.315298e-09,0.0010113
2.317461e-09,0.0010153
2.319629e-09,0.0010141
2.321801e-09,0.0010145
2.323977e-09,0.0010168
2.326157e-09,0.0010161
2.328342e-09,0.0010195
2.33053e-09,0.0010203
2.332722e-09,0.00102
2.334919e-09,0.0010249
2.337119e-09,0.0010257
2.339324e-09,0.00103
2.341533e-09,0.0010394
2.343746e-09,0.0010323
2.345964e-09,0.0010248
2.348185e-09,0.0010221
2.350411e-09,0.0010228
2.352641e-09,0.0010241
2.354875e-09,0.0010283
2.357114e-09,0.0010315
2.359357e-09,0.0010327
2.361604e-09,0.0010343
2.363855e-09,0.0010373
2.36611e-09,0.0010409
2.36837e-09,0.0010438
2.370635e-09,0.0010469
2.372903e-09,0.0010455
2.375176e-09,0.0010725
2.379735e-09,0.0010765
2.384311e-09,0.001082
2.388905e-09,0.0010875
2.393517e-09,0.001094
2.398147e-09,0.0010965
2.402794e-09,0.001102
2.40746e-09,0.001105
2.412144e-09,0.00111
2.416846e-09,0.001116
2.421566e-09,0.001121
2.426305e-09,0.0011275
