wavelength,n
9.22369e-10,1.0002736
9.25601e-10,1.0001301
9.28721e-10,1.000052
9.31862e-10,1.0000028
9.32843e-10,0.99998924
9.33897e-10,0.99997174
9.34954e-10,0.99995605
9.36012e-10,0.99994598
9.37073e-10,0.99993657
9.38137e-10,0.99992486
9.39203e-10,0.99991349
9.40271e-10,0.99990165
9.41342e-10,0.99989082
9.4238e-10,0.99988308
9.46444e-10,0.99985548
9.5007e-10,0.99983875
9.53725e-10,0.99982299
9.57407e-10,0.99980549
9.61118e-10,0.99979254
9.64857e-10,0.99978082
9.68626e-10,0.99976808
9.72425e-10,0.99975226
9.76253e-10,0.99974325
9.80112e-10,0.99973496
9.84001e-10,0.99972271
9.87922e-10,0.9997143
9.91873e-10,0.99970462
9.95857e-10,0.99969239
9.99872e-10,0.99968463
1.003921e-09,0.99967776
1.008002e-09,0.9996682
1.012116e-09,0.99966002
1.016264e-09,0.99965133
1.020446e-09,0.99964268
1.024663e-09,0.9996345
1.028914e-09,0.99962616
1.033202e-09,0.99961959
1.037525e-09,0.99961443
1.041884e-09,0.99960647
1.04628e-09,0.9995981
1.050713e-09,0.99959271
1.055185e-09,0.99958438
1.059694e-09,0.99957583
1.064242e-09,0.99956801
1.068829e-09,0.99956067
1.073456e-09,0.99955503
1.078123e-09,0.99954942
1.082831e-09,0.99954256
1.087581e-09,0.99953503
1.092372e-09,0.9995282
1.097205e-09,0.99952196
1.102082e-09,0.99951456
1.107002e-09,0.99950602
1.111966e-09,0.99949777
1.116975e-09,0.99949195
1.122029e-09,0.99948608
1.127129e-09,0.99947962
1.132276e-09,0.99947624
1.13747e-09,0.99946794
1.142711e-09,0.99945448
1.148002e-09,0.99944661
1.153341e-09,0.99944063
1.158731e-09,0.99943334
1.164171e-09,0.99942687
1.169662e-09,0.99942069
1.175206e-09,0.99941414
1.180802e-09,0.99940477
1.186452e-09,0.99939561
1.192156e-09,0.99938872
1.197915e-09,0.99938116
1.20373e-09,0.99937313
1.209602e-09,0.99936549
1.215531e-09,0.99935688
1.221519e-09,0.99934855
1.227566e-09,0.99934151
1.233674e-09,0.99933345
1.239842e-09,0.99932465
1.246072e-09,0.99931736
1.252366e-09,0.99931002
1.258723e-09,0.99930192
1.265145e-09,0.99929415
1.271633e-09,0.99928588
1.278187e-09,0.99927738
1.28481e-09,0.99926787
1.29083e-09,0.9992601
1.299325e-09,0.99924782
1.305097e-09,0.9992373
1.312002e-09,0.99922752
1.318981e-09,0.99921875
1.326034e-09,0.99920805
1.333163e-09,0.99919935
1.34037e-09,0.99919203
1.347654e-09,0.99918316
1.355018e-09,0.99917303
1.362464e-09,0.99916309
1.369991e-09,0.99915403
1.377602e-09,0.99914458
1.383165e-09,0.99913682
1.393081e-09,0.99912216
1.400951e-09,0.99911094
1.408911e-09,0.99909959
1.416962e-09,0.99908807
1.425106e-09,0.99907636
1.433343e-09,0.99906445
1.441677e-09,0.99905233
1.450107e-09,0.99903999
1.458637e-09,0.99902743
1.467268e-09,0.99901465
1.476002e-09,0.99900164
1.484841e-09,0.99898842
1.493785e-09,0.99897493
1.503476e-09,0.99896023
1.512002e-09,0.99894723
1.521278e-09,0.99893303
1.530669e-09,0.99891857
1.540176e-09,0.99890385
1.549802e-09,0.99888888
1.55955e-09,0.99887366
1.56942e-09,0.99885818
1.579416e-09,0.99884244
1.589541e-09,0.99882643
1.599796e-09,0.99881015
1.610184e-09,0.9987936
1.620708e-09,0.99877679
1.631371e-09,0.99875969
1.642175e-09,0.99874221
1.653122e-09,0.99872455
1.664217e-09,0.9987066
1.675462e-09,0.99868837
1.68686e-09,0.99866985
1.698414e-09,0.99865102
1.710127e-09,0.9986319
1.722003e-09,0.99861247
1.734045e-09,0.99859274
1.746256e-09,0.99857271
1.758641e-09,0.99855235
1.771203e-09,0.99853168
1.783945e-09,0.99851068
1.796872e-09,0.99848935
1.809988e-09,0.99846769
1.823297e-09,0.99844569
1.828756e-09,0.99843663
1.856634e-09,0.99839008
1.864424e-09,0.99837733
1.878548e-09,0.99835427
1.892888e-09,0.99833136
1.907449e-09,0.99830846
1.922235e-09,0.99828332
1.937253e-09,0.99825715
1.952507e-09,0.99823039
1.968003e-09,0.99820369
1.983747e-09,0.99817763
1.999745e-09,0.99815165
2.016003e-09,0.99812483
2.032528e-09,0.99809752
2.049325e-09,0.99806924
2.066403e-09,0.99804055
2.083768e-09,0.9980118
2.101427e-09,0.99798022
2.119388e-09,0.99795082
2.137658e-09,0.99792413
2.156247e-09,0.99789314
2.175161e-09,0.99786109
2.19441e-09,0.99783134
2.214003e-09,0.99780522
2.233949e-09,0.99778343
2.250739e-09,0.99776819
2.266704e-09,0.99773895
2.270773e-09,0.99772426
2.272854e-09,0.99771794
2.274939e-09,0.99771283
2.277028e-09,0.99770616
2.279121e-09,0.9977002
2.281218e-09,0.99769571
2.283318e-09,0.99769236
2.285423e-09,0.99768822
2.287531e-09,0.9976822
2.289643e-09,0.99767676
2.291759e-09,0.99767309
2.29388e-09,0.99766897
2.296003e-09,0.99766326
2.298131e-09,0.99765759
2.300263e-09,0.99765185
2.302399e-09,0.9976464
2.304539e-09,0.99764229
2.306683e-09,0.9976365
2.30883e-09,0.99762973
2.310982e-09,0.99762564
2.313138e-09,0.99762406
2.315298e-09,0.99762339
2.317461e-09,0.9976239
2.319629e-09,0.99762331
2.321801e-09,0.99761974
2.323977e-09,0.99761683
2.326157e-09,0.99761299
2.328342e-09,0.99760894
2.33053e-09,0.99760618
2.332722e-09,0.99760087
2.334919e-09,0.99759636
2.337119e-09,0.99759263
2.339324e-09,0.99758753
2.341533e-09,0.99759007
2.343746e-09,0.99759424
2.345964e-09,0.99758918
2.348185e-09,0.9975801
2.350411e-09,0.99757122
2.352641e-09,0.99756264
2.354875e-09,0.99755524
2.357114e-09,0.99754998
2.359357e-09,0.99754439
2.361604e-09,0.99753738
2.363855e-09,0.99753007
2.36611e-09,0.99752341
2.36837e-09,0.99751681
2.370635e-09,0.99751006
2.372903e-09,0.99749503
2.375176e-09,0.99748905
2.379735e-09,0.99749351
2.384311e-09,0.99748779
2.388905e-09,0.99748092
2.393517e-09,0.9974748
2.398147e-09,0.99746759
2.402794e-09,0.99745921
2.40746e-09,0.99745037
2.412144e-09,0.99743997
2.416846e-09,0.99743012
2.421566e-09,0.99741995
2.426305e-09,0.99740949
2.431062e-09,0.99739794
2.435839e-09,0.99738173
2.440634e-09,0.99737408
2.445447e-09,0.99737358
2.45028e-09,0.99736785
2.455132e-09,0.99736178
2.460004e-09,0.99735519
2.464894e-09,0.99734771
2.469805e-09,0.99733952
2.474734e-09,0.99733117
2.479684e-09,0.99732341
2.484653e-09,0.99731521
2.489642e-09,0.99730709
2.494652e-09,0.99729825
2.499681e-09,0.99728851
2.504731e-09,0.99728038
2.509801e-09,0.99727235
2.514892e-09,0.99726314
2.520004e-09,0.99725338
2.525136e-09,0.99724437
2.53029e-09,0.99723561
2.535464e-09,0.99722643
2.54066e-09,0.99721782
2.545877e-09,0.99720825
2.551115e-09,0.99719801
2.556375e-09,0.99718882
2.561657e-09,0.99717952
2.56696e-09,0.99716995
2.572286e-09,0.99716033
2.577634e-09,0.99715037
2.583004e-09,0.99714013
2.588396e-09,0.99712933
2.593811e-09,0.99711973
2.599249e-09,0.99711063
2.60471e-09,0.99710151
2.610193e-09,0.99709144
2.6157e-09,0.99708133
2.62123e-09,0.99707113
2.626784e-09,0.99705964
