wavelength,k
2.066e-16,2.112
2.101e-16,2.084
2.138e-16,2.102
2.175e-16,2.163
2.214e-16,2.248
2.254e-16,2.344
2.296e-16,2.449
2.339e-16,2.555
2.384e-16,2.646
2.431e-16,2.732
2.48e-16,2.871
2.53e-16,3.081
2.583e-16,3.349
2.638e-16,3.575
2.695e-16,3.581
2.755e-16,3.445
2.818e-16,3.042
2.883e-16,2.478
2.952e-16,2.099
3.024e-16,1.903
3.1e-16,1.799
3.179e-16,1.743
3.263e-16,1.719
3.351e-16,1.715
3.444e-16,1.728
3.542e-16,1.754
3.647e-16,1.79
3.757e-16,1.836
3.875e-16,1.891
3.999e-16,1.957
4.133e-16,2.034
4.275e-16,2.129
4.428e-16,2.208
4.592e-16,2.016
4.769e-16,1.885
4.959e-16,1.786
5.166e-16,1.283
5.391e-16,0.991
5.636e-16,0.822
5.904e-16,0.712
6.199e-16,0.634
6.525e-16,0.572
6.888e-16,0.53
7.293e-16,0.493
7.749e-16,0.463
8.266e-16,0.432
