wavelength,n
2.066e-16,1.434
2.101e-16,1.383
2.138e-16,1.333
2.175e-16,1.293
2.214e-16,1.276
2.254e-16,1.282
2.296e-16,1.312
2.339e-16,1.366
2.384e-16,1.436
2.431e-16,1.484
2.48e-16,1.524
2.53e-16,1.608
2.583e-16,1.803
2.638e-16,2.205
2.695e-16,2.705
2.755e-16,3.194
2.818e-16,3.644
2.883e-16,3.761
2.952e-16,3.615
3.024e-16,3.449
3.1e-16,3.313
3.179e-16,3.208
3.263e-16,3.129
3.351e-16,3.069
3.444e-16,3.03
3.542e-16,3.008
3.647e-16,3.004
3.757e-16,3.018
3.875e-16,3.051
3.999e-16,3.108
4.133e-16,3.197
4.275e-16,3.337
4.428e-16,3.626
4.592e-16,3.911
4.769e-16,4.021
4.959e-16,4.364
5.166e-16,4.466
5.391e-16,4.331
5.636e-16,4.199
5.904e-16,4.088
6.199e-16,3.995
6.525e-16,3.917
6.888e-16,3.851
7.293e-16,3.798
7.749e-16,3.755
8.266e-16,3.714
