wavelength,n
2.066e-16,1.336
2.101e-16,1.301
2.138e-16,1.299
2.175e-16,1.325
2.214e-16,1.375
2.254e-16,1.426
2.296e-16,1.455
2.339e-16,1.482
2.384e-16,1.558
2.431e-16,1.745
2.48e-16,2.131
2.53e-16,2.546
2.583e-16,2.984
2.638e-16,3.56
2.695e-16,3.8
2.755e-16,3.697
2.818e-16,3.527
2.883e-16,3.384
2.952e-16,3.275
3.024e-16,3.196
3.1e-16,3.141
3.179e-16,3.108
3.263e-16,3.095
3.351e-16,3.103
3.444e-16,3.133
3.542e-16,3.193
3.647e-16,3.299
3.757e-16,3.576
3.875e-16,3.976
3.999e-16,4.415
4.133e-16,4.395
4.275e-16,4.256
4.428e-16,4.121
4.592e-16,4.004
4.769e-16,3.903
4.959e-16,3.818
5.166e-16,3.745
5.391e-16,3.682
5.636e-16,3.629
5.904e-16,3.585
6.199e-16,3.549
6.525e-16,3.517
6.888e-16,3.492
7.293e-16,3.476
7.749e-16,3.467
8.266e-16,3.456
